Interaction	rec-Y2H | Table S2	Both eCLIP - HepG2	Both eCLIP - K562
A1CF-PRDX6	False	False	False
A1CF-PRKCI	False	False	False
A1CF-PRKRA	False	False	False
A1CF-PRPF19	False	False	False
A1CF-PRPF3	False	False	False
A1CF-PRPF31	False	False	False
A1CF-PRPF38A	False	False	False
A1CF-PRPF38B	False	False	False
A1CF-PRPF39	False	False	False
A1CF-PRPF4	False	False	False
A1CF-PRPF40A	False	False	False
A1CF-PRPF6	False	False	False
A1CF-PRR3	False	False	False
A1CF-PRRC2B	False	False	False
A1CF-PSMD4	False	False	False
A1CF-PSPC1	False	False	False
A1CF-PTBP1	False	False	False
A1CF-PTBP2	False	False	False
A1CF-PTBP3	False	False	False
A1CF-PTCD1	False	False	False
A1CF-PTCD2	False	False	False
A1CF-PTCD3	False	False	False
A1CF-PUF60	False	False	False
A1CF-PUM2	False	False	False
A1CF-PUM3	False	False	False
A1CF-PURA	False	False	False
A1CF-PURB	False	False	False
A1CF-PUS7	False	False	False
A1CF-PWP2	False	False	False
A1CF-QARS1	False	False	False
A1CF-QKI	False	False	False
A1CF-RAB2A	False	False	False
A1CF-RAB2B	False	False	False
A1CF-RAB4A	False	False	False
A1CF-RAB5C	False	False	False
A1CF-RAB6A	False	False	False
A1CF-RACK1	False	False	False
A1CF-RAD21	False	False	False
A1CF-RAE1	False	False	False
A1CF-RALY	False	False	False
A1CF-RALYL	False	False	False
A1CF-RAMAC	False	False	False
A1CF-RAN	False	False	False
A1CF-RARS1	False	False	False
A1CF-RBBP4	False	False	False
A1CF-RBBP6	False	False	False
A1CF-RBBP7	False	False	False
A1CF-RBFOX2	False	False	False
A1CF-RBM10	False	False	False
A1CF-RBM10 316F	False	False	False
A1CF-RBM10 343G	False	False	False
A1CF-RBM10 354E	False	False	False
A1CF-RBM10 408V	False	False	False
A1CF-RBM10 580F	False	False	False
A1CF-RBM10 598F	False	False	False
A1CF-RBM10 605F	False	False	False
A1CF-RBM10 776Q	False	False	False
A1CF-RBM10 784L	False	False	False
A1CF-RBM10 WTV	False	False	False
A1CF-RBM12	False	False	False
A1CF-RBM12B	False	False	False
A1CF-RBM14	False	False	False
A1CF-RBM15	False	False	False
A1CF-RBM17	False	False	False
A1CF-RBM19	False	False	False
A1CF-RBM22	False	False	False
A1CF-RBM25	False	False	False
A1CF-RBM26	False	False	False
A1CF-RBM28	False	False	False
A1CF-RBM3	False	False	False
A1CF-RBM33	False	False	False
A1CF-RBM34	False	False	False
A1CF-RBM38	False	False	False
A1CF-RBM4	False	False	False
A1CF-RBM42	False	False	False
A1CF-RBM47	False	False	False
A1CF-RBM5	False	False	False
A1CF-RBM6	False	False	False
A1CF-RBM7	False	False	False
A1CF-RBMS1	False	False	False
A1CF-RBMS2	False	False	False
A1CF-RBMS3	False	False	False
A1CF-RBMX	False	False	False
A1CF-RBMX2	False	False	False
A1CF-RBPMS	False	False	False
A1CF-RC3H2	False	False	False
A1CF-RDX	False	False	False
A1CF-REEP2	False	False	False
A1CF-REXO4	False	False	False
A1CF-RHOA	False	False	False
A1CF-RING1	False	False	False
A1CF-RNF20	False	False	False
A1CF-RNMT	False	False	False
A1CF-RNPC3	False	False	False
A1CF-RNPS1	False	False	False
A1CF-RPA2	False	False	False
A1CF-RPF1	False	False	False
A1CF-RPL10A	False	False	False
A1CF-RPL11	False	False	False
A1CF-RPL12	False	False	False
A1CF-RPL13	False	False	False
A1CF-RPL13A	False	False	False
A1CF-RPL14	False	False	False
A1CF-RPL15	False	False	False
A1CF-RPL17	False	False	False
A1CF-RPL18	False	False	False
A1CF-RPL18A	False	False	False
A1CF-RPL19	False	False	False
A1CF-RPL21	False	False	False
A1CF-RPL22	False	False	False
A1CF-RPL22L1	False	False	False
A1CF-RPL23	False	False	False
A1CF-RPL23A	False	False	False
A1CF-RPL24	False	False	False
A1CF-RPL26	False	False	False
A1CF-RPL26L1	False	False	False
A1CF-RPL27	False	False	False
A1CF-RPL27A	False	False	False
A1CF-RPL28	False	False	False
A1CF-RPL3	False	False	False
A1CF-RPL30	False	False	False
A1CF-RPL31	False	False	False
A1CF-RPL32	False	False	False
A1CF-RPL34	False	False	False
A1CF-RPL35	False	False	False
A1CF-RPL35A	False	False	False
A1CF-RPL36	False	False	False
A1CF-RPL36AL	False	False	False
A1CF-RPL37	False	False	False
A1CF-RPL37A	False	False	False
A1CF-RPL39	False	False	False
A1CF-RPL39L	False	False	False
A1CF-RPL4	False	False	False
A1CF-RPL5	False	False	False
A1CF-RPL6	False	False	False
A1CF-RPL7	False	False	False
A1CF-RPL7A	False	False	False
A1CF-RPL7L1	False	False	False
A1CF-RPL8	False	False	False
A1CF-RPL9	False	False	False
A1CF-RPLP0	False	False	False
A1CF-RPLP2	False	False	False
A1CF-RPN1	False	False	False
A1CF-RPP30	False	False	False
A1CF-RPRD1B	False	False	False
A1CF-RPS10	False	False	False
A1CF-RPS11	False	False	False
A1CF-RPS13	False	False	False
A1CF-RPS14	False	False	False
A1CF-RPS15	False	False	False
A1CF-RPS15A	False	False	False
A1CF-RPS16	False	False	False
A1CF-RPS18	False	False	False
A1CF-RPS19	False	False	False
A1CF-RPS19BP1	False	False	False
A1CF-RPS2	False	False	False
A1CF-RPS20	False	False	False
A1CF-RPS21	False	False	False
A1CF-RPS24	False	False	False
A1CF-RPS25	False	False	False
A1CF-RPS26	False	False	False
A1CF-RPS27	False	False	False
A1CF-RPS27A	False	False	False
A1CF-RPS27L	False	False	False
A1CF-RPS28	False	False	False
A1CF-RPS29	False	False	False
