Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
SAFB_5_right	SAFB	2	83.64661602630488	6.86069503550404e-19	0.0	1.1584690557832034e-18
SUPV3L1_center_left	SUPV3L1	3	82.45666214094084	1.2438365604646047e-18	0.0	2.0958514560048413e-18
EIF4G2_center_right	EIF4G2	4	80.78141992514894	2.8743360582494168e-18	0.00022730150452074008	4.8330080979425845e-18
ZRANB2_5_left	ZRANB2	1	79.0815491700664	6.7244967425061114e-18	0.0	1.1282997692162886e-17
GARS_center_left	GARS	3	79.03901679312904	6.8690325735385216e-18	0.0	1.150130033846681e-17
DDX51_3_left	DDX51	5	78.9770119531908	7.08532467157547e-18	0.0	1.1838582312883962e-17
FTO_center_left	FTO	3	78.5819585523305	8.63265752251097e-18	2.0042182579284898e-05	1.4393782521843603e-17
LARP4_center_right	LARP4	4	78.26027548194598	1.0139046223293232e-17	0.0	1.687018755733759e-17
MATR3_5_left	MATR3	1	76.89796176360174	2.003640346091128e-17	0.0	3.326877824655477e-17
TAF15_3_left	TAF15	5	75.29818836104533	4.458678405022208e-17	0.0	7.387872533893347e-17
RPS6_3_left	RPS6	5	75.17338132552813	4.745780550608626e-17	5.633967293014086e-05	7.847276138661982e-17
DDX42_center_left	DDX42	3	74.90323857435223	5.43210811670472e-17	0.0	8.963540722595573e-17
LARP7_center_right	LARP7	4	74.62335855491713	6.248036806469257e-17	0.0	1.028860606354545e-16
PHF6_5_right	PHF6	2	74.40967419358898	6.952556850674065e-17	0.0005182068023083836	1.142512950512831e-16
DDX51_5_left	DDX51	1	74.35318109749025	7.151742491743942e-17	0.0001560421892906876	1.172826906567885e-16
APOBEC3C_3_left	APOBEC3C	5	74.24882091375943	7.534828896715157e-17	0.0	1.233112655170838e-16
DHX30_center_left	DHX30	3	72.50061538010208	1.805890456525508e-16	0.0	2.949374372645143e-16
FAM120A_5_right	FAM120A	2	72.16191890830818	2.1391360525348182e-16	1.2663354872319836e-06	3.486485549836912e-16
NPM1_3_left	NPM1	5	70.8915180525469	4.0374062224096985e-16	0.0	6.566964814817408e-16
U2AF1_center_right	U2AF1	4	68.71867871387441	1.1965435648880893e-15	0.0010989647549654658	1.942250959706328e-15
EXOSC10_3_left	EXOSC10	5	68.22581633845546	1.5309190260317609e-15	0.00026767129100822417	2.4799643572099865e-15
LARP7_5_left	LARP7	1	68.03382550088723	1.685165274021684e-15	0.0	2.7242935565827225e-15
ELAC2_3_right	ELAC2	6	67.83206036234333	1.8640400717252816e-15	9.375294366861869e-06	3.0073682938563754e-15
WDR3_3_left	WDR3	5	66.37532516107169	3.8617243803187755e-15	0.0	6.217766325482958e-15
PCBP1_3_left	PCBP1	5	65.65892051300264	5.525181725794216e-15	7.220179031921451e-05	8.878164990842721e-15
PTBP1_5_right	PTBP1	2	65.62716375282726	5.613612875037173e-15	0.00015713017100186274	9.002111592363435e-15
SRSF7_3_right	SRSF7	6	65.59251515824938	5.7117120696138616e-15	0.0009659269269249952	9.1410331716511e-15
GPKOW_3_left	GPKOW	5	65.12557690562464	7.213742894858869e-15	0.0014375327197163415	1.1521749673752542e-14
EEF2_5_right	EEF2	2	65.1177853742602	7.241900759477728e-15	0.0	1.1543589810607497e-14
PRPF8_3_right	PRPF8	6	63.270755593054936	1.8236017069487965e-14	0.004813933442717561	2.9010190827109594e-14
SERBP1_5_right	SERBP1	2	62.753790311696896	2.3614979589898658e-14	0.0	3.7492308233365005e-14
PCBP1_center_left	PCBP1	3	62.741757220245404	2.3757488470123378e-14	0.001151895359756644	3.7643575170354536e-14
EXOSC5_5_left	EXOSC5	1	62.68201290629379	2.4477882182863063e-14	0.0	3.8708079562979886e-14
GTF2F1_3_right	GTF2F1	6	62.50943319144317	2.6683884307548156e-14	6.671024129394998e-05	4.2112981768546295e-14
DDX6_5_left	DDX6	1	61.0298071980746	5.5917243097203644e-14	0.0005398018677454048	8.807518329737412e-14
LARP4_center_left	LARP4	3	60.728014492090935	6.502482687315137e-14	0.0	1.0221851482820837e-13
KHDRBS1_center_left	KHDRBS1	3	60.66173323389895	6.721589672499318e-14	0.0001363358860494995	1.05454861594133e-13
CPSF6_3_right	CPSF6	6	60.392192456515936	7.691340407991761e-14	0.00031927523641350005	1.204321867420321e-13
KHDRBS1_3_right	KHDRBS1	6	59.41447849077807	1.2540357662488766e-13	1.9947628850883043e-06	1.9597382464712834e-13
GARS_3_left	GARS	5	59.22450695335629	1.3789919100282298e-13	0.0	2.1507956013551843e-13
SDAD1_3_left	SDAD1	5	58.93739979471021	1.5918650425599602e-13	0.0	2.477961794766188e-13
ZC3H8_5_right	ZC3H8	2	58.93241737333924	1.595835657529542e-13	0.0	2.4793002320683136e-13
EXOSC5_3_left	EXOSC5	5	58.5920403390674	1.8919083703113057e-13	0.0001017988765549703	2.9335622006578027e-13
RBM15_3_right	RBM15	6	58.54166320414612	1.9401680768025966e-13	0.00433113886035084	3.0025513732265427e-13
PHF6_center_right	PHF6	4	58.01859101627665	2.520130537518403e-13	7.027049169242416e-06	3.8925272062057504e-13
