Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
EXOSC5_center_right	EXOSC5	4	82.40391468976375	1.2770775826102363e-18	0.0	2.14015748734133e-18
GTF2F1_center_left	GTF2F1	3	82.32980459029454	1.3252874492577787e-18	0.0005334273800055972	2.214863956293822e-18
GRSF1_5_left	GRSF1	1	81.34569328531869	2.1677397421409777e-18	0.001153260251723948	3.612899570234963e-18
AGGF1_5_right	AGGF1	2	81.25766699315155	2.2652795598864097e-18	0.0	3.765178560029183e-18
PCBP1_3_right	PCBP1	6	81.15501180712212	2.3845865865240984e-18	1.1562890366429621e-05	3.95271146135788e-18
DDX3X_center_left	DDX3X	3	80.53003955782445	3.259298196254481e-18	0.0007749398359830037	5.3879997282255646e-18
HNRNPL_center_right	HNRNPL	4	80.36849231687013	3.5334881073508145e-18	0.0011202147965504274	5.8254803931999914e-18
SSB_3_left	SSB	5	79.02223372387036	6.926916827436618e-18	0.0	1.1389270255354009e-17
TARDBP_5_left	TARDBP	1	78.47425862259946	9.110270127541141e-18	0.0035291629721706757	1.4938883811290582e-17
GTF2F1_5_left	GTF2F1	1	77.95264196510277	1.1824938001255237e-17	0.00035716188433119355	1.933837045781688e-17
QKI_3_right	QKI	6	77.27517148856595	1.6592419419912484e-17	0.0005818679779777953	2.7062502262424103e-17
DGCR8_3_right	DGCR8	6	76.6193886187743	2.3030913173104877e-17	0.0005291488622612227	3.7463618761583934e-17
LSM11_3_right	LSM11	6	76.43721616130499	2.5227220578825593e-17	0.000308665399613371	4.092713976883939e-17
HNRNPL_3_left	HNRNPL	5	75.87222187533101	3.346234364284698e-17	4.677150943857057e-05	5.4143314647577344e-17
FAM120A_3_right	FAM120A	6	75.5644074556688	3.9029897150851423e-17	0.0	6.29847546614269e-17
EXOSC5_5_right	EXOSC5	2	75.27247534687385	4.516371506743827e-17	0.0	7.269093981830434e-17
SUPV3L1_5_left	SUPV3L1	1	74.75978891158613	5.836037901705096e-17	0.0	9.368376631684496e-17
DDX6_3_left	DDX6	5	74.46415756137863	6.76571400621602e-17	0.0	1.0832245521763181e-16
U2AF1_5_left	U2AF1	1	74.19454243915496	7.74211852446918e-17	0.0015469369614834264	1.2363068847974345e-16
PCBP1_center_right	PCBP1	4	73.85455013594941	9.176735330759858e-17	0.000606588980341229	1.4615688124708912e-16
FKBP4_5_right	FKBP4	2	73.14463414087179	1.3087132694863662e-16	7.066551763761615e-05	2.0789455582986543e-16
CDC40_center_right	CDC40	4	72.99925898630053	1.4073830609228585e-16	0.0003235530577141921	2.229879654968685e-16
SLTM_5_right	SLTM	2	72.43695270492336	1.8642990453365363e-16	0.0	2.9461720664644743e-16
SUPV3L1_3_left	SUPV3L1	5	72.35407220088011	1.9431791860276722e-16	0.00010232047214109117	3.0628922570462016e-16
EIF3D_3_right	EIF3D	6	71.34833887080178	3.212958142497833e-16	0.0012134331660835973	5.051300172483707e-16
TIA1_3_right	TIA1	6	70.44936475085164	5.036337404653028e-16	0.0	7.897598500869787e-16
ILF3_5_right	ILF3	2	70.14540569477754	5.862983715738787e-16	5.079186120312876e-05	9.170307863078615e-16
DDX59_3_left	DDX59	5	70.04145900028013	6.175760221715302e-16	0.00047555785539347766	9.6348177372029e-16
