Feature,AUROC,AUPRC,PRC Baseline,AUPRC - Baseline,Total Events,Num Significant
PCBP2_4_binding,0.3485148514851485,0.05271598212452824,0.04716981132075472,0.005546170803773523,106,5
PCBP2_5_binding,0.5833333333333333,0.07696969696969697,0.04477611940298507,0.032193577566711894,67,3
PCBP2_6_binding,,,0.0,,137,0
PPIG_1_binding,0.5290697674418605,0.009804016258084254,0.005257623554153523,0.004546392703930731,1902,10
PPIG_2_binding,0.33417396034218466,0.0035702156516596514,0.004822597313124354,-0.0012523816614647028,2903,14
PPIG_3_binding,0.7505057316250843,0.0026954177897574125,0.0006738544474393531,0.0020215633423180594,1484,1
PPIG_4_binding,0.609393063583815,0.00959038132304817,0.004793863854266539,0.004796517468781631,2086,10
PPIG_5_binding,0.6108145822431537,0.017430166588282177,0.00778816199376947,0.009642004594512706,1926,15
PPIG_6_binding,0.5195513952666903,0.0038656438662860483,0.0035198873636043647,0.0003457565026816836,2841,10
PRPF4_1_binding,0.7849462365591398,0.05497693795566136,0.015873015873015872,0.03910392208264549,189,3
PRPF4_2_binding,0.44249422632794455,0.03127977385914173,0.01141552511415525,0.019864248744986476,438,5
PRPF4_3_binding,0.19583987441130293,0.02486714218825698,0.037037037037037035,-0.012169894848780054,189,7
PRPF4_4_binding,0.37142857142857144,0.019963369963369962,0.014084507042253521,0.00587886292111644,142,2
PRPF4_5_binding,,,0.0,,161,0
PRPF4_6_binding,,,0.0,,115,0
PRPF8_1_binding,0.33736559139784944,0.027253908524844862,0.0339943342776204,-0.006740425752775538,353,12
PRPF8_2_binding,0.3793616040683872,0.023406869241553423,0.03198409830140947,-0.008577229059856046,5534,177
PRPF8_3_binding,0.59375,0.17415844702006045,0.019498607242339833,0.1546598397777206,359,7
PRPF8_4_binding,0.5808777182477151,0.024885788391967627,0.016779511333529586,0.008106277058438041,3397,57
PRPF8_5_binding,0.4293228139381986,0.024540567612727868,0.025936599423631124,-0.0013960318109032567,347,9
PRPF8_6_binding,0.4840984009255297,0.029101741693201136,0.025336252736940883,0.0037654889562602524,3197,81
PTBP1_1_binding,,,0.0,,27,0
PTBP1_2_binding,0.1707317073170732,0.02857142857142857,0.023809523809523808,0.004761904761904762,42,1
PTBP1_3_binding,0.2870689655172414,0.10825875807517898,0.14705882352941177,-0.038800065454232785,68,10
PTBP1_4_binding,0.16346153846153846,0.05163261605415861,0.07142857142857142,-0.019795955374412817,56,4
PTBP1_5_binding,0.6379310344827587,0.15263157894736842,0.06451612903225806,0.08811544991511036,31,2
PTBP1_6_binding,0.493421052631579,0.067816091954023,0.05,0.01781609195402299,40,2
QKI_1_binding,,,0.0,,45,0
