Feature-Feature Interaction	Cell Line	interaction_shap	f1_main_effect	f2_main_effect	abs_difference_interaction_vs_main1	abs_difference_interaction_vs_main2	avg_of_abs_differences	avg_multiplicative_difference	MWU p-value (Both Bound vs F1 Bound Only)	MWU p-value (Both Bound vs F2 Bound Only)	Both MWU Significant	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	Rec-Y2H/Street et al. IP-MS (Union)
NOLC1_2-NOLC1_5-interaction-shap	K562	-0.18753032386302948	-0.00044993835035711527	0.18726712465286255	0.18708038551267236	0.00026319921016693115	0.09367179236141965	208.8962792804446	0.9995896141138195	0.9995335232242275	false				
U2AF2_3-LIN28B_6-interaction-shap	HepG2	-0.16222530603408813	0.09508994966745377	0.04329080134630203	0.06713535636663437	0.1189345046877861	0.09303493052721024	2.726679212310546	5.106214378685527e-25	4.379478924321569e-97	true	False	False	False	False
KHSRP_3-IGF2BP2_6-interaction-shap	K562	-0.13532617688179016	0.012336434796452522	-0.07284695655107498	0.12298974208533764	0.06247922033071518	0.09273448120802641	6.413656013113272	1.1400561013239677e-64	1.389169453783428e-48	true	None	False	False	False
LIN28B_2-U2AF2_3-interaction-shap	HepG2	-0.24349044263362885	-0.206442728638649	0.09508994966745377	0.03704771399497986	0.14840049296617508	0.09272410348057747	1.8700451860982639	5.642175813587379e-189	1.3906576878726461e-37	true	False	False	False	False
NKRF_2-U2AF2_5-interaction-shap	HepG2	-0.24837064743041992	-0.16771523654460907	-0.14822599291801453	0.08065541088581085	0.1001446545124054	0.09040003269910812	1.5782641448587942	2.477124597347038e-75	3.7361673123517387e-180	true	False	False	False	False
KHSRP_4-U2AF1_5-interaction-shap	K562	-0.31754034757614136	0.1760461926460266	-0.27911970019340515	0.14149415493011475	0.038420647382736206	0.08995740115642548	1.4706912365956528	9.869948937148636e-52	1.0	false	None	None	None	None
CSTF2T_6-EFTUD2_6-interaction-shap	HepG2	-0.14798830449581146	-0.10856673866510391	-0.013448944315314293	0.03942156583070755	0.13453936018049717	0.08698046300560236	6.183410324503067	5.017197671433661e-112	2.8046670783647375e-143	true	False	False	False	False
SUB1_5-YBX3_5-interaction-shap	HepG2	-0.20409752428531647	-0.15214145183563232	-0.09021826833486557	0.05195607244968414	0.1138792559504509	0.08291766420006752	1.8018811427104255	0.9999999999999997	4.8647846654722025e-27	false	None	None	None	None
SND1_2-UCHL5_6-interaction-shap	K562	0.2513207495212555	-0.24509850144386292	-0.09547325223684311	0.006222248077392578	0.15584749728441238	0.08103487268090248	1.8288774431940202	2.2231857359979915e-80	5.59810837784964e-151	true	None	None	None	None
PCBP2_3-HNRNPK_4-interaction-shap	HepG2	0.13544875383377075	0.0015382104320451617	-0.11156120896339417	0.1339105434017256	0.023887544870376587	0.07889904413605109	44.635091478279925	1.0	1.0	false	False	None	None	False
