Feature	Statistic	P-Val	RBP	Position	FDR P-Val
NOL12_3_right_shap	16529.84348867069	0.0	NOL12	6	0.0
FAM120A_5_right_shap	16466.71424152237	0.0	FAM120A	2	0.0
UPF1_5_right_shap	16229.661493580303	0.0	UPF1	2	0.0
RBM5_3_left_shap	15759.18221894503	0.0	RBM5	5	0.0
HNRNPK_3_left_shap	15645.715582800183	0.0	HNRNPK	5	0.0
AGGF1_center_right_shap	15433.15795722889	0.0	AGGF1	4	0.0
FTO_3_right_shap	15335.048656522344	0.0	FTO	6	0.0
LARP4_5_right_shap	15235.162075190126	0.0	LARP4	2	0.0
TIA1_5_left_shap	15162.029892294226	0.0	TIA1	1	0.0
NCBP2_center_right_shap	14985.209510575936	0.0	NCBP2	4	0.0
PCBP1_5_right_shap	14921.748769985008	0.0	PCBP1	2	0.0
FXR2_3_left_shap	14769.781304988295	0.0	FXR2	5	0.0
YBX3_5_left_shap	14761.487625825168	0.0	YBX3	1	0.0
QKI_5_right_shap	14720.69816230818	0.0	QKI	2	0.0
GTF2F1_center_right_shap	14364.04809501792	0.0	GTF2F1	4	0.0
BUD13_5_right_shap	14328.45075935111	0.0	BUD13	2	0.0
KHSRP_5_left_shap	13997.046678396322	0.0	KHSRP	1	0.0
IGF2BP1_3_left_shap	13947.314125341372	0.0	IGF2BP1	5	0.0
CDC40_5_right_shap	13895.216451535056	0.0	CDC40	2	0.0
RBM22_5_left_shap	13552.358988622065	0.0	RBM22	1	0.0
DDX3X_3_right_shap	13495.220382661772	0.0	DDX3X	6	0.0
PCBP1_center_right_shap	13336.64238474097	0.0	PCBP1	4	0.0
RBM5_3_right_shap	13200.893945908225	0.0	RBM5	6	0.0
XPO5_3_right_shap	13148.78820520532	0.0	XPO5	6	0.0
U2AF1_5_right_shap	13042.007922645444	0.0	U2AF1	2	0.0
PTBP1_center_left_shap	12981.815537866461	0.0	PTBP1	3	0.0
CSTF2T_center_right_shap	12977.422627629776	0.0	CSTF2T	4	0.0
GTF2F1_5_left_shap	12945.20792741212	0.0	GTF2F1	1	0.0
IGF2BP1_5_right_shap	12855.726487606755	0.0	IGF2BP1	2	0.0
RBM22_5_right_shap	12834.894852611715	0.0	RBM22	2	0.0
SLTM_center_right_shap	12806.931659459673	0.0	SLTM	4	0.0
BUD13_5_left_shap	12770.266960704597	0.0	BUD13	1	0.0
TARDBP_5_right_shap	12502.615530653919	0.0	TARDBP	2	0.0
GRSF1_center_right_shap	12447.80835324463	0.0	GRSF1	4	0.0
FUBP3_center_right_shap	12333.373839290265	0.0	FUBP3	4	0.0
XPO5_center_left_shap	12152.650882587346	0.0	XPO5	3	0.0
SRSF9_5_right_shap	12088.06264545049	0.0	SRSF9	2	0.0
GTF2F1_3_left_shap	11927.34153053745	0.0	GTF2F1	5	0.0
DDX55_5_left_shap	11924.140361407772	0.0	DDX55	1	0.0
CSTF2T_3_left_shap	11715.944773861704	0.0	CSTF2T	5	0.0
DKC1_5_left_shap	11690.503486468337	0.0	DKC1	1	0.0
SRSF1_5_left_shap	11527.58752655698	0.0	SRSF1	1	0.0
RBM15_5_left_shap	11148.002055929708	0.0	RBM15	1	0.0
HLTF_5_right_shap	10913.395188772463	0.0	HLTF	2	0.0
QKI_center_left_shap	10807.324741454406	0.0	QKI	3	0.0
RPS3_5_right_shap	10763.438683662689	0.0	RPS3	2	0.0
PCBP2_3_right_shap	10557.749285457314	0.0	PCBP2	6	0.0
GRSF1_center_left_shap	10455.856940016198	0.0	GRSF1	3	0.0
NIP7_center_left_shap	10092.163357759182	0.0	NIP7	3	0.0
AKAP1_3_right_shap	10079.778003407668	0.0	AKAP1	6	0.0
TIAL1_3_left_shap	10065.474111837713	0.0	TIAL1	5	0.0
ILF3_5_left_shap	10042.307112052962	0.0	ILF3	1	0.0
RBFOX2_center_left_shap	10026.810912265077	0.0	RBFOX2	3	0.0
KHSRP_center_left_shap	9795.739915966713	0.0	KHSRP	3	0.0
SDAD1_5_right_shap	9773.455779525162	0.0	SDAD1	2	0.0
ILF3_3_left_shap	9727.928463567547	0.0	ILF3	5	0.0
EFTUD2_center_right_shap	9724.60025258676	0.0	EFTUD2	4	0.0
RPS3_3_left_shap	9719.69578785016	0.0	RPS3	5	0.0
RPS3_5_left_shap	9555.183915214913	0.0	RPS3	1	0.0
QKI_3_right_shap	9537.846611850962	0.0	QKI	6	0.0
PABPN1_5_left_shap	9501.846906211997	0.0	PABPN1	1	0.0
FUBP3_3_left_shap	9398.8968150246	0.0	FUBP3	5	0.0
PCBP1_center_left_shap	9047.241048060454	0.0	PCBP1	3	0.0
IGF2BP3_3_right_shap	9034.182408221739	0.0	IGF2BP3	6	0.0
TRA2A_3_right_shap	8878.9024772296	0.0	TRA2A	6	0.0
QKI_5_left_shap	8634.838410907983	0.0	QKI	1	0.0
SUB1_3_right_shap	8519.46406649429	0.0	SUB1	6	0.0
NCBP2_5_right_shap	8518.951959663886	0.0	NCBP2	2	0.0
ZC3H11A_3_right_shap	8486.38956589446	0.0	ZC3H11A	6	0.0
CSTF2T_5_right_shap	8484.643531078787	0.0	CSTF2T	2	0.0
UPF1_5_left_shap	8383.086554416586	0.0	UPF1	1	0.0
PRPF8_3_right_shap	8328.019455173113	0.0	PRPF8	6	0.0
IGF2BP3_3_left_shap	8290.017889250408	0.0	IGF2BP3	5	0.0
SFPQ_3_left_shap	8238.88971823808	0.0	SFPQ	5	0.0
TIAL1_5_right_shap	8072.781599386569	0.0	TIAL1	2	0.0
RBM5_center_right_shap	7511.573990376983	0.0	RBM5	4	0.0
CSTF2_center_right_shap	7495.004337792636	0.0	CSTF2	4	0.0
CSTF2_center_left_shap	7442.834922068006	0.0	CSTF2	3	0.0
RBM5_center_left_shap	7409.147517509156	0.0	RBM5	3	0.0
XRN2_5_left_shap	7402.160446306209	0.0	XRN2	1	0.0
FUS_5_right_shap	7309.7132413044255	0.0	FUS	2	0.0
HNRNPM_center_right_shap	7309.014849713782	0.0	HNRNPM	4	0.0
SUPV3L1_center_left_shap	7260.4061717377335	0.0	SUPV3L1	3	0.0
UPF1_center_right_shap	7214.933322152318	0.0	UPF1	4	0.0
DGCR8_center_right_shap	7102.004939188973	0.0	DGCR8	4	0.0
UPF1_center_left_shap	7060.429901938891	0.0	UPF1	3	0.0
PRPF8_5_left_shap	7019.229364613291	0.0	PRPF8	1	0.0
PTBP1_3_right_shap	6967.134837874271	0.0	PTBP1	6	0.0
DDX55_3_right_shap	6952.641274938537	0.0	DDX55	6	0.0
HNRNPK_center_right_shap	6854.863910217801	0.0	HNRNPK	4	0.0
PCBP2_5_left_shap	6692.176975442917	0.0	PCBP2	1	0.0
HNRNPM_5_right_shap	6606.390903600687	0.0	HNRNPM	2	0.0
EIF3H_5_right_shap	6575.520840040193	0.0	EIF3H	2	0.0
GRWD1_3_right_shap	6572.24684555708	0.0	GRWD1	6	0.0
UCHL5_center_left_shap	6561.1148889984315	0.0	UCHL5	3	0.0
UCHL5_5_left_shap	6429.321031436012	0.0	UCHL5	1	0.0
LARP4_center_left_shap	6280.400080416445	0.0	LARP4	3	0.0
PABPN1_5_right_shap	6197.501713616258	0.0	PABPN1	2	0.0
WDR43_5_left_shap	6026.5358948685025	0.0	WDR43	1	0.0
GRWD1_3_left_shap	5957.79705966013	0.0	GRWD1	5	0.0
NKRF_3_left_shap	5922.357988388703	0.0	NKRF	5	0.0
G3BP1_5_right_shap	5851.340991194603	0.0	G3BP1	2	0.0
PRPF4_3_right_shap	5780.999552730015	0.0	PRPF4	6	0.0
DROSHA_3_right_shap	5756.756321480365	0.0	DROSHA	6	0.0
PCBP1_3_left_shap	5645.992844727352	0.0	PCBP1	5	0.0
HLTF_3_right_shap	5586.177672031645	0.0	HLTF	6	0.0
IGF2BP3_5_right_shap	5490.075630098388	0.0	IGF2BP3	2	0.0
DDX59_center_right_shap	5402.438615999571	0.0	DDX59	4	0.0
PRPF8_3_left_shap	5309.740609145643	0.0	PRPF8	5	0.0
DGCR8_3_left_shap	5235.066663813622	0.0	DGCR8	5	0.0
SDAD1_center_right_shap	5216.7364202335175	0.0	SDAD1	4	0.0
NOLC1_3_left_shap	4898.578474239411	0.0	NOLC1	5	0.0
DGCR8_5_right_shap	4864.61900475228	0.0	DGCR8	2	0.0
HNRNPC_5_left_shap	4761.84946098901	0.0	HNRNPC	1	0.0
TARDBP_5_left_shap	4665.034015018558	0.0	TARDBP	1	0.0
ILF3_center_right_shap	4603.52601810827	0.0	ILF3	4	0.0
TRA2A_5_left_shap	4557.372329098824	0.0	TRA2A	1	0.0
XRN2_5_right_shap	4531.040295825434	0.0	XRN2	2	0.0
LIN28B_3_left_shap	4361.257974794973	0.0	LIN28B	5	0.0
TIAL1_5_left_shap	4267.896715538727	0.0	TIAL1	1	0.0
SRSF9_3_left_shap	4102.6609823275685	0.0	SRSF9	5	0.0
CSTF2T_3_right_shap	4017.534203699193	0.0	CSTF2T	6	0.0
GRSF1_5_right_shap	3962.674438279554	0.0	GRSF1	2	0.0
NKRF_3_right_shap	3939.280334052131	0.0	NKRF	6	0.0
LIN28B_3_right_shap	3807.217618189371	0.0	LIN28B	6	0.0
IGF2BP3_center_right_shap	3765.9524119625135	0.0	IGF2BP3	4	0.0
SF3A3_3_left_shap	3754.091392904694	0.0	SF3A3	5	0.0
RBM22_3_right_shap	3640.6688317336775	0.0	RBM22	6	0.0
DROSHA_3_left_shap	3460.2622221817564	0.0	DROSHA	5	0.0
SUPV3L1_center_right_shap	3451.888506544828	0.0	SUPV3L1	4	0.0
XPO5_5_left_shap	3416.2512149663385	0.0	XPO5	1	0.0
NSUN2_center_right_shap	3312.8336924019004	0.0	NSUN2	4	0.0
IGF2BP1_3_right_shap	3272.386991153438	0.0	IGF2BP1	6	0.0
DDX55_center_right_shap	3268.710029438912	0.0	DDX55	4	0.0
AQR_3_left_shap	3234.061294471212	0.0	AQR	5	0.0
RBM15_5_right_shap	3129.9253310758086	0.0	RBM15	2	0.0
PCBP1_5_left_shap	2991.741786996831	0.0	PCBP1	1	0.0
SND1_3_right_shap	2969.3881014079957	0.0	SND1	6	0.0
G3BP1_3_right_shap	2896.27578913619	0.0	G3BP1	6	0.0
DKC1_center_right_shap	2880.0242949720373	0.0	DKC1	4	0.0
GRWD1_5_right_shap	2853.878409667397	0.0	GRWD1	2	0.0
U2AF2_3_left_shap	2839.20522834012	0.0	U2AF2	5	0.0
PCBP2_3_left_shap	2813.927338753985	0.0	PCBP2	5	0.0
CDC40_5_left_shap	2795.2159799385954	0.0	CDC40	1	0.0
HNRNPK_5_right_shap	2645.960319930187	0.0	HNRNPK	2	0.0
SRSF7_5_right_shap	2578.699241204626	0.0	SRSF7	2	0.0
BCLAF1_3_right_shap	2554.852629530562	0.0	BCLAF1	6	0.0
HNRNPL_5_right_shap	2541.9916352141354	0.0	HNRNPL	2	0.0
SUGP2_5_right_shap	2526.9107327171823	0.0	SUGP2	2	0.0
TRA2A_center_left_shap	2378.272794684799	0.0	TRA2A	3	0.0
XRN2_3_right_shap	2365.391176837039	0.0	XRN2	6	0.0
GTF2F1_3_right_shap	2277.3693920075307	0.0	GTF2F1	6	0.0
YBX3_3_right_shap	2239.5820519256076	0.0	YBX3	6	0.0
EFTUD2_3_left_shap	2224.6618856535088	0.0	EFTUD2	5	0.0
EIF3H_3_right_shap	2207.4163572222305	0.0	EIF3H	6	0.0
AKAP1_center_right_shap	2170.2466497702003	0.0	AKAP1	4	0.0
U2AF2_5_left_shap	2019.717470435743	0.0	U2AF2	1	0.0
G3BP1_3_left_shap	1955.1517590081714	0.0	G3BP1	5	0.0
CDC40_center_right_shap	1931.2314928550936	0.0	CDC40	4	0.0
RPS3_3_right_shap	1854.5897126412158	0.0	RPS3	6	0.0
NSUN2_center_left_shap	1823.9621520094088	0.0	NSUN2	3	0.0
YBX3_5_right_shap	1788.8522960251144	0.0	YBX3	2	0.0
DDX6_5_left_shap	1776.1812602801824	0.0	DDX6	1	0.0
ZNF800_3_right_shap	1775.5091692263989	0.0	ZNF800	6	0.0
HNRNPK_center_left_shap	1772.9828189926689	0.0	HNRNPK	3	0.0
YBX3_3_left_shap	1771.1972116331685	0.0	YBX3	5	0.0
CDC40_3_right_shap	1724.9826467514984	0.0	CDC40	6	0.0
SF3B4_3_left_shap	1718.3779571218836	0.0	SF3B4	5	0.0
AQR_5_left_shap	1699.179154609744	0.0	AQR	1	0.0
GTF2F1_5_right_shap	1683.993602804483	0.0	GTF2F1	2	0.0
BCLAF1_5_right_shap	1676.66929005874	0.0	BCLAF1	2	0.0
UPF1_3_left_shap	1634.6510606567672	0.0	UPF1	5	0.0
AKAP1_5_left_shap	1616.62116867673	0.0	AKAP1	1	0.0
FUS_3_left_shap	1563.7163577572842	0.0	FUS	5	0.0
FUS_center_right_shap	1553.6004757674448	0.0	FUS	4	0.0
FAM120A_center_right_shap	1550.8305014167447	0.0	FAM120A	4	0.0
