Interaction	RBP 1	RBP 2	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	K562 - Both eCLIP	HepG2 - Both eCLIP
ABCF1-WDR3	ABCF1	WDR3				true	false
ABCF1-WDR43	ABCF1	WDR43				true	false
ABCF1-WRN	ABCF1	WRN				true	false
ABCF1-XRCC6	ABCF1	XRCC6				true	false
ABCF1-XRN2	ABCF1	XRN2				true	false
ABCF1-YBX3	ABCF1	YBX3				true	false
ABCF1-YWHAG	ABCF1	YWHAG				true	false
ABCF1-ZC3H11A	ABCF1	ZC3H11A				true	false
ABCF1-ZC3H8	ABCF1	ZC3H8				true	false
ABCF1-ZNF622	ABCF1	ZNF622				true	false
ABCF1-ZNF800	ABCF1	ZNF800				true	false
ABCF1-ZRANB2	ABCF1	ZRANB2				true	false
ADAT1-AGGF1	ADAT1	AGGF1				true	false
ADAT1-AKAP1	ADAT1	AKAP1				true	false
ADAT1-AKAP8L	ADAT1	AKAP8L				true	false
ADAT1-APEX1	ADAT1	APEX1				true	false
ADAT1-APOBEC3C	ADAT1	APOBEC3C				true	false
ADAT1-AQR	ADAT1	AQR				true	false
ADAT1-BUD13	ADAT1	BUD13		false	false	true	false
ADAT1-CPEB4	ADAT1	CPEB4				true	false
ADAT1-CPSF6	ADAT1	CPSF6				true	false
ADAT1-CSTF2T	ADAT1	CSTF2T		false	false	true	false
ADAT1-DDX1	ADAT1	DDX1				true	false
ADAT1-DDX21	ADAT1	DDX21				true	false
ADAT1-DDX24	ADAT1	DDX24				true	false
ADAT1-DDX3X	ADAT1	DDX3X		false	false	true	false
ADAT1-DDX42	ADAT1	DDX42				true	false
ADAT1-DDX43	ADAT1	DDX43				true	false
ADAT1-DDX47	ADAT1	DDX47				true	false
ADAT1-DDX51	ADAT1	DDX51				true	false
ADAT1-DDX52	ADAT1	DDX52				true	false
ADAT1-DDX55	ADAT1	DDX55				true	false
ADAT1-DDX6	ADAT1	DDX6				true	false
ADAT1-DGCR8	ADAT1	DGCR8		false	false	true	false
ADAT1-DHX30	ADAT1	DHX30				true	false
ADAT1-DROSHA	ADAT1	DROSHA				true	false
ADAT1-EEF2	ADAT1	EEF2				true	false
ADAT1-EFTUD2	ADAT1	EFTUD2				true	false
ADAT1-EIF3G	ADAT1	EIF3G				true	false
ADAT1-EIF4E	ADAT1	EIF4E		false	false	true	false
ADAT1-EIF4G2	ADAT1	EIF4G2		false	false	true	false
ADAT1-ELAC2	ADAT1	ELAC2				true	false
ADAT1-ELAVL1	ADAT1	ELAVL1				true	false
ADAT1-EWSR1	ADAT1	EWSR1		false	false	true	false
ADAT1-EXOSC10	ADAT1	EXOSC10		false	false	true	false
ADAT1-EXOSC5	ADAT1	EXOSC5				true	false
ADAT1-FAM120A	ADAT1	FAM120A				true	false
ADAT1-FASTKD2	ADAT1	FASTKD2				true	false
ADAT1-FMR1	ADAT1	FMR1				true	false
ADAT1-FTO	ADAT1	FTO				true	false
ADAT1-FUS	ADAT1	FUS		false	false	true	false
ADAT1-FXR1	ADAT1	FXR1				true	false
ADAT1-FXR2	ADAT1	FXR2				true	false
ADAT1-GARS	ADAT1	GARS				true	false
ADAT1-GEMIN5	ADAT1	GEMIN5				true	false
ADAT1-GNL3	ADAT1	GNL3				true	false
ADAT1-GPKOW	ADAT1	GPKOW		false	false	true	false
ADAT1-GRWD1	ADAT1	GRWD1				true	false
ADAT1-GTF2F1	ADAT1	GTF2F1				true	false
ADAT1-HLTF	ADAT1	HLTF				true	false
ADAT1-HNRNPA1	ADAT1	HNRNPA1				true	false
ADAT1-HNRNPC	ADAT1	HNRNPC		false	false	true	false
ADAT1-HNRNPK	ADAT1	HNRNPK				true	false
ADAT1-HNRNPL	ADAT1	HNRNPL		false	false	true	false
ADAT1-HNRNPM	ADAT1	HNRNPM				true	false
ADAT1-HNRNPU	ADAT1	HNRNPU				true	false
ADAT1-HNRNPUL1	ADAT1	HNRNPUL1				true	false
ADAT1-IGF2BP1	ADAT1	IGF2BP1		false	false	true	false
ADAT1-IGF2BP2	ADAT1	IGF2BP2		false	false	true	false
ADAT1-ILF3	ADAT1	ILF3				true	false
ADAT1-KHDRBS1	ADAT1	KHDRBS1				true	false
ADAT1-KHSRP	ADAT1	KHSRP				true	false
ADAT1-LARP4	ADAT1	LARP4				true	false
ADAT1-LARP7	ADAT1	LARP7		false	false	true	false
ADAT1-LIN28B	ADAT1	LIN28B		false	false	true	false
ADAT1-LSM11	ADAT1	LSM11				true	false
ADAT1-MATR3	ADAT1	MATR3				true	false
ADAT1-MBNL1	ADAT1	MBNL1				true	false
ADAT1-METAP2	ADAT1	METAP2				true	false
ADAT1-METTL1	ADAT1	METTL1				true	false
ADAT1-MORC2	ADAT1	MORC2				true	false
ADAT1-MTPAP	ADAT1	MTPAP				true	false
ADAT1-NCBP2	ADAT1	NCBP2				true	false
ADAT1-NIPBL	ADAT1	NIPBL				true	false
ADAT1-NOLC1	ADAT1	NOLC1				true	false
ADAT1-NONO	ADAT1	NONO				true	false
ADAT1-NPM1	ADAT1	NPM1				true	false
ADAT1-NSUN2	ADAT1	NSUN2				true	false
ADAT1-PABPC4	ADAT1	PABPC4				true	false
ADAT1-PCBP1	ADAT1	PCBP1				true	false
ADAT1-PHF6	ADAT1	PHF6				true	false
ADAT1-PPIL4	ADAT1	PPIL4				true	false
ADAT1-PRPF8	ADAT1	PRPF8		false	false	true	false
ADAT1-PTBP1	ADAT1	PTBP1		false	false	true	false
ADAT1-PUM1	ADAT1	PUM1				true	false
ADAT1-PUM2	ADAT1	PUM2		false	false	true	false
ADAT1-PUS1	ADAT1	PUS1				true	false
ADAT1-QKI	ADAT1	QKI				true	false
ADAT1-RBFOX2	ADAT1	RBFOX2		false	false	true	false
ADAT1-RBM15	ADAT1	RBM15				true	false
ADAT1-RBM22	ADAT1	RBM22		false	false	true	false
ADAT1-RNF187	ADAT1	RNF187				true	false
ADAT1-RPS10	ADAT1	RPS10				true	false
ADAT1-RPS11	ADAT1	RPS11				true	false
ADAT1-RPS3	ADAT1	RPS3		false	false	true	false
ADAT1-RPS6	ADAT1	RPS6		false	false	true	false
ADAT1-RYBP	ADAT1	RYBP				true	false
ADAT1-SAFB	ADAT1	SAFB				true	false
ADAT1-SAFB2	ADAT1	SAFB2				true	false
ADAT1-SBDS	ADAT1	SBDS				true	false
ADAT1-SDAD1	ADAT1	SDAD1				true	false
ADAT1-SERBP1	ADAT1	SERBP1				true	false
ADAT1-SF3B1	ADAT1	SF3B1				true	false
ADAT1-SF3B4	ADAT1	SF3B4		false	false	true	false
ADAT1-SLBP	ADAT1	SLBP				true	false
ADAT1-SLTM	ADAT1	SLTM				true	false
ADAT1-SMNDC1	ADAT1	SMNDC1				true	false
ADAT1-SND1	ADAT1	SND1				true	false
ADAT1-SRSF1	ADAT1	SRSF1		false	false	true	false
