Interaction	RBP 1	RBP 2	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	K562 - Both eCLIP	HepG2 - Both eCLIP
ADAT1-SRSF7	ADAT1	SRSF7				true	false
ADAT1-SRSF9	ADAT1	SRSF9				true	false
ADAT1-SSB	ADAT1	SSB				true	false
ADAT1-SUPV3L1	ADAT1	SUPV3L1				true	false
ADAT1-TAF15	ADAT1	TAF15		false	false	true	false
ADAT1-TARDBP	ADAT1	TARDBP				true	false
ADAT1-TBRG4	ADAT1	TBRG4				true	false
ADAT1-TIA1	ADAT1	TIA1		false	false	true	false
ADAT1-TRA2A	ADAT1	TRA2A				true	false
ADAT1-TROVE2	ADAT1	TROVE2				true	false
ADAT1-U2AF1	ADAT1	U2AF1				true	false
ADAT1-U2AF2	ADAT1	U2AF2		false	false	true	false
ADAT1-UCHL5	ADAT1	UCHL5				true	false
ADAT1-UPF1	ADAT1	UPF1				true	false
ADAT1-UTP18	ADAT1	UTP18				true	false
ADAT1-UTP3	ADAT1	UTP3				true	false
ADAT1-WDR3	ADAT1	WDR3				true	false
ADAT1-WDR43	ADAT1	WDR43				true	false
ADAT1-WRN	ADAT1	WRN				true	false
ADAT1-XRCC6	ADAT1	XRCC6				true	false
ADAT1-XRN2	ADAT1	XRN2				true	false
ADAT1-YBX3	ADAT1	YBX3				true	false
ADAT1-YWHAG	ADAT1	YWHAG				true	false
ADAT1-ZC3H11A	ADAT1	ZC3H11A				true	false
ADAT1-ZC3H8	ADAT1	ZC3H8				true	false
ADAT1-ZNF622	ADAT1	ZNF622				true	false
ADAT1-ZNF800	ADAT1	ZNF800				true	false
ADAT1-ZRANB2	ADAT1	ZRANB2				true	false
AGGF1-AKAP1	AGGF1	AKAP1				true	true
AGGF1-AKAP8L	AGGF1	AKAP8L				true	false
AGGF1-APEX1	AGGF1	APEX1				true	false
AGGF1-APOBEC3C	AGGF1	APOBEC3C				true	false
AGGF1-AQR	AGGF1	AQR				true	true
AGGF1-BCCIP	AGGF1	BCCIP				false	true
AGGF1-BCLAF1	AGGF1	BCLAF1				false	true
AGGF1-BUD13	AGGF1	BUD13		false	false	true	true
AGGF1-CDC40	AGGF1	CDC40				false	true
AGGF1-CPEB4	AGGF1	CPEB4				true	false
AGGF1-CPSF6	AGGF1	CPSF6				true	false
AGGF1-CSTF2	AGGF1	CSTF2		false	false	false	true
AGGF1-CSTF2T	AGGF1	CSTF2T		false	false	true	true
AGGF1-DDX1	AGGF1	DDX1				true	false
AGGF1-DDX21	AGGF1	DDX21				true	false
AGGF1-DDX24	AGGF1	DDX24				true	false
AGGF1-DDX3X	AGGF1	DDX3X		false	false	true	true
AGGF1-DDX42	AGGF1	DDX42				true	false
AGGF1-DDX43	AGGF1	DDX43				true	false
AGGF1-DDX47	AGGF1	DDX47				true	false
AGGF1-DDX51	AGGF1	DDX51				true	false
AGGF1-DDX52	AGGF1	DDX52				true	true
AGGF1-DDX55	AGGF1	DDX55				true	true
AGGF1-DDX59	AGGF1	DDX59				false	true
AGGF1-DDX6	AGGF1	DDX6				true	true
AGGF1-DGCR8	AGGF1	DGCR8		false	false	true	true
AGGF1-DHX30	AGGF1	DHX30				true	true
AGGF1-DKC1	AGGF1	DKC1				false	true
AGGF1-DROSHA	AGGF1	DROSHA				true	true
AGGF1-EEF2	AGGF1	EEF2				true	false
AGGF1-EFTUD2	AGGF1	EFTUD2				true	true
AGGF1-EIF3D	AGGF1	EIF3D				false	true
AGGF1-EIF3G	AGGF1	EIF3G				true	false
AGGF1-EIF3H	AGGF1	EIF3H				false	true
AGGF1-EIF4E	AGGF1	EIF4E		false	false	true	false
AGGF1-EIF4G2	AGGF1	EIF4G2		false	false	true	false
AGGF1-ELAC2	AGGF1	ELAC2				true	false
AGGF1-ELAVL1	AGGF1	ELAVL1				true	false
AGGF1-EWSR1	AGGF1	EWSR1		false	false	true	false
AGGF1-EXOSC10	AGGF1	EXOSC10		false	false	true	false
AGGF1-EXOSC5	AGGF1	EXOSC5				true	true
AGGF1-FAM120A	AGGF1	FAM120A				true	true
AGGF1-FASTKD2	AGGF1	FASTKD2				true	true
AGGF1-FKBP4	AGGF1	FKBP4				false	true
AGGF1-FMR1	AGGF1	FMR1				true	false
AGGF1-FTO	AGGF1	FTO				true	true
AGGF1-FUBP3	AGGF1	FUBP3				false	true
AGGF1-FUS	AGGF1	FUS		false	false	true	true
AGGF1-FXR1	AGGF1	FXR1				true	false
AGGF1-FXR2	AGGF1	FXR2				true	true
AGGF1-G3BP1	AGGF1	G3BP1				false	true
AGGF1-GARS	AGGF1	GARS				true	false
AGGF1-GEMIN5	AGGF1	GEMIN5				true	false
AGGF1-GNL3	AGGF1	GNL3				true	false
AGGF1-GPKOW	AGGF1	GPKOW		false	false	true	false
AGGF1-GRSF1	AGGF1	GRSF1				false	true
AGGF1-GRWD1	AGGF1	GRWD1				true	true
AGGF1-GTF2F1	AGGF1	GTF2F1				true	true
AGGF1-HLTF	AGGF1	HLTF				true	true
AGGF1-HNRNPA1	AGGF1	HNRNPA1				true	true
AGGF1-HNRNPC	AGGF1	HNRNPC		false	false	true	true
AGGF1-HNRNPK	AGGF1	HNRNPK				true	true
AGGF1-HNRNPL	AGGF1	HNRNPL		false	false	true	true
AGGF1-HNRNPM	AGGF1	HNRNPM				true	true
AGGF1-HNRNPU	AGGF1	HNRNPU				true	true
AGGF1-HNRNPUL1	AGGF1	HNRNPUL1				true	true
AGGF1-IGF2BP1	AGGF1	IGF2BP1		false	false	true	true
AGGF1-IGF2BP2	AGGF1	IGF2BP2		false	false	true	false
AGGF1-IGF2BP3	AGGF1	IGF2BP3				false	true
AGGF1-ILF3	AGGF1	ILF3				true	true
AGGF1-KHDRBS1	AGGF1	KHDRBS1				true	false
AGGF1-KHSRP	AGGF1	KHSRP				true	true
AGGF1-LARP4	AGGF1	LARP4				true	true
AGGF1-LARP7	AGGF1	LARP7		false	false	true	true
AGGF1-LIN28B	AGGF1	LIN28B		false	false	true	true
AGGF1-LSM11	AGGF1	LSM11				true	true
AGGF1-MATR3	AGGF1	MATR3				true	true
AGGF1-MBNL1	AGGF1	MBNL1				true	false
AGGF1-METAP2	AGGF1	METAP2				true	false
AGGF1-METTL1	AGGF1	METTL1				true	false
AGGF1-MORC2	AGGF1	MORC2				true	false
AGGF1-MTPAP	AGGF1	MTPAP				true	false
AGGF1-NCBP2	AGGF1	NCBP2				true	true
AGGF1-NIP7	AGGF1	NIP7				false	true
AGGF1-NIPBL	AGGF1	NIPBL				true	false
AGGF1-NKRF	AGGF1	NKRF				false	true
AGGF1-NOL12	AGGF1	NOL12				false	true
AGGF1-NOLC1	AGGF1	NOLC1				true	true
AGGF1-NONO	AGGF1	NONO				true	false
AGGF1-NPM1	AGGF1	NPM1				true	false
AGGF1-NSUN2	AGGF1	NSUN2				true	true
AGGF1-PABPC4	AGGF1	PABPC4				true	false
AGGF1-PABPN1	AGGF1	PABPN1				false	true
AGGF1-PCBP1	AGGF1	PCBP1				true	true
AGGF1-PCBP2	AGGF1	PCBP2				false	true
AGGF1-PHF6	AGGF1	PHF6				true	false
AGGF1-POLR2G	AGGF1	POLR2G				false	true
AGGF1-PPIG	AGGF1	PPIG				false	true
AGGF1-PPIL4	AGGF1	PPIL4				true	false
AGGF1-PRPF4	AGGF1	PRPF4				false	true
AGGF1-PRPF8	AGGF1	PRPF8		false	false	true	true
AGGF1-PTBP1	AGGF1	PTBP1		false	false	true	true
AGGF1-PUM1	AGGF1	PUM1				true	false
AGGF1-PUM2	AGGF1	PUM2		false	false	true	false
AGGF1-PUS1	AGGF1	PUS1				true	false
AGGF1-QKI	AGGF1	QKI				true	true
AGGF1-RBFOX2	AGGF1	RBFOX2		false	false	true	true
AGGF1-RBM15	AGGF1	RBM15				true	true
AGGF1-RBM22	AGGF1	RBM22		false	false	true	true
AGGF1-RBM5	AGGF1	RBM5				false	true
AGGF1-RNF187	AGGF1	RNF187				true	false
AGGF1-RPS10	AGGF1	RPS10				true	false
AGGF1-RPS11	AGGF1	RPS11				true	false
AGGF1-RPS3	AGGF1	RPS3		false	false	true	true
AGGF1-RPS6	AGGF1	RPS6		false	false	true	false
AGGF1-RYBP	AGGF1	RYBP				true	false
AGGF1-SAFB	AGGF1	SAFB				true	true
AGGF1-SAFB2	AGGF1	SAFB2				true	false
AGGF1-SBDS	AGGF1	SBDS				true	false
AGGF1-SDAD1	AGGF1	SDAD1				true	true
AGGF1-SERBP1	AGGF1	SERBP1				true	false
AGGF1-SF3A3	AGGF1	SF3A3				false	true
AGGF1-SF3B1	AGGF1	SF3B1				true	false
AGGF1-SF3B4	AGGF1	SF3B4		false	false	true	true
AGGF1-SFPQ	AGGF1	SFPQ				false	true
AGGF1-SLBP	AGGF1	SLBP				true	false
AGGF1-SLTM	AGGF1	SLTM				true	true
AGGF1-SMNDC1	AGGF1	SMNDC1				true	true
AGGF1-SND1	AGGF1	SND1				true	true
AGGF1-SRSF1	AGGF1	SRSF1		false	false	true	true
AGGF1-SRSF7	AGGF1	SRSF7				true	true
AGGF1-SRSF9	AGGF1	SRSF9				true	true
AGGF1-SSB	AGGF1	SSB				true	true
AGGF1-STAU2	AGGF1	STAU2				false	true
AGGF1-SUB1	AGGF1	SUB1				false	true
AGGF1-SUGP2	AGGF1	SUGP2				false	true
AGGF1-SUPV3L1	AGGF1	SUPV3L1				true	true
AGGF1-TAF15	AGGF1	TAF15		false	false	true	true
AGGF1-TARDBP	AGGF1	TARDBP				true	true
AGGF1-TBRG4	AGGF1	TBRG4				true	true
AGGF1-TIA1	AGGF1	TIA1		false	false	true	true
AGGF1-TIAL1	AGGF1	TIAL1				false	true
AGGF1-TRA2A	AGGF1	TRA2A				true	true
AGGF1-TROVE2	AGGF1	TROVE2				true	true
AGGF1-U2AF1	AGGF1	U2AF1				true	true
AGGF1-U2AF2	AGGF1	U2AF2		false	false	true	true
AGGF1-UCHL5	AGGF1	UCHL5				true	true
AGGF1-UPF1	AGGF1	UPF1				true	true
AGGF1-UTP18	AGGF1	UTP18				true	true
AGGF1-UTP3	AGGF1	UTP3				true	false
AGGF1-WDR3	AGGF1	WDR3				true	false
AGGF1-WDR43	AGGF1	WDR43				true	true
AGGF1-WRN	AGGF1	WRN				true	false
AGGF1-XPO5	AGGF1	XPO5		false	false	false	true
AGGF1-XRCC6	AGGF1	XRCC6				true	true
AGGF1-XRN2	AGGF1	XRN2				true	true
AGGF1-YBX3	AGGF1	YBX3				true	true
AGGF1-YWHAG	AGGF1	YWHAG				true	false
AGGF1-ZC3H11A	AGGF1	ZC3H11A				true	true
AGGF1-ZC3H8	AGGF1	ZC3H8				true	false
AGGF1-ZNF622	AGGF1	ZNF622				true	false
AGGF1-ZNF800	AGGF1	ZNF800				true	true
AGGF1-ZRANB2	AGGF1	ZRANB2				true	false
AKAP1-AKAP8L	AKAP1	AKAP8L				true	false
AKAP1-APEX1	AKAP1	APEX1	false			true	false
AKAP1-APOBEC3C	AKAP1	APOBEC3C	false			true	false
AKAP1-AQR	AKAP1	AQR				true	true
AKAP1-BCCIP	AKAP1	BCCIP				false	true
AKAP1-BCLAF1	AKAP1	BCLAF1				false	true
AKAP1-BUD13	AKAP1	BUD13	false	false	false	true	true
AKAP1-CDC40	AKAP1	CDC40				false	true
AKAP1-CPEB4	AKAP1	CPEB4	false			true	false
AKAP1-CPSF6	AKAP1	CPSF6	false			true	false
AKAP1-CSTF2	AKAP1	CSTF2		false	false	false	true
AKAP1-CSTF2T	AKAP1	CSTF2T	false	false	false	true	true
AKAP1-DDX1	AKAP1	DDX1	false			true	false
AKAP1-DDX21	AKAP1	DDX21	false			true	false
AKAP1-DDX24	AKAP1	DDX24				true	false
AKAP1-DDX3X	AKAP1	DDX3X	false	false	false	true	true
AKAP1-DDX42	AKAP1	DDX42	false			true	false
AKAP1-DDX43	AKAP1	DDX43				true	false
AKAP1-DDX47	AKAP1	DDX47	false			true	false
AKAP1-DDX51	AKAP1	DDX51				true	false
AKAP1-DDX52	AKAP1	DDX52	false			true	true
AKAP1-DDX55	AKAP1	DDX55				true	true
AKAP1-DDX59	AKAP1	DDX59				false	true
AKAP1-DDX6	AKAP1	DDX6	false			true	true
AKAP1-DGCR8	AKAP1	DGCR8		false	false	true	true
AKAP1-DHX30	AKAP1	DHX30	false			true	true
AKAP1-DKC1	AKAP1	DKC1	false			false	true
AKAP1-DROSHA	AKAP1	DROSHA				true	true
AKAP1-EEF2	AKAP1	EEF2	false			true	false
AKAP1-EFTUD2	AKAP1	EFTUD2	false			true	true
AKAP1-EIF3D	AKAP1	EIF3D	false			false	true
AKAP1-EIF3G	AKAP1	EIF3G	false			true	false
AKAP1-EIF3H	AKAP1	EIF3H	false			false	true
AKAP1-EIF4E	AKAP1	EIF4E	false	false	false	true	false
AKAP1-EIF4G2	AKAP1	EIF4G2		false	false	true	false
AKAP1-ELAC2	AKAP1	ELAC2	false			true	false
AKAP1-ELAVL1	AKAP1	ELAVL1	false			true	false
AKAP1-EWSR1	AKAP1	EWSR1	false	false	false	true	false
AKAP1-EXOSC10	AKAP1	EXOSC10		false	false	true	false
AKAP1-EXOSC5	AKAP1	EXOSC5	false			true	true
AKAP1-FAM120A	AKAP1	FAM120A	false			true	true
AKAP1-FASTKD2	AKAP1	FASTKD2	false			true	true
AKAP1-FKBP4	AKAP1	FKBP4	false			false	true
AKAP1-FMR1	AKAP1	FMR1	false			true	false
AKAP1-FTO	AKAP1	FTO				true	true
AKAP1-FUBP3	AKAP1	FUBP3	false			false	true
AKAP1-FUS	AKAP1	FUS	false	false	false	true	true
AKAP1-FXR1	AKAP1	FXR1	false			true	false
AKAP1-FXR2	AKAP1	FXR2	false			true	true
AKAP1-G3BP1	AKAP1	G3BP1	false			false	true
AKAP1-GARS	AKAP1	GARS				true	false
AKAP1-GEMIN5	AKAP1	GEMIN5				true	false
AKAP1-GNL3	AKAP1	GNL3	false			true	false
AKAP1-GPKOW	AKAP1	GPKOW		false	false	true	false
AKAP1-GRSF1	AKAP1	GRSF1				false	true
AKAP1-GRWD1	AKAP1	GRWD1				true	true
AKAP1-GTF2F1	AKAP1	GTF2F1	false			true	true
AKAP1-HLTF	AKAP1	HLTF				true	true
AKAP1-HNRNPA1	AKAP1	HNRNPA1	false			true	true
AKAP1-HNRNPC	AKAP1	HNRNPC	false	false	false	true	true
AKAP1-HNRNPK	AKAP1	HNRNPK	false			true	true
AKAP1-HNRNPL	AKAP1	HNRNPL		false	false	true	true
AKAP1-HNRNPM	AKAP1	HNRNPM				true	true
AKAP1-HNRNPU	AKAP1	HNRNPU	false			true	true
AKAP1-HNRNPUL1	AKAP1	HNRNPUL1				true	true
AKAP1-IGF2BP1	AKAP1	IGF2BP1	false	false	false	true	true
AKAP1-IGF2BP2	AKAP1	IGF2BP2	false	false	false	true	false
AKAP1-IGF2BP3	AKAP1	IGF2BP3	false			false	true
AKAP1-ILF3	AKAP1	ILF3	false			true	true
AKAP1-KHDRBS1	AKAP1	KHDRBS1	false			true	false
AKAP1-KHSRP	AKAP1	KHSRP				true	true
AKAP1-LARP4	AKAP1	LARP4	false			true	true
AKAP1-LARP7	AKAP1	LARP7	false	false	false	true	true
AKAP1-LIN28B	AKAP1	LIN28B	false	false	false	true	true
AKAP1-LSM11	AKAP1	LSM11				true	true
AKAP1-MATR3	AKAP1	MATR3				true	true
AKAP1-MBNL1	AKAP1	MBNL1	false			true	false
AKAP1-METAP2	AKAP1	METAP2				true	false
AKAP1-METTL1	AKAP1	METTL1				true	false
AKAP1-MORC2	AKAP1	MORC2				true	false
AKAP1-MTPAP	AKAP1	MTPAP	false			true	false
AKAP1-NCBP2	AKAP1	NCBP2				true	true
AKAP1-NIP7	AKAP1	NIP7	false			false	true
AKAP1-NIPBL	AKAP1	NIPBL				true	false
AKAP1-NKRF	AKAP1	NKRF	false			false	true
AKAP1-NOL12	AKAP1	NOL12				false	true
AKAP1-NOLC1	AKAP1	NOLC1	false			true	true
AKAP1-NONO	AKAP1	NONO	false			true	false
AKAP1-NPM1	AKAP1	NPM1	false			true	false
AKAP1-NSUN2	AKAP1	NSUN2	false			true	true
AKAP1-PABPC4	AKAP1	PABPC4				true	false
AKAP1-PABPN1	AKAP1	PABPN1				false	true
AKAP1-PCBP1	AKAP1	PCBP1	false			true	true
AKAP1-PCBP2	AKAP1	PCBP2	false			false	true
AKAP1-PHF6	AKAP1	PHF6				true	false
AKAP1-POLR2G	AKAP1	POLR2G				false	true
AKAP1-PPIG	AKAP1	PPIG	false			false	true
AKAP1-PPIL4	AKAP1	PPIL4	false			true	false
AKAP1-PRPF4	AKAP1	PRPF4	false			false	true
AKAP1-PRPF8	AKAP1	PRPF8		false	false	true	true
AKAP1-PTBP1	AKAP1	PTBP1	false	false	false	true	true
AKAP1-PUM1	AKAP1	PUM1				true	false
AKAP1-PUM2	AKAP1	PUM2	false	false	false	true	false
AKAP1-PUS1	AKAP1	PUS1				true	false
AKAP1-QKI	AKAP1	QKI	false			true	true
AKAP1-RBFOX2	AKAP1	RBFOX2	false	false	false	true	true
AKAP1-RBM15	AKAP1	RBM15	false			true	true
AKAP1-RBM22	AKAP1	RBM22	false	false	false	true	true
AKAP1-RBM5	AKAP1	RBM5	false			false	true
AKAP1-RNF187	AKAP1	RNF187				true	false
AKAP1-RPS10	AKAP1	RPS10	false			true	false
AKAP1-RPS11	AKAP1	RPS11	false			true	false
AKAP1-RPS3	AKAP1	RPS3	false	false	false	true	true
AKAP1-RPS6	AKAP1	RPS6	false	false	false	true	false
AKAP1-RYBP	AKAP1	RYBP	false			true	false
AKAP1-SAFB	AKAP1	SAFB				true	true
AKAP1-SAFB2	AKAP1	SAFB2	false			true	false
AKAP1-SBDS	AKAP1	SBDS	false			true	false
AKAP1-SDAD1	AKAP1	SDAD1				true	true
AKAP1-SERBP1	AKAP1	SERBP1	false			true	false
AKAP1-SF3A3	AKAP1	SF3A3	false			false	true
AKAP1-SF3B1	AKAP1	SF3B1				true	false
AKAP1-SF3B4	AKAP1	SF3B4	false	false	false	true	true
AKAP1-SFPQ	AKAP1	SFPQ	false			false	true
AKAP1-SLBP	AKAP1	SLBP				true	false
AKAP1-SLTM	AKAP1	SLTM				true	true
AKAP1-SMNDC1	AKAP1	SMNDC1	false			true	true
AKAP1-SND1	AKAP1	SND1				true	true
AKAP1-SRSF1	AKAP1	SRSF1	false	false	false	true	true
AKAP1-SRSF7	AKAP1	SRSF7	false			true	true
AKAP1-SRSF9	AKAP1	SRSF9	false			true	true
AKAP1-SSB	AKAP1	SSB				true	true
AKAP1-STAU2	AKAP1	STAU2	false			false	true
AKAP1-SUB1	AKAP1	SUB1	false			false	true
AKAP1-SUGP2	AKAP1	SUGP2	false			false	true
AKAP1-SUPV3L1	AKAP1	SUPV3L1	false			true	true
AKAP1-TAF15	AKAP1	TAF15	false	false	false	true	true
AKAP1-TARDBP	AKAP1	TARDBP	false			true	true
AKAP1-TBRG4	AKAP1	TBRG4	false			true	true
AKAP1-TIA1	AKAP1	TIA1	false	false	false	true	true
AKAP1-TIAL1	AKAP1	TIAL1	false			false	true
AKAP1-TRA2A	AKAP1	TRA2A	false			true	true
AKAP1-TROVE2	AKAP1	TROVE2				true	true
AKAP1-U2AF1	AKAP1	U2AF1	false			true	true
AKAP1-U2AF2	AKAP1	U2AF2	false	false	false	true	true
AKAP1-UCHL5	AKAP1	UCHL5	false			true	true
AKAP1-UPF1	AKAP1	UPF1				true	true
AKAP1-UTP18	AKAP1	UTP18	false			true	true
AKAP1-UTP3	AKAP1	UTP3	false			true	false
AKAP1-WDR3	AKAP1	WDR3	false			true	false
AKAP1-WDR43	AKAP1	WDR43				true	true
AKAP1-WRN	AKAP1	WRN				true	false
AKAP1-XPO5	AKAP1	XPO5	false	false	false	false	true
AKAP1-XRCC6	AKAP1	XRCC6	false			true	true
AKAP1-XRN2	AKAP1	XRN2	false			true	true
AKAP1-YBX3	AKAP1	YBX3				true	true
AKAP1-YWHAG	AKAP1	YWHAG	false			true	false
AKAP1-ZC3H11A	AKAP1	ZC3H11A	false			true	true
AKAP1-ZC3H8	AKAP1	ZC3H8	false			true	false
AKAP1-ZNF622	AKAP1	ZNF622				true	false
AKAP1-ZNF800	AKAP1	ZNF800				true	true
AKAP1-ZRANB2	AKAP1	ZRANB2	false			true	false
AKAP8L-APEX1	AKAP8L	APEX1				true	false
AKAP8L-APOBEC3C	AKAP8L	APOBEC3C				true	false
AKAP8L-AQR	AKAP8L	AQR				true	false
AKAP8L-BUD13	AKAP8L	BUD13		false	false	true	false
AKAP8L-CPEB4	AKAP8L	CPEB4				true	false
AKAP8L-CPSF6	AKAP8L	CPSF6				true	false
AKAP8L-CSTF2T	AKAP8L	CSTF2T		false	false	true	false
AKAP8L-DDX1	AKAP8L	DDX1				true	false
AKAP8L-DDX21	AKAP8L	DDX21				true	false
AKAP8L-DDX24	AKAP8L	DDX24				true	false
AKAP8L-DDX3X	AKAP8L	DDX3X		false	false	true	false
AKAP8L-DDX42	AKAP8L	DDX42				true	false
AKAP8L-DDX43	AKAP8L	DDX43				true	false
AKAP8L-DDX47	AKAP8L	DDX47				true	false
AKAP8L-DDX51	AKAP8L	DDX51				true	false
AKAP8L-DDX52	AKAP8L	DDX52				true	false
AKAP8L-DDX55	AKAP8L	DDX55				true	false
AKAP8L-DDX6	AKAP8L	DDX6				true	false
AKAP8L-DGCR8	AKAP8L	DGCR8		false	false	true	false
AKAP8L-DHX30	AKAP8L	DHX30				true	false
AKAP8L-DROSHA	AKAP8L	DROSHA				true	false
AKAP8L-EEF2	AKAP8L	EEF2				true	false
AKAP8L-EFTUD2	AKAP8L	EFTUD2				true	false
AKAP8L-EIF3G	AKAP8L	EIF3G				true	false
AKAP8L-EIF4E	AKAP8L	EIF4E		false	false	true	false
AKAP8L-EIF4G2	AKAP8L	EIF4G2		false	false	true	false
AKAP8L-ELAC2	AKAP8L	ELAC2				true	false
AKAP8L-ELAVL1	AKAP8L	ELAVL1				true	false
AKAP8L-EWSR1	AKAP8L	EWSR1		false	false	true	false
AKAP8L-EXOSC10	AKAP8L	EXOSC10		false	false	true	false
AKAP8L-EXOSC5	AKAP8L	EXOSC5				true	false
AKAP8L-FAM120A	AKAP8L	FAM120A				true	false
AKAP8L-FASTKD2	AKAP8L	FASTKD2				true	false
AKAP8L-FMR1	AKAP8L	FMR1				true	false
AKAP8L-FTO	AKAP8L	FTO				true	false
AKAP8L-FUS	AKAP8L	FUS		false	false	true	false
AKAP8L-FXR1	AKAP8L	FXR1				true	false
AKAP8L-FXR2	AKAP8L	FXR2				true	false
AKAP8L-GARS	AKAP8L	GARS				true	false
AKAP8L-GEMIN5	AKAP8L	GEMIN5				true	false
AKAP8L-GNL3	AKAP8L	GNL3				true	false
AKAP8L-GPKOW	AKAP8L	GPKOW		false	false	true	false
AKAP8L-GRWD1	AKAP8L	GRWD1				true	false
AKAP8L-GTF2F1	AKAP8L	GTF2F1				true	false
AKAP8L-HLTF	AKAP8L	HLTF				true	false
AKAP8L-HNRNPA1	AKAP8L	HNRNPA1				true	false
AKAP8L-HNRNPC	AKAP8L	HNRNPC		false	false	true	false
AKAP8L-HNRNPK	AKAP8L	HNRNPK				true	false
AKAP8L-HNRNPL	AKAP8L	HNRNPL		false	false	true	false
AKAP8L-HNRNPM	AKAP8L	HNRNPM				true	false
AKAP8L-HNRNPU	AKAP8L	HNRNPU				true	false
AKAP8L-HNRNPUL1	AKAP8L	HNRNPUL1				true	false
AKAP8L-IGF2BP1	AKAP8L	IGF2BP1		false	false	true	false
AKAP8L-IGF2BP2	AKAP8L	IGF2BP2		false	false	true	false
AKAP8L-ILF3	AKAP8L	ILF3				true	false
AKAP8L-KHDRBS1	AKAP8L	KHDRBS1				true	false
AKAP8L-KHSRP	AKAP8L	KHSRP				true	false
AKAP8L-LARP4	AKAP8L	LARP4				true	false
AKAP8L-LARP7	AKAP8L	LARP7		false	false	true	false
AKAP8L-LIN28B	AKAP8L	LIN28B		false	false	true	false
AKAP8L-LSM11	AKAP8L	LSM11				true	false
AKAP8L-MATR3	AKAP8L	MATR3				true	false
AKAP8L-MBNL1	AKAP8L	MBNL1				true	false
AKAP8L-METAP2	AKAP8L	METAP2				true	false
AKAP8L-METTL1	AKAP8L	METTL1				true	false
AKAP8L-MORC2	AKAP8L	MORC2				true	false
AKAP8L-MTPAP	AKAP8L	MTPAP				true	false
AKAP8L-NCBP2	AKAP8L	NCBP2				true	false
AKAP8L-NIPBL	AKAP8L	NIPBL				true	false
AKAP8L-NOLC1	AKAP8L	NOLC1				true	false
AKAP8L-NONO	AKAP8L	NONO				true	false
AKAP8L-NPM1	AKAP8L	NPM1				true	false
AKAP8L-NSUN2	AKAP8L	NSUN2				true	false
AKAP8L-PABPC4	AKAP8L	PABPC4				true	false
AKAP8L-PCBP1	AKAP8L	PCBP1				true	false
AKAP8L-PHF6	AKAP8L	PHF6				true	false
AKAP8L-PPIL4	AKAP8L	PPIL4				true	false
AKAP8L-PRPF8	AKAP8L	PRPF8		false	false	true	false
AKAP8L-PTBP1	AKAP8L	PTBP1		false	false	true	false
AKAP8L-PUM1	AKAP8L	PUM1				true	false
AKAP8L-PUM2	AKAP8L	PUM2		false	false	true	false
AKAP8L-PUS1	AKAP8L	PUS1				true	false
AKAP8L-QKI	AKAP8L	QKI				true	false
AKAP8L-RBFOX2	AKAP8L	RBFOX2		false	false	true	false
AKAP8L-RBM15	AKAP8L	RBM15				true	false
AKAP8L-RBM22	AKAP8L	RBM22		false	false	true	false
AKAP8L-RNF187	AKAP8L	RNF187				true	false
AKAP8L-RPS10	AKAP8L	RPS10				true	false
AKAP8L-RPS11	AKAP8L	RPS11				true	false
AKAP8L-RPS3	AKAP8L	RPS3		false	false	true	false
AKAP8L-RPS6	AKAP8L	RPS6		false	false	true	false
AKAP8L-RYBP	AKAP8L	RYBP				true	false
AKAP8L-SAFB	AKAP8L	SAFB				true	false
AKAP8L-SAFB2	AKAP8L	SAFB2				true	false
AKAP8L-SBDS	AKAP8L	SBDS				true	false
AKAP8L-SDAD1	AKAP8L	SDAD1				true	false
AKAP8L-SERBP1	AKAP8L	SERBP1				true	false
AKAP8L-SF3B1	AKAP8L	SF3B1				true	false
AKAP8L-SF3B4	AKAP8L	SF3B4		false	false	true	false
AKAP8L-SLBP	AKAP8L	SLBP				true	false
AKAP8L-SLTM	AKAP8L	SLTM				true	false
AKAP8L-SMNDC1	AKAP8L	SMNDC1				true	false
AKAP8L-SND1	AKAP8L	SND1				true	false
AKAP8L-SRSF1	AKAP8L	SRSF1		false	false	true	false
AKAP8L-SRSF7	AKAP8L	SRSF7				true	false
AKAP8L-SRSF9	AKAP8L	SRSF9				true	false
AKAP8L-SSB	AKAP8L	SSB				true	false
AKAP8L-SUPV3L1	AKAP8L	SUPV3L1				true	false
AKAP8L-TAF15	AKAP8L	TAF15		false	false	true	false
AKAP8L-TARDBP	AKAP8L	TARDBP				true	false
AKAP8L-TBRG4	AKAP8L	TBRG4				true	false
AKAP8L-TIA1	AKAP8L	TIA1		false	false	true	false
AKAP8L-TRA2A	AKAP8L	TRA2A				true	false
AKAP8L-TROVE2	AKAP8L	TROVE2				true	false
AKAP8L-U2AF1	AKAP8L	U2AF1				true	false
AKAP8L-U2AF2	AKAP8L	U2AF2		false	false	true	false
AKAP8L-UCHL5	AKAP8L	UCHL5				true	false
AKAP8L-UPF1	AKAP8L	UPF1				true	false
AKAP8L-UTP18	AKAP8L	UTP18				true	false
AKAP8L-UTP3	AKAP8L	UTP3				true	false
AKAP8L-WDR3	AKAP8L	WDR3				true	false
AKAP8L-WDR43	AKAP8L	WDR43				true	false
AKAP8L-WRN	AKAP8L	WRN				true	false
AKAP8L-XRCC6	AKAP8L	XRCC6				true	false
