Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	# Rows - RBP 1 Bound	% Rows - RBP 1 Bound	# Rows - RBP 2 Bound	% Rows - RBP 2 Bound	# Rows - PPI Interaction	% Rows - PPI Interaction	Intercept Beta Coefficient	Intercept Param P-value	Intercept Param FDR BH	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 1 Param FDR BH	RBP 2 Beta Coefficient	RBP 2 Param P-value	RBP 2 Param FDR BH	Interaction Beta Coefficient	Interaction Param P-value	Interaction Param FDR BH
All	K562	CSTF2T-TAF15	4	2252043	17177	0.7627296636875939	652	0.028951489825016663	281	0.0124775592650762	0.7222261895864609	0.0	0.0	-0.16592629612056212	0.0	0.0	-0.03403211950558874	0.06002651427772315	0.06420418376957934	0.27144574917135234	1.1097747914307922e-22	1.6002678473965002e-22
All	HepG2	PCBP1-RBFOX2	2	2083000	4762	0.22861257801248203	24110	1.157465194431109	266	0.012770043206913106	0.7054130760701219	0.0	0.0	0.003166105424555835	0.5489450927397064	0.5590066227675332	0.0031053352702506043	0.17784516287381943	0.1864660235517245	0.21585683661854152	6.792753450313776e-22	9.746850159663994e-22
All	K562	IGF2BP2-PCBP1	4	2252043	22649	1.005709038415341	12221	0.5426628177170685	2797	0.12419833901928161	0.7185922629585099	0.0	0.0	0.2122981762919516	0.0	0.0	0.06461237413826844	2.9697713913442933e-72	5.899137729745126e-72	-0.07516584520852568	1.7636992366342687e-21	2.5245106720451295e-21
All	HepG2	HNRNPK-PCBP1	2	2083000	9177	0.4405664906385022	4762	0.22861257801248203	443	0.02126740278444551	0.7054342132221041	0.0	0.0	0.0034480858390337904	0.36344277889639165	0.37500102981535816	0.030962985203468105	9.192190998192907e-09	1.1183832381134704e-08	-0.1709999118041027	2.7733222243994627e-21	3.959951538017815e-21
All	K562	EWSR1-NONO	6	2252043	4464	0.19822001622526747	10203	0.453055292461112	1856	0.0824140569252008	0.7213777951547681	0.0	0.0	-0.007528677056613861	0.2705756326688641	0.28217173121181544	-0.10287545898608373	2.4252058266528894e-159	5.926025952992834e-159	0.10659395942240175	2.9156642680177834e-21	4.142939008570281e-21
All	HepG2	RBM15-SRSF9	6	2083000	5332	0.25597695631301004	7982	0.38319731156985115	356	0.017090734517522802	0.7062738893703602	0.0	0.0	-0.14741516750538616	1.6595059655923537e-189	4.326569124580065e-189	-0.11557260429298138	2.0798246844199456e-178	5.350738395159683e-178	0.1764287700684873	5.607731810494595e-19	7.9295771848156015e-19
All	K562	HNRNPK-PCBP1	5	2252043	17550	0.7792924024985313	8869	0.3938201890461239	3371	0.1496863070554159	0.7205826518229076	0.0	0.0	0.03823655263438706	1.0493968728948346e-38	1.7361126735710577e-38	0.0538163114364648	3.1011961744658964e-30	4.868544531957214e-30	-0.0721030329510087	1.1628155015196535e-18	1.6403001277475307e-18
All	HepG2	HNRNPK-U2AF2	5	2083000	16670	0.800288046087374	122107	5.862073931829093	787	0.03778204512722035	0.7091179636608542	0.0	0.0	0.05400757937256371	5.411989073527328e-82	1.0936337781799168e-81	-0.0701015648807755	0.0	0.0	0.11393790240642145	1.3769227312411895e-18	1.9283522183329846e-18
All	HepG2	SF3B4-TAF15	3	2083000	79767	3.829428708593375	1007	0.04834373499759962	171	0.008209313490158425	0.7000326770865122	0.0	0.0	0.14362507581563985	0.0	0.0	-0.14450636129705066	2.3596073358787272e-32	3.765056514079718e-32	0.25562638617265804	6.332003952908352e-18	8.783587431112773e-18
All	K562	HNRNPK-U2AF2	5	2252043	17550	0.7792924024985313	59370	2.636272930845459	264	0.011722689131601838	0.7219407813414349	0.0	0.0	0.031319516009021164	6.200068568444152e-32	9.866049166134564e-32	-0.04633791530414119	6.8421067746091965e-223	1.8585071424984982e-222	0.18237686037793752	3.9610002144719516e-17	5.4428802947096937e-17
