Parameter Name	Beta_K562	Beta_HepG2	Raw_P_K562	Raw_P_HepG2	FDR_K562	FDR_HepG2
TIA1_6	-0.04713700267521445	-0.049875636926776316	1.3260959485477676e-99	3.454124936691254e-28	7.448238911009961e-99	7.7088748587082965e-28
U2AF1-U2AF2_1_interaction	-0.12553240730861148	0.0385639717114995	3.848368628681894e-58	0.00025877213842732667	1.3509377373602064e-57	0.0003241866566914836
U2AF1-U2AF2_2_interaction	0.08471087896109424	0.032555115153819134	4.86641435015208e-59	4.615776378551454e-08	1.7446613148949474e-58	6.822441401630877e-08
U2AF1-U2AF2_3_interaction	-0.03937428686364115	-0.05157761735054109	1.3175949645702704e-07	4.4405230339097083e-16	1.9139202718111255e-07	7.794043033476936e-16
U2AF1-U2AF2_4_interaction	-0.08502842474876128	-0.098577708137835	4.816828525915425e-46	1.0136073547679765e-64	1.3756535705368628e-45	3.9262721673196334e-64
U2AF1-U2AF2_5_interaction	-0.01845535542590068	0.059136983638612854	0.006741754205432036	1.8536461462643018e-19	0.00805612525551548	3.5094311870284814e-19
U2AF1-U2AF2_6_interaction	0.018205850809280607	-0.20034102439185178	0.0015121143534234068	2.084882604356043e-134	0.001846313540230754	1.4338886483020133e-133
U2AF1_1	0.03620064950942555	-0.05070585427041856	3.462523346800166e-08	1.3301469576015247e-08	5.1403980963509065e-08	2.0011585924630083e-08
U2AF1_2	-0.08226022393877587	-0.007620012382914062	1.3404859748750292e-75	0.13289503767162844	5.943997020169538e-75	0.14446976675915738
U2AF1_3	-0.022558816039059727	-0.008361046671895325	0.00043415451932986326	0.11255328563378235	0.000537904680199132	0.12342290592686313
U2AF1_4	0.08765289480339666	0.05019180903788389	2.883409394053297e-63	4.603554985006903e-22	1.1042147338590466e-62	9.07250309910717e-22
U2AF1_5	0.006113757014413697	-0.02152054103111067	0.2962685506962219	2.1304189945770536e-05	0.31103583048170336	2.8377517832903835e-05
U2AF1_6	-0.05700361846149976	0.17074856116183787	2.49617831593141e-30	1.2334397710013438e-116	5.6457187414019136e-30	7.697577830138016e-116
U2AF2_1	0.012770465906340324	0.0001477670490320045	2.23426782924979e-07	0.924673651065521	3.204035142370975e-07	0.9301940907733749
U2AF2_2	-0.01845678459836668	-0.02362303164382192	1.1308618164460694e-34	4.611833917865891e-103	2.8022090598700397e-34	2.6342170005437377e-102
U2AF2_3	0.01061875142740084	0.020259064866838462	7.202935225277778e-07	3.516214514359604e-52	1.007215423617681e-06	1.097189158647395e-51
U2AF2_4	0.028503202553716894	-0.01663551055271539	3.910016175219536e-68	6.333582408018387e-55	1.56866125124879e-67	2.1344172715021966e-54
U2AF2_5	-0.03297083734350793	-0.06932778447160193	5.037166280945809e-65	0.0	1.9738663217194625e-64	0.0
U2AF2_6	0.0011924771596902358	0.010129020879940661	0.4763571473391557	3.406849510471103e-17	0.49243054801624375	6.13961649748001e-17
ZC3H8_3	0.021640187858169894		0.021344795390218628		0.024550157155302652	
ZC3H8_5	0.015783954481321746		0.26916126656542044		0.2843490496318078	
ZC3H8_6	0.19263104146067633		1.1631785111629793e-08		1.757807884582619e-08	
const	0.7113951777683497	0.7121150214718002	0.0	0.0	0.0	0.0
