RBP	Cell Line	Feature	Global SHAP	ElasticNet Coefficient	Binding Sum	# RBP Differential Events
HNRNPM	HepG2	HNRNPM_2	0.00039577455	-0.010407442515467885	11812	423.0
HNRNPM	HepG2	HNRNPM_3	0.0013992294	-0.059543575349216074	4111	423.0
HNRNPM	HepG2	HNRNPM_4	0.0028043932	-0.15568731397608399	6348	423.0
HNRNPM	HepG2	HNRNPM_5	0.0	-0.0	1927	423.0
HNRNPM	HepG2	HNRNPM_6	0.0	-0.0	2579	423.0
HNRNPUL1	HepG2	HNRNPUL1_1	0.0	-0.0	323	470.0
HNRNPUL1	HepG2	HNRNPUL1_2	0.0	0.0	592	470.0
HNRNPUL1	HepG2	HNRNPUL1_3	0.0	-0.0	10	470.0
HNRNPUL1	HepG2	HNRNPUL1_4	0.0	-0.0	564	470.0
HNRNPUL1	HepG2	HNRNPUL1_5	0.0	0.0	6	470.0
HNRNPUL1	HepG2	HNRNPUL1_6	0.0	0.0	8	470.0
HNRNPU	HepG2	HNRNPU_1	0.0	-0.0	845	1011.0
HNRNPU	HepG2	HNRNPU_2	0.0	0.0	8	1011.0
HNRNPU	HepG2	HNRNPU_3	0.0	0.0	191	1011.0
HNRNPU	HepG2	HNRNPU_4	0.0	0.0	215	1011.0
HNRNPU	HepG2	HNRNPU_5	0.0	0.0	132	1011.0
HNRNPU	HepG2	HNRNPU_6	0.0	0.0	4	1011.0
IGF2BP1	HepG2	IGF2BP1_1	0.0058731926	-0.06459955245078275	36195	
IGF2BP1	HepG2	IGF2BP1_2	0.0018058775	-0.02042689904636847	40232	
IGF2BP1	HepG2	IGF2BP1_3	0.014767912	0.10520913668966983	33598	
IGF2BP1	HepG2	IGF2BP1_4	0.014943301	0.08496654706002982	36992	
IGF2BP1	HepG2	IGF2BP1_5	0.0009232639	-0.0	53613	
IGF2BP1	HepG2	IGF2BP1_6	0.0021102845	0.023485197108229734	53144	
IGF2BP3	HepG2	IGF2BP3_1	0.0026590233	-0.0	16495	735.0
IGF2BP3	HepG2	IGF2BP3_2	0.0005763492	0.0	20918	735.0
IGF2BP3	HepG2	IGF2BP3_3	0.0010417228	0.002406244441806456	16848	735.0
IGF2BP3	HepG2	IGF2BP3_4	0.0077184844	0.044911033438911306	20248	735.0
IGF2BP3	HepG2	IGF2BP3_5	0.00076841004	-0.0034311532605597926	27550	735.0
IGF2BP3	HepG2	IGF2BP3_6	0.00038666863	-0.011223646707973418	37490	735.0
ILF3	HepG2	ILF3_1	9.280987e-06	0.0	1299	363.0
ILF3	HepG2	ILF3_2	0.00013273938	0.0	1457	363.0
ILF3	HepG2	ILF3_3	0.0022657148	-0.2523606038540381	2632	363.0
ILF3	HepG2	ILF3_4	0.0023257514	-0.2706854215217206	2787	363.0
ILF3	HepG2	ILF3_5	0.0	0.0	1055	363.0
ILF3	HepG2	ILF3_6	0.0	-0.0	2093	363.0
KHSRP	HepG2	KHSRP_1	5.059283e-05	-0.0	15720	446.0
KHSRP	HepG2	KHSRP_2	0.0056591555	-0.026376303420907785	58595	446.0
KHSRP	HepG2	KHSRP_3	0.003042525	-0.04473183591515191	37504	446.0
KHSRP	HepG2	KHSRP_4	0.00087496836	-0.0	40246	446.0
KHSRP	HepG2	KHSRP_5	0.0044326046	-0.051710868000283856	30569	446.0
KHSRP	HepG2	KHSRP_6	0.00067529175	-0.011172603530866078	34395	446.0
LARP4	HepG2	LARP4_1	0.0030391947	-0.013267554143302189	36796	621.0
LARP4	HepG2	LARP4_2	0.005404945	-0.053456526292620155	51134	621.0
LARP4	HepG2	LARP4_3	0.01605393	0.08170031395125564	47039	621.0
LARP4	HepG2	LARP4_4	0.027248688	0.09959690860846242	56143	621.0
LARP4	HepG2	LARP4_5	0.010362717	-0.03873389521607762	98655	621.0
LARP4	HepG2	LARP4_6	0.0022250358	-0.0042028452452727155	112226	621.0
LARP7	HepG2	LARP7_1	0.00010549394	-0.0	3760	199.0
LARP7	HepG2	LARP7_2	0.0	-0.0	2090	199.0
LARP7	HepG2	LARP7_3	8.102345e-06	0.0	3521	199.0
LARP7	HepG2	LARP7_4	0.0	-0.0	3248	199.0
LARP7	HepG2	LARP7_5	0.0001695466	-0.0	4711	199.0
LARP7	HepG2	LARP7_6	0.0	0.0	2510	199.0
LIN28B	HepG2	LIN28B_1	0.00047436808	0.00018914254027228072	51193	256.0
LIN28B	HepG2	LIN28B_2	0.00077914033	-0.008402722332475165	58766	256.0
LIN28B	HepG2	LIN28B_3	0.020925963	0.0633581022570131	50336	256.0
LIN28B	HepG2	LIN28B_4	0.025847172	0.0682126098087823	52024	256.0
LIN28B	HepG2	LIN28B_5	0.001210218	-0.0029251207628964195	68975	256.0
LIN28B	HepG2	LIN28B_6	0.0067993635	0.02994274252335577	75521	256.0
LSM11	HepG2	LSM11_1	8.543347e-05	-0.0	11145	166.0
LSM11	HepG2	LSM11_2	0.0011668304	-0.016211298871384477	14036	166.0
LSM11	HepG2	LSM11_3	5.488878e-06	-0.0	16524	166.0
LSM11	HepG2	LSM11_4	8.5216176e-05	0.0	18658	166.0
LSM11	HepG2	LSM11_5	0.00019244158	0.0	33360	166.0
LSM11	HepG2	LSM11_6	0.0017002099	0.0	33569	166.0
MATR3	HepG2	MATR3_1	0.0	0.0	234	1046.0
MATR3	HepG2	MATR3_2	0.0	-0.0	1482	1046.0
MATR3	HepG2	MATR3_3	0.0005695566	-0.039811317080970555	1471	1046.0
MATR3	HepG2	MATR3_4	0.0	-0.0	192	1046.0
MATR3	HepG2	MATR3_5	9.079564e-06	-0.0	701	1046.0
MATR3	HepG2	MATR3_6	0.0	-0.0	566	1046.0
NCBP2	HepG2	NCBP2_1	0.0010774373	-0.015602082986341883	88332	893.0
NCBP2	HepG2	NCBP2_2	0.016493035	-0.04705012260032391	113183	893.0
NCBP2	HepG2	NCBP2_3	0.0030469855	0.021613881496014047	11930	893.0
NCBP2	HepG2	NCBP2_4	0.0	0.0	3262	893.0
NCBP2	HepG2	NCBP2_5	0.0024670758	-0.3307278729197286	2675	893.0
NCBP2	HepG2	NCBP2_6	0.00028290262	-0.0	1515	893.0
NIP7	HepG2	NIP7_1	8.5648106e-05	0.0	3792	149.0
NIP7	HepG2	NIP7_2	0.00049454515	0.0	8072	149.0
NIP7	HepG2	NIP7_3	0.0	0.0	5687	149.0
NIP7	HepG2	NIP7_4	0.0	-0.0	7831	149.0
NIP7	HepG2	NIP7_5	0.00048980495	-0.0	5686	149.0
NIP7	HepG2	NIP7_6	0.0	0.0	3817	149.0
NKRF	HepG2	NKRF_1	0.0001171954	-0.0	6263	267.0
NKRF	HepG2	NKRF_2	0.0044129	-0.04416625995690723	24793	267.0
NKRF	HepG2	NKRF_3	0.0022760958	-0.12762277624569698	4811	267.0
NKRF	HepG2	NKRF_4	0.0	-0.01563422279193842	4127	267.0
NKRF	HepG2	NKRF_5	0.0	-0.0	1490	267.0
NKRF	HepG2	NKRF_6	0.0	-0.0	1529	267.0
NOL12	HepG2	NOL12_1	7.952206e-06	-0.0	6524	232.0
NOL12	HepG2	NOL12_2	0.0	-0.0	5945	232.0
NOL12	HepG2	NOL12_3	0.0	-0.0	6783	232.0
NOL12	HepG2	NOL12_4	0.0	-0.0	4769	232.0
NOL12	HepG2	NOL12_5	2.7412996e-06	-0.0	5283	232.0
NOL12	HepG2	NOL12_6	0.0	0.0	3554	232.0
NOLC1	HepG2	NOLC1_1	0.00021124695	-0.0	18417	
NOLC1	HepG2	NOLC1_2	0.00037404077	0.00442437965397062	16698	
NOLC1	HepG2	NOLC1_3	0.00066583895	0.004119172854621294	23443	
NOLC1	HepG2	NOLC1_4	0.0017411351	-0.02842396050363891	17476	
NOLC1	HepG2	NOLC1_5	0.0006787983	-0.0	21958	
NOLC1	HepG2	NOLC1_6	0.00035188842	0.0	16973	
NSUN2	HepG2	NSUN2_1	0.0	0.0	508	316.0
NSUN2	HepG2	NSUN2_2	0.0	0.0	709	316.0
NSUN2	HepG2	NSUN2_3	0.0	0.0	627	316.0
NSUN2	HepG2	NSUN2_4	0.0	0.0	434	316.0
NSUN2	HepG2	NSUN2_5	5.6361455e-06	-0.0	525	316.0
NSUN2	HepG2	NSUN2_6	0.0	0.0	216	316.0
PABPN1	HepG2	PABPN1_1	0.003581791	-0.03884733948135891	35725	
PABPN1	HepG2	PABPN1_2	0.00012416471	0.0	43730	
PABPN1	HepG2	PABPN1_3	0.0120660355	0.038919763534157194	44408	
PABPN1	HepG2	PABPN1_4	0.011391774	0.05456976237165453	48350	
PABPN1	HepG2	PABPN1_5	0.0017722992	-0.009847375629908475	74355	
PABPN1	HepG2	PABPN1_6	0.0004744372	-0.0	75382	
PCBP1	HepG2	PCBP1_1	4.8354934e-05	0.015480297717812822	9278	989.0
PCBP1	HepG2	PCBP1_2	0.001307293	-0.0	7977	989.0
PCBP1	HepG2	PCBP1_3	1.1100251e-05	-0.0	10607	989.0
PCBP1	HepG2	PCBP1_4	0.00024508985	0.0	9085	989.0
PCBP1	HepG2	PCBP1_5	8.670508e-07	0.0	13048	989.0
PCBP1	HepG2	PCBP1_6	0.0018433217	-0.0	12798	989.0
PCBP2	HepG2	PCBP2_1	0.00011247002	0.0	25449	457.0
PCBP2	HepG2	PCBP2_2	0.0014929672	-0.0	37911	457.0
PCBP2	HepG2	PCBP2_3	0.0013356698	-0.0	26683	457.0
PCBP2	HepG2	PCBP2_4	0.0002845041	-0.0	21881	457.0
PCBP2	HepG2	PCBP2_5	0.00060517975	1.2833121749883338e-05	18210	457.0
PCBP2	HepG2	PCBP2_6	0.003352259	-0.04509628627616654	31674	457.0
POLR2G	HepG2	POLR2G_1	0.0	-0.0	16	
POLR2G	HepG2	POLR2G_2	0.0	0.0	0	
POLR2G	HepG2	POLR2G_3	0.0	0.0	0	
POLR2G	HepG2	POLR2G_4	0.0	0.0	0	
POLR2G	HepG2	POLR2G_5	0.0	0.0	74	
POLR2G	HepG2	POLR2G_6	0.0	0.0	0	
PPIG	HepG2	PPIG_1	0.004739397	0.0	394061	204.0
PPIG	HepG2	PPIG_2	0.033458214	-0.02530493177039847	599049	204.0
PPIG	HepG2	PPIG_3	0.09365689	0.07329287477843112	325402	204.0
PPIG	HepG2	PPIG_4	0.18263881	0.10322126948836408	454204	204.0
