Feature	Statistic	P-Val	RBP	Position	FDR P-Val
RBM15_5_right_shap	599.8674853567438	3.596313092525498e-261	RBM15	2	7.489569467920074e-261
SDAD1_5_right_shap	599.8290283025154	3.7372277655851622e-261	SDAD1	2	7.747495002628601e-261
SRSF9_5_left_shap	597.5066505837104	3.8068518255173636e-260	SRSF9	1	7.855957858113105e-260
SRSF1_center_right_shap	591.2023866817268	2.0744904562715468e-257	SRSF1	4	4.261622928268245e-257
YBX3_3_right_shap	590.9012345021308	2.8030186688383792e-257	YBX3	6	5.732299439876685e-257
HLTF_5_right_shap	583.5354540470166	4.413073872295301e-254	HLTF	2	8.98446429606308e-254
LSM11_5_left_shap	581.926498034014	2.2034904315641144e-253	LSM11	1	4.4660029282594105e-253
PRPF4_3_right_shap	574.690297582937	3.04795858781696e-250	PRPF4	6	6.150103106084e-250
PCBP2_3_left_shap	567.4365512302347	4.2908635523286656e-247	PCBP2	5	8.619699348483249e-247
AGGF1_3_right_shap	566.393715754983	1.2167350162714402e-246	AGGF1	6	2.4334700325428804e-246
TIAL1_center_left_shap	563.6622427324595	1.865591058952584e-245	TIAL1	3	3.714817284054706e-245
RBM15_5_left_shap	562.9379882939653	3.8475664516189295e-245	RBM15	1	7.627926502336219e-245
BCLAF1_3_left_shap	562.7396930003837	4.690921514358324e-245	BCLAF1	5	9.259471163124692e-245
TIA1_5_right_shap	555.958482044061	4.11831768380864e-242	TIA1	2	8.094009646965899e-242
HLTF_center_left_shap	554.7151824126902	1.4268892190793046e-241	HLTF	3	2.7922745925086395e-241
HNRNPC_center_left_shap	553.4979106727122	4.816854708139419e-241	HNRNPC	3	9.385631062211572e-241
PCBP2_center_left_shap	549.4134105158195	2.855621784021293e-239	PCBP2	3	5.54039440147721e-239
QKI_3_left_shap	546.2751535789589	6.575243077921204e-238	QKI	5	1.2702810031388197e-237
SUB1_center_right_shap	539.1187618349439	8.399909656130527e-235	SUB1	4	1.615914823679347e-234
GTF2F1_5_right_shap	536.9204724295205	7.559388133010287e-234	GTF2F1	2	1.4480853216821397e-233
RBM5_center_left_shap	530.8415968766392	3.289698893952088e-231	RBM5	3	6.275307974177513e-231
HNRNPM_5_right_shap	529.4203751697675	1.3616668955839092e-230	HNRNPM	2	2.5865973665066726e-230
