Feature	Statistic	P-Val	RBP	Position	FDR P-Val
NCBP2_3_right_shap	525.4909162474632	6.845900049926208e-229	NCBP2	6	1.2079701055837534e-228
RPS3_center_left_shap	525.4186883131354	7.358412270089126e-229	RPS3	3	1.2942287819095665e-228
KHSRP_center_right_shap	518.802298952393	5.481681056507651e-226	KHSRP	4	9.61051133945412e-226
AGGF1_center_left_shap	515.2944953523328	1.8265615191932754e-224	AGGF1	3	3.192105913733935e-224
SRSF1_5_right_shap	513.446458182579	1.1584043752244164e-223	SRSF1	2	2.017984691871834e-223
FMR1_5_left_shap	511.63411027948035	7.089159993881595e-223	FMR1	1	1.2310382592549944e-222
AATF_center_left_shap	510.2494834783445	2.8291620209048886e-222	AATF	3	4.897315270363842e-222
HNRNPM_3_left_shap	506.4334787466261	1.2828615270091209e-220	HNRNPM	5	2.213644338403751e-220
ELAVL1_5_left_shap	505.5494036367876	3.104246983222648e-220	ELAVL1	1	5.339695282461599e-220
DGCR8_center_left_shap	504.94442559056887	5.682992154877157e-220	DGCR8	3	9.744817268707853e-220
DDX55_5_right_shap	493.8598221485703	3.684894502326446e-215	DDX55	2	6.298866539914268e-215
HLTF_5_right_shap	491.2490505297851	5.009253453616841e-214	HLTF	2	8.53601756737823e-214
PCBP1_center_left_shap	485.7180034231797	1.2613471464008641e-211	PCBP1	3	2.1427232580163747e-211
ZC3H8_center_left_shap	482.7180129735006	2.530194432592369e-210	ZC3H8	3	4.284880354885529e-210
EWSR1_5_left_shap	481.01844426992216	1.3834117904724814e-209	EWSR1	1	2.335574843791504e-209
XRCC6_5_right_shap	470.8239514261573	3.6854707668349984e-205	XRCC6	2	6.202930798334597e-205
ZNF800_5_right_shap	470.6276460705406	4.48447573412757e-205	ZNF800	2	7.524565112171108e-205
MTPAP_center_left_shap	468.28177422078977	4.678280979931801e-204	MTPAP	3	7.825748305879801e-204
LARP4_3_right_shap	466.1205206410368	4.058051187196192e-203	LARP4	6	6.767542681086332e-203
PUM1_5_right_shap	460.7796447016046	8.450379082682223e-201	PUM1	2	1.4049718414064365e-200
XRN2_center_right_shap	456.88728402063936	4.136360828390496e-199	XRN2	4	6.856331433726065e-199
QKI_5_right_shap	450.9502426118641	1.5631611376598058e-196	QKI	2	2.5832300371598603e-196
DROSHA_5_left_shap	450.2025311295911	3.3006603241806894e-196	DROSHA	1	5.438136136526618e-196
GRWD1_5_left_shap	447.28756495256465	6.082053659878979e-195	GRWD1	1	9.990640696557963e-195
DDX51_5_right_shap	442.35834943122126	8.39336303601911e-193	DDX51	2	1.374601670868998e-192
FMR1_3_left_shap	439.9882198202755	8.971541811859575e-192	FMR1	5	1.464905483906623e-191
EIF4E_5_left_shap	439.03886270741305	2.3174307890852728e-191	EIF4E	1	3.7727221477072743e-191
FAM120A_3_left_shap	427.86863854458437	1.637973167462482e-186	FAM120A	5	2.6586686130622483e-186
TARDBP_3_right_shap	423.8051544653738	9.514552300367466e-185	TARDBP	6	1.5397810971304745e-184
FTO_center_right_shap	421.1167661190074	1.3979856164106272e-183	FTO	4	2.2557467025858795e-183
DROSHA_center_right_shap	420.8520820024275	1.821422066547487e-183	DROSHA	4	2.9303466776513983e-183
APOBEC3C_5_right_shap	410.8469991054428	4.017526726841505e-179	APOBEC3C	2	6.444537007572737e-179
TRA2A_5_left_shap	410.372769506461	6.454149147755569e-179	TRA2A	1	1.0322864280182152e-178
