Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	CSTF2T_3-ILF3_3-interaction-shap	interaction	CSTF2T	3	ILF3	3	34	0.3982766568660736	false	0.3982766568660736	CSTF2T-ILF3
HepG2	PRPF8_3-RBFOX2_4-interaction-shap	interaction	PRPF8	3	RBFOX2	4	114	-0.39703813195228577	false	0.39703813195228577	PRPF8-RBFOX2
HepG2	NKRF_3-RBFOX2_3-interaction-shap	interaction	NKRF	3	RBFOX2	3	90	0.3965793251991272	false	0.3965793251991272	NKRF-RBFOX2
HepG2	RBM22_2-NCBP2_5-interaction-shap	interaction	RBM22	2	NCBP2	5	2	0.391361802816391	false	0.391361802816391	NCBP2-RBM22
HepG2	SRSF9_1-RBFOX2_4-interaction-shap	interaction	SRSF9	1	RBFOX2	4	51	0.3846665024757385	false	0.3846665024757385	RBFOX2-SRSF9
HepG2	SRSF1_1-AQR_3-interaction-shap	interaction	SRSF1	1	AQR	3	280	-0.3808879256248474	false	0.3808879256248474	AQR-SRSF1
HepG2	TARDBP_1-DGCR8_2-interaction-shap	interaction	TARDBP	1	DGCR8	2	14	-0.3758428692817688	false	0.3758428692817688	DGCR8-TARDBP
HepG2	PRPF8_4-RBM22_4-interaction-shap	interaction	PRPF8	4	RBM22	4	2242	-0.3701082766056061	false	0.3701082766056061	PRPF8-RBM22
HepG2	HNRNPK_1-PRPF8_4-interaction-shap	interaction	HNRNPK	1	PRPF8	4	337	-0.3693332076072693	false	0.3693332076072693	HNRNPK-PRPF8
HepG2	HLTF_4-BUD13_5-interaction-shap	interaction	HLTF	4	BUD13	5	88	-0.3684532046318054	false	0.3684532046318054	BUD13-HLTF
HepG2	DDX3X_3-PRPF8_4-interaction-shap	interaction	DDX3X	3	PRPF8	4	1046	-0.3684321343898773	false	0.3684321343898773	DDX3X-PRPF8
HepG2	BUD13_3-EFTUD2_4-interaction-shap	interaction	BUD13	3	EFTUD2	4	881	-0.3670545816421509	false	0.3670545816421509	BUD13-EFTUD2
HepG2	TARDBP_3-XPO5_5-interaction-shap	interaction	TARDBP	3	XPO5	5	13	-0.3641131520271301	false	0.3641131520271301	TARDBP-XPO5
HepG2	SF3B4_1-DDX3X_6-interaction-shap	interaction	SF3B4	1	DDX3X	6	31	0.36337894201278687	false	0.36337894201278687	DDX3X-SF3B4
HepG2	SRSF1_3-BCLAF1_4-interaction-shap	interaction	SRSF1	3	BCLAF1	4	382	-0.36095112562179565	false	0.36095112562179565	BCLAF1-SRSF1
HepG2	BCLAF1_3-BUD13_3-interaction-shap	interaction	BCLAF1	3	BUD13	3	781	-0.3583723306655884	false	0.3583723306655884	BCLAF1-BUD13
HepG2	AQR_4-PRPF8_4-interaction-shap	interaction	AQR	4	PRPF8	4	7080	-0.35773393511772156	false	0.35773393511772156	AQR-PRPF8
HepG2	PRPF8_4-RPS3_4-interaction-shap	interaction	PRPF8	4	RPS3	4	1662	-0.35751599073410034	false	0.35751599073410034	PRPF8-RPS3
HepG2	DDX3X_2-EIF3H_4-interaction-shap	interaction	DDX3X	2	EIF3H	4	21	-0.3547847867012024	false	0.3547847867012024	DDX3X-EIF3H
