Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
K562	DDX24_2-PUM2_6-interaction-shap	interaction	DDX24	2	PUM2	6	76	0.0	false	0.0
K562	DDX24_2-RBFOX2_6-interaction-shap	interaction	DDX24	2	RBFOX2	6	133	0.0	false	0.0
K562	PRPF8_1-NIPBL_3-interaction-shap	interaction	PRPF8	1	NIPBL	3	126	0.0	false	0.0
K562	DDX24_2-RPS3_6-interaction-shap	interaction	DDX24	2	RPS3	6	202	0.0	false	0.0
K562	DDX24_2-RPS6_6-interaction-shap	interaction	DDX24	2	RPS6	6	29	0.0	false	0.0
K562	DDX24_2-SF3B4_6-interaction-shap	interaction	DDX24	2	SF3B4	6	332	0.0	false	0.0
K562	PRPF8_1-NCBP2_3-interaction-shap	interaction	PRPF8	1	NCBP2	3	1	0.0	false	0.0
K562	DDX24_2-TAF15_6-interaction-shap	interaction	DDX24	2	TAF15	6	2	0.0	false	0.0
K562	PRPF8_1-MTPAP_3-interaction-shap	interaction	PRPF8	1	MTPAP	3	18	0.0	false	0.0
K562	DDX24_2-U2AF2_6-interaction-shap	interaction	DDX24	2	U2AF2	6	69	0.0	false	0.0
K562	DDX3X_2-AATF_6-interaction-shap	interaction	DDX3X	2	AATF	6	26	0.0	false	0.0
K562	PRPF8_1-MBNL1_3-interaction-shap	interaction	PRPF8	1	MBNL1	3	4	0.0	false	0.0
K562	DDX3X_2-AGGF1_6-interaction-shap	interaction	DDX3X	2	AGGF1	6	23	0.0	false	0.0
K562	DDX3X_2-AKAP1_6-interaction-shap	interaction	DDX3X	2	AKAP1	6	9	0.0	false	0.0
K562	PRPF8_1-MATR3_3-interaction-shap	interaction	PRPF8	1	MATR3	3	1	0.0	false	0.0
