Cell Line	Column	Column Type	Sorted RBP Pair	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value
HepG2	DDX3X_1-G3BP1_6-interaction-shap	interaction	DDX3X-G3BP1	DDX3X	1	G3BP1	6	342	-0.23607461154460907	false	0.23607461154460907
HepG2	PPIG_2-RBM5_5-interaction-shap	interaction	PPIG-RBM5	PPIG	2	RBM5	5	438	-0.23493173718452454	false	0.23493173718452454
HepG2	PPIG_4-TIA1_4-interaction-shap	interaction	PPIG-TIA1	PPIG	4	TIA1	4	211	-0.23461876809597015	false	0.23461876809597015
HepG2	NKRF_2-U2AF2_5-interaction-shap	interaction	NKRF-U2AF2	NKRF	2	U2AF2	5	70	-0.2340976446866989	false	0.2340976446866989
HepG2	PCBP2_4-RBFOX2_4-interaction-shap	interaction	PCBP2-RBFOX2	PCBP2	4	RBFOX2	4	188	0.23211587965488434	true	0.23211587965488434
HepG2	DDX3X_2-LARP4_6-interaction-shap	interaction	DDX3X-LARP4	DDX3X	2	LARP4	6	519	0.2303367257118225	false	0.2303367257118225
HepG2	U2AF2_3-SF3A3_6-interaction-shap	interaction	SF3A3-U2AF2	U2AF2	3	SF3A3	6	18	-0.2274988293647766	false	0.2274988293647766
HepG2	LIN28B_2-U2AF1_3-interaction-shap	interaction	LIN28B-U2AF1	LIN28B	2	U2AF1	3	32	-0.2263939082622528	false	0.2263939082622528
HepG2	CSTF2T_4-RBM22_6-interaction-shap	interaction	CSTF2T-RBM22	CSTF2T	4	RBM22	6	71	-0.22551117837429047	false	0.22551117837429047
HepG2	IGF2BP1_3-TIAL1_3-interaction-shap	interaction	IGF2BP1-TIAL1	IGF2BP1	3	TIAL1	3	65	-0.2248597890138626	false	0.2248597890138626
HepG2	SRSF1_4-DDX3X_6-interaction-shap	interaction	DDX3X-SRSF1	SRSF1	4	DDX3X	6	4	0.22183974087238312	false	0.22183974087238312
HepG2	PPIG_1-PTBP1_3-interaction-shap	interaction	PPIG-PTBP1	PPIG	1	PTBP1	3	65	0.22164425253868103	false	0.22164425253868103
HepG2	PCBP1_2-U2AF2_2-interaction-shap	interaction	PCBP1-U2AF2	PCBP1	2	U2AF2	2	21	0.22119182348251343	false	0.22119182348251343
HepG2	RBM5_3-U2AF1_3-interaction-shap	interaction	RBM5-U2AF1	RBM5	3	U2AF1	3	151	-0.2176613062620163	false	0.2176613062620163
HepG2	RBM15_2-ZC3H11A_6-interaction-shap	interaction	RBM15-ZC3H11A	RBM15	2	ZC3H11A	6	7	-0.21757683157920837	false	0.21757683157920837
HepG2	IGF2BP1_3-SF3A3_3-interaction-shap	interaction	IGF2BP1-SF3A3	IGF2BP1	3	SF3A3	3	83	-0.21662786602973938	false	0.21662786602973938
HepG2	EFTUD2_5-RBM22_6-interaction-shap	interaction	EFTUD2-RBM22	EFTUD2	5	RBM22	6	481	-0.21626624464988708	false	0.21626624464988708
HepG2	LARP4_4-RPS3_4-interaction-shap	interaction	LARP4-RPS3	LARP4	4	RPS3	4	766	-0.2158394753932953	false	0.2158394753932953
HepG2	QKI_2-U2AF2_2-interaction-shap	interaction	QKI-U2AF2	QKI	2	U2AF2	2	30	-0.21270892024040222	false	0.21270892024040222
HepG2	DDX3X_3-PCBP2_3-interaction-shap	interaction	DDX3X-PCBP2	DDX3X	3	PCBP2	3	104	-0.2123425006866455	false	0.2123425006866455
HepG2	LARP4_4-DDX3X_5-interaction-shap	interaction	DDX3X-LARP4	LARP4	4	DDX3X	5	155	0.20833131670951843	false	0.20833131670951843
HepG2	NKRF_3-PPIG_5-interaction-shap	interaction	NKRF-PPIG	NKRF	3	PPIG	5	68	0.207281693816185	false	0.207281693816185
