,RBP,Cell Line,Significant Events,AUROC,AUPRC,Sign Concordance
238,PABPC4 Position 6,K562,8,0.6114026717557252,0.02283436508163094,75.0
239,YBX3 Position 3,K562,8,0.6930232558139534,0.019556424724348494,50.0
240,DROSHA Position 1,K562,8,0.44695121951219513,0.037871307626170816,50.0
241,HNRNPM Position 4,HepG2,8,0.2916666666666667,0.3132648103707886,100.0
242,CPSF6 Position 6,K562,8,0.5942982456140351,0.12151486489215849,75.0
243,QKI Position 2,HepG2,7,0.5,0.09333333333333334,0.0
244,U2AF2 Position 6,K562,7,0.3170553935860058,0.05436586165946734,0.0
245,PCBP2 Position 1,HepG2,7,0.5150720838794233,0.08798096516167617,14.285714285714285
246,DROSHA Position 4,K562,7,0.5231388329979879,0.10347600009519049,85.71428571428571
247,FXR1 Position 3,K562,7,0.6014109347442681,0.0926159094471675,71.42857142857143
248,TARDBP Position 4,K562,7,0.5788177339901477,0.2833793190936048,42.857142857142854
249,HNRNPM Position 2,HepG2,7,0.42222222222222217,0.1246088033746836,57.14285714285714
250,HNRNPK Position 4,K562,7,0.34798534798534797,0.146055381400209,28.57142857142857
251,HNRNPM Position 3,HepG2,7,0.19999999999999998,0.3258303321328532,100.0
252,AGGF1 Position 3,K562,7,0.3962264150943396,0.14037722497017285,0.0
253,DDX3X Position 3,K562,7,0.6009816207184628,0.026930441989729496,71.42857142857143
254,RBFOX2 Position 1,HepG2,7,0.577922077922078,0.12002386444577115,85.71428571428571
255,SF3A3 Position 6,HepG2,7,0.6258503401360545,0.31216931216931215,71.42857142857143
256,RBFOX2 Position 3,K562,7,0.42857142857142855,0.13156072796908286,42.857142857142854
257,PCBP1 Position 4,HepG2,7,0.5767857142857142,0.23893765612718165,0.0
258,PCBP1 Position 4,K562,7,0.40285714285714286,0.1728756537580067,57.14285714285714
259,LIN28B Position 5,K562,7,0.3901869158878505,0.011270892197302543,42.857142857142854
260,PUM1 Position 6,K562,7,0.37155963302752293,0.020077582777331883,71.42857142857143
261,PABPC4 Position 2,K562,7,0.38961038961038963,0.01684982315669352,71.42857142857143
262,IGF2BP2 Position 3,K562,7,0.41061670569867287,0.05213455823849915,85.71428571428571
263,DDX59 Position 2,HepG2,7,0.376984126984127,0.09909012382352461,14.285714285714285
264,HNRNPL Position 4,K562,7,0.7785714285714286,0.6114076399790686,85.71428571428571
265,UTP18 Position 2,K562,7,0.71889400921659,0.6812725090036014,0.0
266,LIN28B Position 6,K562,7,0.4024024024024024,0.010306349909249647,28.57142857142857
267,LIN28B Position 6,HepG2,7,0.560882070949185,0.040570499300926946,85.71428571428571
268,PUM1 Position 5,K562,6,0.36225266362252667,0.014911493336560892,66.66666666666666
269,SF3A3 Position 2,HepG2,6,0.5,0.42857142857142855,0.0
270,PTBP1 Position 6,HepG2,6,0.42156862745098034,0.1560334069525246,50.0
271,IGF2BP3 Position 5,HepG2,6,0.6308479532163742,0.1099204519843465,33.33333333333333
272,FUBP3 Position 6,HepG2,6,0.5070281124497993,0.15054834054834054,66.66666666666666
273,GRWD1 Position 3,HepG2,6,0.6128858024691358,0.010667670187526932,66.66666666666666
274,DROSHA Position 3,K562,6,0.5746527777777778,0.05869808673219566,66.66666666666666
275,QKI Position 4,K562,6,0.5546875,0.22474747474747475,16.666666666666664
