Cell Line	Data Mode	Feature	Zero Cutoff	% Non Zero
HepG2	Unique-Binding	AQR_6_shap	0.01	12.032548476454293
HepG2	Unique-Binding	AQR_6_shap	0.05	6.990997229916897
HepG2	Unique-Binding	AQR_6_shap	0.1	3.7257617728531853
HepG2	Unique-Binding	BCCIP_1_shap	1e-15	0.0
HepG2	Unique-Binding	BCCIP_1_shap	1e-10	0.0
HepG2	Unique-Binding	BCCIP_1_shap	1e-08	0.0
HepG2	Unique-Binding	BCCIP_1_shap	1e-07	0.0
HepG2	Unique-Binding	BCCIP_1_shap	1e-06	0.0
HepG2	Unique-Binding	BCCIP_1_shap	1e-05	0.0
HepG2	Unique-Binding	BCCIP_1_shap	0.0001	0.0
HepG2	Unique-Binding	BCCIP_1_shap	0.001	0.0
HepG2	Unique-Binding	BCCIP_1_shap	0.01	0.0
HepG2	Unique-Binding	BCCIP_1_shap	0.05	0.0
HepG2	Unique-Binding	BCCIP_1_shap	0.1	0.0
HepG2	Unique-Binding	BCCIP_2_shap	1e-15	0.0
HepG2	Unique-Binding	BCCIP_2_shap	1e-10	0.0
HepG2	Unique-Binding	BCCIP_2_shap	1e-08	0.0
HepG2	Unique-Binding	BCCIP_2_shap	1e-07	0.0
HepG2	Unique-Binding	BCCIP_2_shap	1e-06	0.0
HepG2	Unique-Binding	BCCIP_2_shap	1e-05	0.0
HepG2	Unique-Binding	BCCIP_2_shap	0.0001	0.0
HepG2	Unique-Binding	BCCIP_2_shap	0.001	0.0
HepG2	Unique-Binding	BCCIP_2_shap	0.01	0.0
HepG2	Unique-Binding	BCCIP_2_shap	0.05	0.0
HepG2	Unique-Binding	BCCIP_2_shap	0.1	0.0
HepG2	Unique-Binding	BCCIP_3_shap	1e-15	0.0
HepG2	Unique-Binding	BCCIP_3_shap	1e-10	0.0
HepG2	Unique-Binding	BCCIP_3_shap	1e-08	0.0
HepG2	Unique-Binding	BCCIP_3_shap	1e-07	0.0
HepG2	Unique-Binding	BCCIP_3_shap	1e-06	0.0
HepG2	Unique-Binding	BCCIP_3_shap	1e-05	0.0
HepG2	Unique-Binding	BCCIP_3_shap	0.0001	0.0
HepG2	Unique-Binding	BCCIP_3_shap	0.001	0.0
HepG2	Unique-Binding	BCCIP_3_shap	0.01	0.0
HepG2	Unique-Binding	BCCIP_3_shap	0.05	0.0
HepG2	Unique-Binding	BCCIP_3_shap	0.1	0.0
HepG2	Unique-Binding	BCCIP_4_shap	1e-15	0.0
HepG2	Unique-Binding	BCCIP_4_shap	1e-10	0.0
HepG2	Unique-Binding	BCCIP_4_shap	1e-08	0.0
HepG2	Unique-Binding	BCCIP_4_shap	1e-07	0.0
HepG2	Unique-Binding	BCCIP_4_shap	1e-06	0.0
HepG2	Unique-Binding	BCCIP_4_shap	1e-05	0.0
HepG2	Unique-Binding	BCCIP_4_shap	0.0001	0.0
HepG2	Unique-Binding	BCCIP_4_shap	0.001	0.0
HepG2	Unique-Binding	BCCIP_4_shap	0.01	0.0
HepG2	Unique-Binding	BCCIP_4_shap	0.05	0.0
HepG2	Unique-Binding	BCCIP_4_shap	0.1	0.0
HepG2	Unique-Binding	BCCIP_5_shap	1e-15	0.0
HepG2	Unique-Binding	BCCIP_5_shap	1e-10	0.0
HepG2	Unique-Binding	BCCIP_5_shap	1e-08	0.0
HepG2	Unique-Binding	BCCIP_5_shap	1e-07	0.0
HepG2	Unique-Binding	BCCIP_5_shap	1e-06	0.0
HepG2	Unique-Binding	BCCIP_5_shap	1e-05	0.0
HepG2	Unique-Binding	BCCIP_5_shap	0.0001	0.0
HepG2	Unique-Binding	BCCIP_5_shap	0.001	0.0
HepG2	Unique-Binding	BCCIP_5_shap	0.01	0.0
HepG2	Unique-Binding	BCCIP_5_shap	0.05	0.0
HepG2	Unique-Binding	BCCIP_5_shap	0.1	0.0
HepG2	Unique-Binding	BCCIP_6_shap	1e-15	0.0
HepG2	Unique-Binding	BCCIP_6_shap	1e-10	0.0
HepG2	Unique-Binding	BCCIP_6_shap	1e-08	0.0
HepG2	Unique-Binding	BCCIP_6_shap	1e-07	0.0
HepG2	Unique-Binding	BCCIP_6_shap	1e-06	0.0
HepG2	Unique-Binding	BCCIP_6_shap	1e-05	0.0
HepG2	Unique-Binding	BCCIP_6_shap	0.0001	0.0
HepG2	Unique-Binding	BCCIP_6_shap	0.001	0.0
HepG2	Unique-Binding	BCCIP_6_shap	0.01	0.0
HepG2	Unique-Binding	BCCIP_6_shap	0.05	0.0
HepG2	Unique-Binding	BCCIP_6_shap	0.1	0.0
HepG2	Unique-Binding	BCLAF1_1_shap	1e-15	100.0
HepG2	Unique-Binding	BCLAF1_1_shap	1e-10	100.0
HepG2	Unique-Binding	BCLAF1_1_shap	1e-08	100.0
HepG2	Unique-Binding	BCLAF1_1_shap	1e-07	100.0
HepG2	Unique-Binding	BCLAF1_1_shap	1e-06	99.99567174515236
HepG2	Unique-Binding	BCLAF1_1_shap	1e-05	99.97662742382272
HepG2	Unique-Binding	BCLAF1_1_shap	0.0001	99.81388504155125
HepG2	Unique-Binding	BCLAF1_1_shap	0.001	93.75086565096953
HepG2	Unique-Binding	BCLAF1_1_shap	0.01	18.281682825484765
HepG2	Unique-Binding	BCLAF1_1_shap	0.05	2.3822714681440442
HepG2	Unique-Binding	BCLAF1_1_shap	0.1	0.31942520775623273
HepG2	Unique-Binding	BCLAF1_2_shap	1e-15	100.0
HepG2	Unique-Binding	BCLAF1_2_shap	1e-10	100.0
HepG2	Unique-Binding	BCLAF1_2_shap	1e-08	100.0
HepG2	Unique-Binding	BCLAF1_2_shap	1e-07	100.0
HepG2	Unique-Binding	BCLAF1_2_shap	1e-06	100.0
HepG2	Unique-Binding	BCLAF1_2_shap	1e-05	99.99913434903047
HepG2	Unique-Binding	BCLAF1_2_shap	0.0001	99.98961218836565
HepG2	Unique-Binding	BCLAF1_2_shap	0.001	99.89958448753463
HepG2	Unique-Binding	BCLAF1_2_shap	0.01	87.08448753462605
HepG2	Unique-Binding	BCLAF1_2_shap	0.05	15.237188365650969
HepG2	Unique-Binding	BCLAF1_2_shap	0.1	7.064577562326869
HepG2	Unique-Binding	BCLAF1_3_shap	1e-15	100.0
HepG2	Unique-Binding	BCLAF1_3_shap	1e-10	100.0
HepG2	Unique-Binding	BCLAF1_3_shap	1e-08	100.0
HepG2	Unique-Binding	BCLAF1_3_shap	1e-07	100.0
HepG2	Unique-Binding	BCLAF1_3_shap	1e-06	100.0
HepG2	Unique-Binding	BCLAF1_3_shap	1e-05	100.0
HepG2	Unique-Binding	BCLAF1_3_shap	0.0001	99.99913434903047
HepG2	Unique-Binding	BCLAF1_3_shap	0.001	99.9913434903047
HepG2	Unique-Binding	BCLAF1_3_shap	0.01	99.81475069252078
HepG2	Unique-Binding	BCLAF1_3_shap	0.05	64.83985457063713
HepG2	Unique-Binding	BCLAF1_3_shap	0.1	11.123614958448753
HepG2	Unique-Binding	BCLAF1_4_shap	1e-15	100.0
HepG2	Unique-Binding	BCLAF1_4_shap	1e-10	100.0
HepG2	Unique-Binding	BCLAF1_4_shap	1e-08	100.0
HepG2	Unique-Binding	BCLAF1_4_shap	1e-07	100.0
HepG2	Unique-Binding	BCLAF1_4_shap	1e-06	100.0
HepG2	Unique-Binding	BCLAF1_4_shap	1e-05	100.0
HepG2	Unique-Binding	BCLAF1_4_shap	0.0001	99.99826869806094
HepG2	Unique-Binding	BCLAF1_4_shap	0.001	99.96191135734071
HepG2	Unique-Binding	BCLAF1_4_shap	0.01	99.52735457063712
HepG2	Unique-Binding	BCLAF1_4_shap	0.05	92.01610110803324
HepG2	Unique-Binding	BCLAF1_4_shap	0.1	58.83396814404433
HepG2	Unique-Binding	BCLAF1_5_shap	1e-15	100.0
HepG2	Unique-Binding	BCLAF1_5_shap	1e-10	100.0
HepG2	Unique-Binding	BCLAF1_5_shap	1e-08	100.0
HepG2	Unique-Binding	BCLAF1_5_shap	1e-07	100.0
HepG2	Unique-Binding	BCLAF1_5_shap	1e-06	100.0
HepG2	Unique-Binding	BCLAF1_5_shap	1e-05	99.99913434903047
HepG2	Unique-Binding	BCLAF1_5_shap	0.0001	99.96970221606648
HepG2	Unique-Binding	BCLAF1_5_shap	0.001	99.48060941828255
HepG2	Unique-Binding	BCLAF1_5_shap	0.01	50.21641274238227
HepG2	Unique-Binding	BCLAF1_5_shap	0.05	11.491516620498615
HepG2	Unique-Binding	BCLAF1_5_shap	0.1	3.468663434903047
HepG2	Unique-Binding	BCLAF1_6_shap	1e-15	100.0
HepG2	Unique-Binding	BCLAF1_6_shap	1e-10	100.0
HepG2	Unique-Binding	BCLAF1_6_shap	1e-08	100.0
HepG2	Unique-Binding	BCLAF1_6_shap	1e-07	100.0
HepG2	Unique-Binding	BCLAF1_6_shap	1e-06	99.99826869806094
HepG2	Unique-Binding	BCLAF1_6_shap	1e-05	99.99480609418283
HepG2	Unique-Binding	BCLAF1_6_shap	0.0001	99.96364265927978
HepG2	Unique-Binding	BCLAF1_6_shap	0.001	99.64075484764543
HepG2	Unique-Binding	BCLAF1_6_shap	0.01	91.6308864265928
HepG2	Unique-Binding	BCLAF1_6_shap	0.05	15.70117728531856
HepG2	Unique-Binding	BCLAF1_6_shap	0.1	4.057306094182826
HepG2	Unique-Binding	BUD13_1_shap	1e-15	100.0
HepG2	Unique-Binding	BUD13_1_shap	1e-10	100.0
HepG2	Unique-Binding	BUD13_1_shap	1e-08	100.0
HepG2	Unique-Binding	BUD13_1_shap	1e-07	99.99220914127423
HepG2	Unique-Binding	BUD13_1_shap	1e-06	99.85197368421052
HepG2	Unique-Binding	BUD13_1_shap	1e-05	70.72195290858726
HepG2	Unique-Binding	BUD13_1_shap	0.0001	21.97714681440443
HepG2	Unique-Binding	BUD13_1_shap	0.001	5.025103878116344
HepG2	Unique-Binding	BUD13_1_shap	0.01	0.5444944598337951
HepG2	Unique-Binding	BUD13_1_shap	0.05	0.026835180055401663
HepG2	Unique-Binding	BUD13_1_shap	0.1	0.0
HepG2	Unique-Binding	BUD13_2_shap	1e-15	100.0
HepG2	Unique-Binding	BUD13_2_shap	1e-10	100.0
HepG2	Unique-Binding	BUD13_2_shap	1e-08	99.99826869806094
HepG2	Unique-Binding	BUD13_2_shap	1e-07	98.40373961218837
HepG2	Unique-Binding	BUD13_2_shap	1e-06	96.77458448753463
HepG2	Unique-Binding	BUD13_2_shap	1e-05	69.63209833795014
HepG2	Unique-Binding	BUD13_2_shap	0.0001	41.544321329639885
HepG2	Unique-Binding	BUD13_2_shap	0.001	11.986668975069252
HepG2	Unique-Binding	BUD13_2_shap	0.01	1.6577216066481997
HepG2	Unique-Binding	BUD13_2_shap	0.05	0.2787396121883656
HepG2	Unique-Binding	BUD13_2_shap	0.1	0.0
HepG2	Unique-Binding	BUD13_3_shap	1e-15	100.0
HepG2	Unique-Binding	BUD13_3_shap	1e-10	100.0
HepG2	Unique-Binding	BUD13_3_shap	1e-08	100.0
HepG2	Unique-Binding	BUD13_3_shap	1e-07	100.0
HepG2	Unique-Binding	BUD13_3_shap	1e-06	100.0
HepG2	Unique-Binding	BUD13_3_shap	1e-05	99.99913434903047
HepG2	Unique-Binding	BUD13_3_shap	0.0001	99.99567174515236
HepG2	Unique-Binding	BUD13_3_shap	0.001	99.96537396121884
HepG2	Unique-Binding	BUD13_3_shap	0.01	4.884868421052632
HepG2	Unique-Binding	BUD13_3_shap	0.05	4.869286703601109
HepG2	Unique-Binding	BUD13_3_shap	0.1	4.853704986149585
HepG2	Unique-Binding	BUD13_4_shap	1e-15	100.0
HepG2	Unique-Binding	BUD13_4_shap	1e-10	100.0
HepG2	Unique-Binding	BUD13_4_shap	1e-08	99.99913434903047
HepG2	Unique-Binding	BUD13_4_shap	1e-07	99.99740304709141
HepG2	Unique-Binding	BUD13_4_shap	1e-06	99.86842105263159
HepG2	Unique-Binding	BUD13_4_shap	1e-05	99.12915512465375
HepG2	Unique-Binding	BUD13_4_shap	0.0001	87.92243767313019
HepG2	Unique-Binding	BUD13_4_shap	0.001	23.46693213296399
HepG2	Unique-Binding	BUD13_4_shap	0.01	8.067001385041552
HepG2	Unique-Binding	BUD13_4_shap	0.05	2.2264542936288088
HepG2	Unique-Binding	BUD13_4_shap	0.1	0.9054709141274239
HepG2	Unique-Binding	BUD13_5_shap	1e-15	100.0
HepG2	Unique-Binding	BUD13_5_shap	1e-10	100.0
HepG2	Unique-Binding	BUD13_5_shap	1e-08	100.0
HepG2	Unique-Binding	BUD13_5_shap	1e-07	100.0
HepG2	Unique-Binding	BUD13_5_shap	1e-06	100.0
HepG2	Unique-Binding	BUD13_5_shap	1e-05	99.99913434903047
HepG2	Unique-Binding	BUD13_5_shap	0.0001	99.99480609418283
HepG2	Unique-Binding	BUD13_5_shap	0.001	99.88833102493075
HepG2	Unique-Binding	BUD13_5_shap	0.01	14.969702216066484
HepG2	Unique-Binding	BUD13_5_shap	0.05	5.742728531855955
HepG2	Unique-Binding	BUD13_5_shap	0.1	5.309903047091413
HepG2	Unique-Binding	BUD13_6_shap	1e-15	100.0
HepG2	Unique-Binding	BUD13_6_shap	1e-10	100.0
HepG2	Unique-Binding	BUD13_6_shap	1e-08	100.0
HepG2	Unique-Binding	BUD13_6_shap	1e-07	100.0
HepG2	Unique-Binding	BUD13_6_shap	1e-06	100.0
HepG2	Unique-Binding	BUD13_6_shap	1e-05	99.99913434903047
HepG2	Unique-Binding	BUD13_6_shap	0.0001	99.97576177285319
HepG2	Unique-Binding	BUD13_6_shap	0.001	34.531682825484765
HepG2	Unique-Binding	BUD13_6_shap	0.01	6.617901662049862
HepG2	Unique-Binding	BUD13_6_shap	0.05	1.2326869806094183
HepG2	Unique-Binding	BUD13_6_shap	0.1	0.5020775623268697
HepG2	Unique-Binding	CDC40_1_shap	1e-15	100.0
HepG2	Unique-Binding	CDC40_1_shap	1e-10	100.0
HepG2	Unique-Binding	CDC40_1_shap	1e-08	100.0
HepG2	Unique-Binding	CDC40_1_shap	1e-07	100.0
HepG2	Unique-Binding	CDC40_1_shap	1e-06	100.0
HepG2	Unique-Binding	CDC40_1_shap	1e-05	100.0
HepG2	Unique-Binding	CDC40_1_shap	0.0001	0.29778393351800553
HepG2	Unique-Binding	CDC40_1_shap	0.001	0.29778393351800553
HepG2	Unique-Binding	CDC40_1_shap	0.01	0.29778393351800553
HepG2	Unique-Binding	CDC40_1_shap	0.05	0.29778393351800553
HepG2	Unique-Binding	CDC40_1_shap	0.1	0.2562326869806094
HepG2	Unique-Binding	CDC40_2_shap	1e-15	0.0
HepG2	Unique-Binding	CDC40_2_shap	1e-10	0.0
