Cell Line	Interaction Column	Feature 1	Feature 2	Both - #	Both - Mean	Both - Median	Both - Median Abs. Dev.	XOR_1st_Feature - #	XOR_1st_Feature - Mean	XOR_1st_Feature - Median	XOR_1st_Feature - Median Abs. Dev.	XOR_2nd_Feature - #	XOR_2nd_Feature - Mean	XOR_2nd_Feature - Median	XOR_2nd_Feature - Median Abs. Dev.
HepG2	RPS3_3-HNRNPC_6-interaction-shap	RPS3_3	HNRNPC_6	152	0.9999802631578947	1.0	0.0	121206	0.9852300133656748	1.0	0.0	4297	0.901009308820107	0.997	0.0030000000000000027
HepG2	RPS3_3-SRSF1_3-interaction-shap	RPS3_3	SRSF1_3	88	0.9958295454545454	1.0	0.0	121270	0.9852408097633382	1.0	0.0	19286	0.9055766359016904	0.998	0.0020000000000000018
HepG2	RPS3_3-SRSF1_4-interaction-shap	RPS3_3	SRSF1_4	2078	0.9390548604427332	0.996	0.0040000000000000036	119280	0.9860532360831656	1.0	0.0	31645	0.9179926054668984	0.998	0.0020000000000000018
HepG2	RPS3_3-SRSF1_5-interaction-shap	RPS3_3	SRSF1_5	530	0.9950735849056602	1.0	0.0	120828	0.9852053911345052	1.0	0.0	27426	0.8609739298475899	0.994	0.006000000000000005
HepG2	RPS3_3-SRSF1_6-interaction-shap	RPS3_3	SRSF1_6	749	0.9932977303070761	0.997	0.0030000000000000027	120609	0.9851985009410575	1.0	0.0	32836	0.7990050858813498	0.989	0.01100000000000001
HepG2	RPS3_3-STAU2_3-interaction-shap	RPS3_3	STAU2_3	60	0.9982666666666666	1.0	0.0	121298	0.9852420485086317	1.0	0.0	975	0.7670358974358973	0.994	0.006000000000000005
HepG2	RPS3_3-STAU2_4-interaction-shap	RPS3_3	STAU2_4	214	0.9915981308411215	0.993	0.0030000000000000027	121144	0.9852372713464969	1.0	0.0	567	0.11743915343915343	0.007	0.007
HepG2	RPS3_3-STAU2_5-interaction-shap	RPS3_3	STAU2_5	3	0.992	1.0	0.0	121355	0.9852483210415722	1.0	0.0	538	0.9853531598513011	0.991	0.009000000000000008
HepG2	RPS3_3-STAU2_6-interaction-shap	RPS3_3	STAU2_6	214	0.9896682242990653	0.991	0.0040000000000000036	121144	0.9852406805124482	1.0	0.0	1031	0.9871183317167799	0.996	0.0040000000000000036
HepG2	RPS3_3-ZC3H11A_3-interaction-shap	RPS3_3	ZC3H11A_3	148	0.9990135135135134	1.0	0.0	121210	0.9852316805544097	1.0	0.0	1259	0.8078371723590151	0.991	0.009000000000000008
HepG2	RPS3_3-ZC3H11A_6-interaction-shap	RPS3_3	ZC3H11A_6	444	0.9984256756756756	0.999	0.0010000000000000009	120914	0.9852001008981589	1.0	0.0	17737	0.7998416868692563	0.994	0.006000000000000005
HepG2	RPS3_4-HNRNPC_6-interaction-shap	RPS3_4	HNRNPC_6	152	0.9999802631578947	1.0	0.0	112897	0.9852068256906739	1.0	0.0	4297	0.901009308820107	0.997	0.0030000000000000027
HepG2	RPS3_4-SRSF1_4-interaction-shap	RPS3_4	SRSF1_4	360	0.9980972222222224	1.0	0.0	112689	0.9851855726823382	1.0	0.0	33363	0.918440098312502	0.998	0.0020000000000000018
HepG2	RPS3_4-SRSF1_5-interaction-shap	RPS3_4	SRSF1_5	290	0.8109206896551724	0.7875000000000001	0.10300000000000004	112759	0.9856749793808034	1.0	0.0	27666	0.8640675558447191	0.994	0.006000000000000005
HepG2	RPS3_4-SRSF1_6-interaction-shap	RPS3_4	SRSF1_6	754	0.9969018567639257	1.0	0.0	112295	0.9851482968965671	1.0	0.0	32831	0.7988927233407451	0.989	0.01100000000000001
