	Counts
ENSE00001644854	104
ENSE00003486547	104
ENSE00003585378	104
ENSE00003655275	104
ENSE00003669649	104
ENSE00003477618	104
ENSE00003478576	104
ENSE00001675944	104
ENSE00001741989	104
ENSE00003570896	104
ENSE00003785643	104
ENSE00001057852	104
ENSE00003811284	104
ENSE00001140455	103
ENSE00001223641	103
ENSE00001084075	103
ENSE00000804779	103
ENSE00003493584	103
ENSE00001582388	103
ENSE00003489501	103
ENSE00003596199	103
ENSE00003823485	103
ENSE00001093113	103
ENSE00003790023	103
ENSE00003563869	103
ENSE00003545287	103
ENSE00003478449	102
ENSE00003643009	102
ENSE00003498446	102
ENSE00003592745	102
