Interaction Term	K562 - # Interaction Rows	K562 - Mean PSI (Interaction Rows)	K562 - # Single Binders	K562 - Mean PSI (Single Binders)	K562 - Difference in Mean PSI(Interaction - Single)	K562 - Interaction Beta Coefficient	K562 - Interaction P-value	HepG2 - # Interaction Rows	HepG2 - Mean PSI (Interaction Rows)	HepG2 - # Single Binders	HepG2 - Mean PSI (Single Binders)	HepG2 - Difference in Mean PSI(Interaction - Single)	HepG2 - Interaction Beta Coefficient	HepG2 - Interaction P-value
CPSF6-3_TAF15-5_interaction	0.0		4858.0	0.7255963359407164										
CPSF6-3_TAF15-6_interaction	0.0		3995.0	0.7380795994993742										
CPSF6-4_NONO-1_interaction	0.0		13263.0	0.7268388750659729										
CPSF6-4_NONO-2_interaction	0.0		21189.0	0.6494867148048515										
CPSF6-4_NONO-3_interaction	0.0		20706.0	0.6704138172510383										
CPSF6-4_NONO-4_interaction	0.0		17852.0	0.5996648554783778										
CPSF6-4_NONO-5_interaction	207.0	0.39967874396135267	22661.0	0.6986776841269141	-0.29899894016556144	-0.4000764918946759	3.646336409372204e-58							
CPSF6-4_NONO-6_interaction	207.0	0.39967874396135267	14880.0	0.71617375672043	-0.3164950127590774	-0.3898578586397073	7.313211882310837e-55							
CPSF6-4_RBM15-1_interaction	114.0	0.17484649122807017	36489.0	0.6857069664830497	-0.5108604752549796	-0.6263976278965373	6.2484383712283616e-80							
CPSF6-4_RBM15-2_interaction	355.0	0.7189042253521127	92765.0	0.710474047323883	0.008430178028229762	-0.12199215958020376	2.233520349360125e-10							
CPSF6-4_RBM15-3_interaction	139.0	0.9750683453237411	30484.0	0.8076626098937146	0.16740573543002646	0.04817115850759206	0.10911669151619943							
CPSF6-4_RBM15-4_interaction	317.0	0.9829321766561515	48860.0	0.8484003786328286	0.13453179802332293	0.010633748336543018	0.5998704200895555							
CPSF6-4_RBM15-5_interaction	146.0	0.35735616438356166	48591.0	0.7468329217344776	-0.3894767573509159	-0.520307325764311	2.17992643551879e-70							
CPSF6-4_RBM15-6_interaction	924.0	0.36570995670995676	73671.0	0.72478060566573	-0.35907064895577323	-0.5815819269720052	0.0							
CPSF6-4_TAF15-1_interaction	0.0		5333.0	0.8470140633789612										
CPSF6-4_TAF15-2_interaction	0.0		5270.0	0.853240227703985										
CPSF6-4_TAF15-3_interaction	96.0	0.033953125	5613.0	0.8617606449314092	-0.8278075199314092	-0.9406409444833369	2.54851336953213e-131							
CPSF6-4_TAF15-4_interaction	96.0	0.033953125	5551.0	0.8646230408935327	-0.8306699158935327	-0.9656248805209113	2.6629953880059118e-136							
CPSF6-4_TAF15-5_interaction	0.0		6005.0	0.8249321398834306										
CPSF6-4_TAF15-6_interaction	0.0		5142.0	0.8513027032283159										
CPSF6-5_NONO-1_interaction	0.0		12135.0	0.7004473011948908										
CPSF6-5_NONO-2_interaction	378.0	0.8693822751322751	19305.0	0.6197661227661228	0.2496161523661523	0.21450791725076337	2.16998846843911e-29							
CPSF6-5_NONO-3_interaction	0.0		19578.0	0.6508046021044029										
CPSF6-5_NONO-4_interaction	117.0	0.9400726495726494	16490.0	0.5667134020618556	0.37335924751079375	0.366292446973693	6.948549357031195e-29							
CPSF6-5_NONO-5_interaction	208.0	0.7454471153846154	21531.0	0.6756750731503414	0.06977204223427402	0.011467806779971425	0.6461840726300857							
