Cell Line	Data Mode	Feature	Zero Cutoff	% Non Zero
HepG2	All-Data	G3BP1_1_shap	1e-07	99.99592626108212
HepG2	All-Data	G3BP1_1_shap	1e-06	99.91190539590059
HepG2	All-Data	G3BP1_1_shap	1e-05	99.8075794883002
HepG2	All-Data	G3BP1_1_shap	0.0001	17.90217297901706
HepG2	All-Data	G3BP1_1_shap	0.001	5.285697463354915
HepG2	All-Data	G3BP1_1_shap	0.01	0.3186852007642504
HepG2	All-Data	G3BP1_1_shap	0.05	0.06490399661370452
HepG2	All-Data	G3BP1_1_shap	0.1	0.008486956078941421
HepG2	All-Data	GRSF1_1_shap	1e-10	100.0
HepG2	All-Data	GRSF1_1_shap	1e-09	100.0
HepG2	All-Data	GRSF1_1_shap	1e-08	100.0
HepG2	All-Data	GRSF1_1_shap	1e-07	99.99995756521962
HepG2	All-Data	GRSF1_1_shap	1e-06	99.99694469581158
HepG2	All-Data	GRSF1_1_shap	1e-05	99.961511654182
HepG2	All-Data	GRSF1_1_shap	0.0001	99.87719374553772
HepG2	All-Data	GRSF1_1_shap	0.001	0.42025284763898185
HepG2	All-Data	GRSF1_1_shap	0.01	0.1602125133802167
HepG2	All-Data	GRSF1_1_shap	0.05	0.15919407865074373
HepG2	All-Data	GRSF1_1_shap	0.1	0.1591092090899543
HepG2	All-Data	GRWD1_1_shap	1e-10	100.0
HepG2	All-Data	GRWD1_1_shap	1e-09	100.0
HepG2	All-Data	GRWD1_1_shap	1e-08	100.0
HepG2	All-Data	GRWD1_1_shap	1e-07	99.99957565219604
HepG2	All-Data	GRWD1_1_shap	1e-06	99.99384695684277
HepG2	All-Data	GRWD1_1_shap	1e-05	99.96034469772115
HepG2	All-Data	GRWD1_1_shap	0.0001	99.66627166958583
HepG2	All-Data	GRWD1_1_shap	0.001	89.30607464490046
HepG2	All-Data	GRWD1_1_shap	0.01	7.663975947966472
HepG2	All-Data	GRWD1_1_shap	0.05	0.2103279890263658
HepG2	All-Data	GRWD1_1_shap	0.1	0.0043707823806548324
HepG2	All-Data	GTF2F1_1_shap	1e-10	100.0
HepG2	All-Data	GTF2F1_1_shap	1e-09	100.0
HepG2	All-Data	GTF2F1_1_shap	1e-08	100.0
HepG2	All-Data	GTF2F1_1_shap	1e-07	100.0
HepG2	All-Data	GTF2F1_1_shap	1e-06	100.0
HepG2	All-Data	GTF2F1_1_shap	1e-05	4.1850453468671995
HepG2	All-Data	GTF2F1_1_shap	0.0001	4.167392478223001
HepG2	All-Data	GTF2F1_1_shap	0.001	0.05185530164233209
HepG2	All-Data	GTF2F1_1_shap	0.01	0.04334712817319331
HepG2	All-Data	GTF2F1_1_shap	0.05	0.0
HepG2	All-Data	GTF2F1_1_shap	0.1	0.0
HepG2	All-Data	HLTF_1_shap	1e-10	0.0
HepG2	All-Data	HLTF_1_shap	1e-09	0.0
HepG2	All-Data	HLTF_1_shap	1e-08	0.0
HepG2	All-Data	HLTF_1_shap	1e-07	0.0
HepG2	All-Data	HLTF_1_shap	1e-06	0.0
HepG2	All-Data	HLTF_1_shap	1e-05	0.0
HepG2	All-Data	HLTF_1_shap	0.0001	0.0
HepG2	All-Data	HLTF_1_shap	0.001	0.0
HepG2	All-Data	HLTF_1_shap	0.01	0.0
HepG2	All-Data	HLTF_1_shap	0.05	0.0
HepG2	All-Data	HLTF_1_shap	0.1	0.0
HepG2	All-Data	HNRNPA1_1_shap	1e-10	0.0
HepG2	All-Data	HNRNPA1_1_shap	1e-09	0.0
HepG2	All-Data	HNRNPA1_1_shap	1e-08	0.0
HepG2	All-Data	HNRNPA1_1_shap	1e-07	0.0
HepG2	All-Data	HNRNPA1_1_shap	1e-06	0.0
HepG2	All-Data	HNRNPA1_1_shap	1e-05	0.0
HepG2	All-Data	HNRNPA1_1_shap	0.0001	0.0
HepG2	All-Data	HNRNPA1_1_shap	0.001	0.0
HepG2	All-Data	HNRNPA1_1_shap	0.01	0.0
HepG2	All-Data	HNRNPA1_1_shap	0.05	0.0
HepG2	All-Data	HNRNPA1_1_shap	0.1	0.0
HepG2	All-Data	HNRNPC_1_shap	1e-10	100.0
HepG2	All-Data	HNRNPC_1_shap	1e-09	100.0
HepG2	All-Data	HNRNPC_1_shap	1e-08	100.0
HepG2	All-Data	HNRNPC_1_shap	1e-07	100.0
HepG2	All-Data	HNRNPC_1_shap	1e-06	99.9992149565627
HepG2	All-Data	HNRNPC_1_shap	1e-05	0.04141634566523414
HepG2	All-Data	HNRNPC_1_shap	0.0001	0.04141634566523414
HepG2	All-Data	HNRNPC_1_shap	0.001	0.04141634566523414
HepG2	All-Data	HNRNPC_1_shap	0.01	0.0
HepG2	All-Data	HNRNPC_1_shap	0.05	0.0
HepG2	All-Data	HNRNPC_1_shap	0.1	0.0
HepG2	All-Data	HNRNPK_1_shap	1e-10	100.0
HepG2	All-Data	HNRNPK_1_shap	1e-09	100.0
HepG2	All-Data	HNRNPK_1_shap	1e-08	100.0
HepG2	All-Data	HNRNPK_1_shap	1e-07	100.0
HepG2	All-Data	HNRNPK_1_shap	1e-06	100.0
HepG2	All-Data	HNRNPK_1_shap	1e-05	100.0
HepG2	All-Data	HNRNPK_1_shap	0.0001	100.0
HepG2	All-Data	HNRNPK_1_shap	0.001	17.468001523408617
HepG2	All-Data	HNRNPK_1_shap	0.01	0.35222989466626636
HepG2	All-Data	HNRNPK_1_shap	0.05	0.34556763414429736
HepG2	All-Data	HNRNPK_1_shap	0.1	0.29305459340584733
HepG2	All-Data	HNRNPL_1_shap	1e-10	100.0
HepG2	All-Data	HNRNPL_1_shap	1e-09	100.0
HepG2	All-Data	HNRNPL_1_shap	1e-08	100.0
HepG2	All-Data	HNRNPL_1_shap	1e-07	100.0
HepG2	All-Data	HNRNPL_1_shap	1e-06	100.0
HepG2	All-Data	HNRNPL_1_shap	1e-05	100.0
HepG2	All-Data	HNRNPL_1_shap	0.0001	12.738645248418509
HepG2	All-Data	HNRNPL_1_shap	0.001	0.044768693316416
HepG2	All-Data	HNRNPL_1_shap	0.01	0.044768693316416
HepG2	All-Data	HNRNPL_1_shap	0.05	0.044768693316416
HepG2	All-Data	HNRNPL_1_shap	0.1	0.03730017196694755
HepG2	All-Data	HNRNPM_1_shap	1e-10	0.0
HepG2	All-Data	HNRNPM_1_shap	1e-09	0.0
HepG2	All-Data	HNRNPM_1_shap	1e-08	0.0
HepG2	All-Data	HNRNPM_1_shap	1e-07	0.0
HepG2	All-Data	HNRNPM_1_shap	1e-06	0.0
HepG2	All-Data	HNRNPM_1_shap	1e-05	0.0
HepG2	All-Data	HNRNPM_1_shap	0.0001	0.0
HepG2	All-Data	HNRNPM_1_shap	0.001	0.0
HepG2	All-Data	HNRNPM_1_shap	0.01	0.0
HepG2	All-Data	HNRNPM_1_shap	0.05	0.0
HepG2	All-Data	HNRNPM_1_shap	0.1	0.0
HepG2	All-Data	HNRNPU_1_shap	1e-10	0.0
HepG2	All-Data	HNRNPU_1_shap	1e-09	0.0
HepG2	All-Data	HNRNPU_1_shap	1e-08	0.0
HepG2	All-Data	HNRNPU_1_shap	1e-07	0.0
HepG2	All-Data	HNRNPU_1_shap	1e-06	0.0
HepG2	All-Data	HNRNPU_1_shap	1e-05	0.0
HepG2	All-Data	HNRNPU_1_shap	0.0001	0.0
HepG2	All-Data	HNRNPU_1_shap	0.001	0.0
HepG2	All-Data	HNRNPU_1_shap	0.01	0.0
HepG2	All-Data	HNRNPU_1_shap	0.05	0.0
HepG2	All-Data	HNRNPU_1_shap	0.1	0.0
HepG2	All-Data	HNRNPUL1_1_shap	1e-10	0.0
HepG2	All-Data	HNRNPUL1_1_shap	1e-09	0.0
HepG2	All-Data	HNRNPUL1_1_shap	1e-08	0.0
HepG2	All-Data	HNRNPUL1_1_shap	1e-07	0.0
HepG2	All-Data	HNRNPUL1_1_shap	1e-06	0.0
