Data Partition	Model	Cell Line	Feature Pair	# Rows - Both Bound	# Rows - Either Bound	R2 - Both	R2 - Either	Difference R2 - (Both vs. Either)
All	xgboost	K562	GEMIN5_3-NCBP2_3	1846	6979	0.564922165200018	-0.06992310474261298	0.634845269942631
All	xgboost	K562	DDX42_5-KHSRP_4	331	77189	0.893368508828859	0.2590432200936964	0.6343252887351626
All	xgboost	HepG2	TIA1_3-XRN2_5	152	20715	0.9520513659219069	0.31793189262765775	0.6341194732942491
All	xgboost	HepG2	NOLC1_3-NOLC1_5	1479	8236	0.8490079762258493	0.21503426769036982	0.6339737085354795
All	xgboost	HepG2	NCBP2_6-SDAD1_5	87	49957	0.9690383985920379	0.33541663768221774	0.6336217609098201
All	xgboost	K562	BUD13_1-LARP4_2	315	91365	0.9391143704847952	0.3055511108201536	0.6335632596646416
All	xgboost	HepG2	NOLC1_6-U2AF2_3	321	104415	0.9401365396005373	0.3069579053031357	0.6331786342974016
All	xgboost	K562	KHSRP_3-XRN2_6	577	112967	0.9458750430604713	0.31315000624049427	0.632725036819977
All	xgboost	HepG2	GTF2F1_4-LARP4_5	53	21949	0.9124985404557825	0.2798931142952451	0.6326054261605374
All	xgboost	HepG2	AQR_4-HLTF_2	458	156109	0.8931192776529693	0.26062324949753857	0.6324960281554307
All	xgboost	HepG2	RBM5_1-TIA1_1	201	11957	0.9788806467269743	0.3472485023103199	0.6316321444166544
All	xgboost	HepG2	DDX55_4-UPF1_4	131	6629	0.5747993406690661	-0.05654815288376369	0.6313474935528298
All	xgboost	HepG2	AGGF1_1-QKI_1	247	10243	0.8838973801604766	0.2526081407934796	0.631289239366997
All	xgboost	HepG2	AQR_4-XRN2_1	603	144976	0.859365580994659	0.22835306959817725	0.6310125113964817
All	xgboost	HepG2	GTF2F1_3-TIAL1_5	217	38580	0.9831067190997586	0.3521553887566593	0.6309513303430992
All	xgboost	HepG2	GTF2F1_2-SRSF7_4	84	22465	0.9937869939390273	0.3628551779753991	0.6309318159636281
All	xgboost	HepG2	FTO_2-TARDBP_5	242	21014	0.9894121178369701	0.3586329597756124	0.6307791580613578
All	xgboost	K562	FASTKD2_3-SLTM_2	34	5512	0.9616649565684375	0.3314497804660981	0.6302151761023395
All	xgboost	HepG2	FAM120A_5-U2AF1_5	156	28791	0.9670620840834343	0.33721437916335684	0.6298477049200775
All	xgboost	K562	AKAP8L_3-APOBEC3C_4	33	12167	0.9663353386015221	0.33656851759435225	0.6297668210071699
All	xgboost	K562	DDX42_5-PRPF8_6	304	173599	0.946455146848807	0.31755679277658133	0.6288983540722257
All	xgboost	HepG2	PCBP2_2-SRSF7_3	133	20657	0.987819614891714	0.3591780234630041	0.6286415914287099
All	xgboost	HepG2	DKC1_5-TIAL1_5	315	27473	0.9689038738134749	0.34045120710328913	0.6284526667101857
All	xgboost	HepG2	DKC1_5-TIAL1_4	140	26128	0.9897388220701528	0.36150625463590735	0.6282325674342455
All	xgboost	HepG2	GTF2F1_4-NKRF_4	78	12459	0.9586751544815588	0.3304652222450094	0.6282099322365494
All	xgboost	K562	EIF4E_5-RBFOX2_3	57	35752	0.9882815939059987	0.36022593948353854	0.6280556544224601
All	xgboost	HepG2	TIA1_3-TIAL1_1	517	22961	0.9665897507890697	0.3386921320196049	0.6278976187694648
All	xgboost	HepG2	BCLAF1_4-SRSF9_4	1068	269165	0.898264308674787	0.27110848034941515	0.6271558283253719
All	xgboost	HepG2	AQR_3-LSM11_1	664	112463	0.9465466798311587	0.31959888651343127	0.6269477933177274
All	xgboost	HepG2	CDC40_4-TARDBP_5	305	18887	0.9368328481176231	0.3100380715954004	0.6267947765222227
All	xgboost	HepG2	SRSF7_3-U2AF2_4	727	168102	0.9055663474510935	0.27909674187716427	0.6264696055739293
All	xgboost	K562	NONO_5-RBM22_2	44	43478	0.9719862500463095	0.3455331717296629	0.6264530783166465
All	xgboost	HepG2	RBM15_5-TIAL1_5	102	28085	0.9939783567557114	0.36825163472279	0.6257267220329215
