Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	% Rows - RBP 1 Bound	% Rows - RBP 2 Bound	% Rows - PPI Interaction	Intercept Beta Coefficient	Intercept Param P-value	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 2 Beta Coefficient	RBP 2 Param P-value	Interaction Beta Coefficient	Interaction Param P-value
All	K562	HNRNPK-PCBP1	6	23198	49.0904388309337	60.32416587636865	9.414604707302354	265740725215.777	0.41036554571278616	-265740725215.0211	0.41036554571412065	-265740725215.09033	0.4103655457139981	265740725215.1107	0.4103655457139601
All	K562	HNRNPK-QKI	3	32401	73.6736520477763	26.65967099780871	0.3333230455850128	-8037302647.552984	0.9453816729936316	8037302648.208841	0.9453816729891826	8037302648.138139	0.9453816729896621	-8037302647.8266115	0.9453816729917749
All	K562	HNRNPK-U2AF2	1	44164	24.789421248075357	75.41210035322888	0.20152160130422972	-8954797001.467302	0.9677488359249167	8954797002.166975	0.9677488359223987	8954797002.168512	0.9677488359223927	-8954797001.893942	0.967748835923381
All	K562	HNRNPK-U2AF2	5	76656	22.89448966812774	77.44990607388854	0.34439574201628054	160083882106.69873	0.4019186318828367	-160083882105.9459	0.4019186318850536	-160083882106.0222	0.4019186318848287	160083882106.15695	0.40191863188443155
All	K562	IGF2BP2-PCBP1	1	20251	65.21159448916103	40.14122759369908	5.352822082860106	1441811911680.988	0.011343673734384925	-1441811911680.2861	0.011343673734424369	-1441811911680.314	0.011343673734423172	1441811911680.4233	0.011343673734416979
All	K562	IGF2BP2-PCBP1	2	48787	72.01508598602086	35.45206714903561	7.467153135056471	-116353953725.42207	0.49845956674894487	116353953726.14105	0.49845956674628666	116353953726.08633	0.4984595667464873	-116353953726.04253	0.49845956674664715
All	K562	IGF2BP2-PCBP1	3	19217	59.80642139772077	49.201228079304784	9.00764947702555	-57059381034.59527	0.7744220077261427	57059381035.53001	0.7744220077225449	57059381035.295586	0.7744220077234483	-57059381035.387245	0.7744220077230954
All	K562	IGF2BP2-PCBP1	4	32073	70.61702990053939	38.10370093224831	8.720730832787703	0.626963296128567	0.0	0.30392714312188795	0.0	0.1562413409682057	0.0	-0.16679481203847454	0.0
All	K562	IGF2BP2-PCBP1	5	22788	65.64419870107075	38.91960681060207	4.56380551167281	-50229384342.243645	0.9301757682499949	50229384342.9426	0.9301757682490257	50229384343.00725	0.9301757682489357	-50229384342.91842	0.930175768249059
All	K562	IGF2BP2-PCBP1	6	42270	73.98627868464632	33.106221906789685	7.092500591436007	-390347243979.67316	0.008689379171635517	390347243980.4034	0.008689379171511174	390347243980.3445	0.00868937917152086	-390347243980.24884	0.008689379171537562
All	K562	MBNL1-RBFOX2	1	12110	13.550784475639968	86.81255161023948	0.3633360858794385	-162187096354.60565	0.5133003453741106	162187096355.07748	0.5133003453728838	162187096355.33362	0.5133003453722145	-162187096355.73816	0.5133003453711644
