,RBP,cell_line,Significant Events,AUROC,AUPRC,Sign Concordance
183,NIPBL Position 6,HepG2,0,,,
184,NIPBL Position 5,K562,0,,,
185,NIPBL Position 5,HepG2,0,,,
186,NIPBL Position 4,K562,0,,,
187,PRPF8 Position 3,HepG2,0,,,
188,NIPBL Position 4,HepG2,0,,,
189,PRPF8 Position 4,HepG2,0,,,
190,RPS6 Position 1,K562,0,,,
191,MORC2 Position 6,HepG2,0,,,
192,MORC2 Position 5,K562,0,,,
193,MORC2 Position 5,HepG2,0,,,
194,MORC2 Position 4,K562,0,,,
195,MORC2 Position 6,K562,0,,,
196,MORC2 Position 4,HepG2,0,,,
197,MORC2 Position 3,K562,0,,,
198,MORC2 Position 3,HepG2,0,,,
199,RPS6 Position 6,HepG2,0,,,
200,PRPF8 Position 1,HepG2,0,,,
201,MORC2 Position 1,HepG2,0,,,
202,RYBP Position 6,K562,0,,,
203,RYBP Position 6,HepG2,0,,,
204,RYBP Position 5,K562,0,,,
205,RYBP Position 5,HepG2,0,,,
206,RYBP Position 2,K562,0,,,
207,RYBP Position 2,HepG2,0,,,
208,RPS6 Position 6,K562,0,,,
209,MORC2 Position 2,HepG2,0,,,
210,ELAVL1 Position 3,HepG2,0,,,
211,RBM5 Position 4,K562,0,,,
212,RBM5 Position 5,K562,0,,,
213,ELAVL1 Position 2,HepG2,0,,,
214,RBM5 Position 6,HepG2,0,,,
215,RBM5 Position 6,K562,0,,,
216,ELAVL1 Position 1,HepG2,0,,,
217,SDAD1 Position 5,K562,0,,,
218,NIPBL Position 3,K562,0,,,
219,SDAD1 Position 4,K562,0,,,
220,SDAD1 Position 4,HepG2,0,,,
221,SDAD1 Position 3,K562,0,,,
222,SDAD1 Position 1,K562,0,,,
223,SDAD1 Position 2,K562,0,,,
224,SDAD1 Position 6,HepG2,0,,,
225,NPM1 Position 6,K562,0,,,
226,NPM1 Position 5,K562,0,,,
227,NPM1 Position 5,HepG2,0,,,
228,SDAD1 Position 5,HepG2,0,,,
229,PRPF8 Position 5,HepG2,0,,,
230,NIPBL Position 3,HepG2,0,,,
231,NIPBL Position 2,K562,0,,,
232,NIPBL Position 2,HepG2,0,,,
233,PRPF8 Position 6,HepG2,0,,,
234,NIPBL Position 1,K562,0,,,
235,NIPBL Position 1,HepG2,0,,,
236,WDR43 Position 5,HepG2,0,,,
237,WDR43 Position 5,K562,0,,,
238,RBM5 Position 3,K562,0,,,
239,ELAVL1 Position 6,HepG2,0,,,
240,WDR43 Position 6,K562,0,,,
241,RBM5 Position 1,HepG2,0,,,
242,RBM5 Position 1,K562,0,,,
243,ELAVL1 Position 5,HepG2,0,,,
244,RBM5 Position 2,HepG2,0,,,
245,ELAVL1 Position 4,HepG2,0,,,
246,SAFB Position 4,HepG2,0,,,
247,RBM5 Position 3,HepG2,0,,,
248,WDR43 Position 6,HepG2,0,,,
249,SRSF7 Position 3,K562,0,,,
250,SRSF7 Position 1,K562,0,,,
251,METTL1 Position 6,K562,0,,,
252,METTL1 Position 6,HepG2,0,,,
253,METTL1 Position 5,K562,0,,,
254,METTL1 Position 5,HepG2,0,,,
255,METTL1 Position 3,K562,0,,,
256,METTL1 Position 3,HepG2,0,,,
257,METTL1 Position 2,K562,0,,,
258,METTL1 Position 2,HepG2,0,,,
259,METTL1 Position 1,K562,0,,,
260,SRSF9 Position 2,HepG2,0,,,
261,ZC3H11A Position 5,HepG2,0,,,
262,ZC3H11A Position 4,K562,0,,,
263,ZC3H11A Position 4,HepG2,0,,,
264,ZC3H11A Position 3,K562,0,,,
265,ZC3H11A Position 3,HepG2,0,,,
266,ZC3H11A Position 2,K562,0,,,
267,ZC3H11A Position 2,HepG2,0,,,
268,ZC3H11A Position 1,K562,0,,,
269,ZC3H11A Position 1,HepG2,0,,,
270,APEX1 Position 6,K562,0,,,
271,APEX1 Position 6,HepG2,0,,,
272,APEX1 Position 5,K562,0,,,
273,METTL1 Position 1,HepG2,0,,,
274,RNF187 Position 6,HepG2,0,,,
275,RNF187 Position 5,K562,0,,,
276,RNF187 Position 5,HepG2,0,,,
277,RNF187 Position 4,K562,0,,,
278,RNF187 Position 4,HepG2,0,,,
279,RNF187 Position 3,K562,0,,,
280,RNF187 Position 3,HepG2,0,,,
281,RNF187 Position 2,K562,0,,,
282,RNF187 Position 2,HepG2,0,,,
283,RNF187 Position 1,K562,0,,,
284,RNF187 Position 1,HepG2,0,,,
285,GARS Position 6,HepG2,0,,,
286,SRSF7 Position 4,K562,0,,,
287,GARS Position 5,HepG2,0,,,
288,GARS Position 4,K562,0,,,
289,GARS Position 4,HepG2,0,,,
290,GARS Position 3,K562,0,,,
291,GARS Position 3,HepG2,0,,,
292,GARS Position 2,K562,0,,,
293,GARS Position 2,HepG2,0,,,
294,GARS Position 1,K562,0,,,
295,GARS Position 1,HepG2,0,,,
296,SRSF7 Position 6,HepG2,0,,,
297,SRSF7 Position 5,K562,0,,,
298,SRSF7 Position 5,HepG2,0,,,
299,GARS Position 5,K562,0,,,
300,STAU2 Position 5,HepG2,0,,,
301,STAU2 Position 4,K562,0,,,
302,STAU2 Position 4,HepG2,0,,,
303,STAU2 Position 3,K562,0,,,
304,STAU2 Position 3,HepG2,0,,,
305,STAU2 Position 2,K562,0,,,
306,STAU2 Position 2,HepG2,0,,,
307,STAU2 Position 1,K562,0,,,
308,STAU2 Position 1,HepG2,0,,,
309,DROSHA Position 6,K562,0,,,
310,DROSHA Position 6,HepG2,0,,,
311,DROSHA Position 5,K562,0,,,
312,APEX1 Position 5,HepG2,0,,,
313,DROSHA Position 4,HepG2,0,,,
