RBP	Cell Line	Position	Positional Preference (%)	Avg. SHAP
CSTF2T	HepG2	1	14.582139518050488	0.00672430110410571
CSTF2T	K562	1	13.526574612517539	0.009927959109309204
CSTF2T	HepG2	2	45.523569683626384	0.011538568647388335
CSTF2T	K562	2	34.395593494168274	0.007209397854411996
CSTF2T	HepG2	3	13.181982688421751	-0.23711133636534215
CSTF2T	K562	3	15.58385729874768	-0.1467945993885953
CSTF2T	HepG2	4	10.940374581536327	-0.018563943150568484
CSTF2T	K562	4	11.975699972128663	-0.1307449837323922
CSTF2T	HepG2	5	8.075217902705312	0.0008033707536685103
CSTF2T	K562	5	9.269345779381823	-0.0038678931483394265
CSTF2T	HepG2	6	7.69671562565974	-0.08643001625624189
CSTF2T	K562	6	15.248928843056023	-0.0069524261366302265
DDX1	K562	1	15.043695380774032	0.01835822129585158
DDX1	K562	2	23.995006242197253	-0.004197207260287355
DDX1	K562	3	20.87390761548065	0.001536449972093281
DDX1	K562	4	19.563046192259677	-0.00035461177447500513
DDX1	K562	5	12.176446109030378	0.0
DDX1	K562	6	8.34789846025801	0.0
DDX21	K562	1	23.141347764463344	0.0
DDX21	K562	2	1.0050251256281406	0.0
DDX21	K562	3	28.076278830047674	0.0
DDX21	K562	4	0.15461925009663702	0.0
DDX21	K562	5	40.16235021260147	0.03497353962447286
DDX21	K562	6	7.460378817162737	0.0
DDX24	K562	1	15.57427637719148	-0.01637554577029716
DDX24	K562	2	18.88856183614732	-0.010869934618209984
DDX24	K562	3	14.499936047846266	0.8824179218071546
DDX24	K562	4	15.11197770778725	1.0511978448030992
DDX24	K562	5	16.77998392538878	-0.028846867027576672
DDX24	K562	6	19.145264105638905	-0.0003007544386778101
DDX3X	HepG2	1	33.41666154102999	-0.11027128446914101
DDX3X	K562	1	30.484544946886142	-0.3895769467588912
DDX3X	HepG2	2	35.49049414066505	-0.09813055136032665
DDX3X	K562	2	37.661975048544925	-0.13830645814702688
DDX3X	HepG2	3	12.987191766177242	0.998556550464883
DDX3X	K562	3	15.014024088434253	1.0972215350611034
DDX3X	HepG2	4	5.659288678786601	0.4594515556837303
DDX3X	K562	4	5.710532661530847	0.79347367195812
DDX3X	HepG2	5	8.790320454805064	-1.2013146649371642
DDX3X	K562	5	8.622989986420114	-1.7307191582850066
DDX3X	HepG2	6	3.65604341853606	-0.6443455676279307
DDX3X	K562	6	2.505933268183722	-1.3653550811907873
DDX42	K562	1	10.948708751793399	0.0
DDX42	K562	2	21.9422525107604	0.0
DDX42	K562	3	29.357962697274033	0.0
DDX42	K562	4	11.953012912482066	0.022029851543872308
DDX42	K562	5	18.516857962697276	-0.031962642487007795
DDX42	K562	6	7.281205164992826	0.0
DDX43	K562	1	16.26378623215788	-0.1076817959024883
DDX43	K562	2	21.491847921925462	-0.09001968929539597
DDX43	K562	3	10.692107901671227	0.757184382434417
DDX43	K562	4	14.170344674697825	0.7839560887295983
DDX43	K562	5	16.00015367019856	-0.06985738708658785
DDX43	K562	6	21.381759599349042	-0.13202639524919335
DDX47	K562	1	4.305850550299286	0.0
DDX47	K562	2	71.6740683529639	-0.08810177762220558
DDX47	K562	3	12.994786638347172	-0.14787812903523445
DDX47	K562	4	10.272253330758833	0.0
DDX47	K562	5	0.7530411276308168	0.0
DDX51	K562	1	21.558949046223454	0.0893883240071072
DDX51	K562	2	52.02324026942259	-0.004326749956297655
DDX51	K562	3	14.07784461926063	0.0
DDX51	K562	4	4.375546300581007	-0.011638826744263453
DDX51	K562	5	5.090236001850995	0.0
DDX51	K562	6	2.8741837626613194	0.0
DDX52	HepG2	1	13.187429854096521	0.0
DDX52	K562	1	14.881599613386493	0.005847296290701589
DDX52	HepG2	2	41.41414141414141	0.0
DDX52	K562	2	51.22326930047119	-0.0073985157230457765
DDX52	HepG2	3	16.58249158249158	0.0
DDX52	K562	3	13.591881116346501	-0.014780404636295172
DDX52	HepG2	4	5.218855218855219	0.0
DDX52	K562	4	9.384438806330795	-0.00011082397174041384
DDX52	HepG2	5	19.163860830527497	0.0
DDX52	K562	5	6.279449075752084	-0.0016938055491440343
DDX52	HepG2	6	4.433221099887766	0.0
DDX52	K562	6	4.639362087712939	0.001627207266281248
DDX55	HepG2	1	7.131009061588081	-0.41224489609400433
DDX55	K562	1	10.196175492590958	-0.006588409506631168
DDX55	HepG2	2	14.553831976654891	-0.5646834690650508
DDX55	K562	2	20.17928051050825	-0.06165783263080175
DDX55	HepG2	3	11.052065734910151	0.0
DDX55	K562	3	10.18218601698107	-0.0024058627482560126
DDX55	HepG2	4	12.088772845953002	0.0
DDX55	K562	4	15.485273386636822	0.18664570692988527
DDX55	HepG2	5	18.086315466134234	0.23607705042140031
DDX55	K562	5	19.512090135267467	-0.028765420526921385
DDX55	HepG2	6	37.08800491475964	-0.006238035480530302
DDX55	K562	6	24.444994458015433	-0.03465190395017934
DDX59	HepG2	1	15.7253048021896	-0.0323174678672008
DDX59	HepG2	2	21.449898695482176	-0.0021850879494321627
DDX59	HepG2	3	23.198734582163297	-0.0886720284102005
DDX59	HepG2	4	12.220523939857108	0.003127069849657643
DDX59	HepG2	5	15.261436746880888	0.0
DDX59	HepG2	6	12.144101233426936	0.08681063707275637
DDX6	HepG2	1	12.998993626299898	0.0
DDX6	K562	1	14.41539184839608	-0.01341888805454733
DDX6	HepG2	2	7.874874203287488	0.0
DDX6	K562	2	19.45860909189541	-5.806368373864418e-05
DDX6	HepG2	3	7.036229453203623	-0.5017086684703826
DDX6	K562	3	9.611768109652454	0.00029569994011914867
DDX6	HepG2	4	11.975847031197585	0.0
DDX6	K562	4	10.400166359263679	0.023613762351022756
DDX6	HepG2	5	4.218383092921838	0.0
DDX6	K562	5	14.950634696755994	0.015675869068370738
DDX6	HepG2	6	55.895672593089564	0.0
DDX6	K562	6	31.163429894036383	-0.04491560233743337
DGCR8	HepG2	1	16.3505167632972	0.5563788697164805
DGCR8	K562	1	11.978921092774927	-0.013914257098576141
DGCR8	HepG2	2	45.739853793798844	0.06629100111837419
DGCR8	K562	2	25.35848009984746	0.0007251887927804819
DGCR8	HepG2	3	12.934837408621124	-0.6345993252659616
