Cell Line	Model	RBP Pair	Position	Same Pos. PPI R2	Single Binders R2	# Graphs (Same Pos. PPI)	# Graphs (Single Binders)	Difference
K562	xgboost	DDX42-RBFOX2	3	-38.16361153950669	0.26122089719017927	25	4566	-38.42483243669687
HepG2	xgboost	PCBP1-RBFOX2	6	-41.97132690803858	0.22270378946765323	219	3384	-42.19403069750623
HepG2	xgboost	HNRNPK-LARP4	6	-51.47560529324143	0.11719572301200687	43	6657	-51.59280101625344
HepG2	xgboost	HNRNPK-PCBP1	6	-54.997287916629986	0.18945925884834658	188	2382	-55.18674717547833
HepG2	xgboost	HNRNPK-IGF2BP3	6	-59.13947234421502	0.15133732211911666	28	3724	-59.29080966633414
HepG2	xgboost	RBM22-TIA1	4	-102.0440530020734	0.3749864741711537	31	3830	-102.41903947624455
K562	xgboost	CPSF6-RBM15	6	-117.1828619727384	0.23860660600348393	46	13903	-117.42146857874188
HepG2	xgboost	HNRNPK-U2AF2	5	-148.09506414141046	0.26523521389616034	43	31893	-148.3602993553066
K562	xgboost	EWSR1-RBM15	2	-156.5948822283305	0.24104027064230582	43	16539	-156.83592249897282
HepG2	xgboost	RBM22-TIA1	5	-197.96516256306347	0.10526130374724219	21	9369	-198.07042386681073
HepG2	xgboost	RBM15-SRSF9	6	-232.4076253322261	0.015576839606878501	123	3152	-232.42320217183297
HepG2	xgboost	HNRNPK-PCBP1	5	-234.81880712761435	0.3559509620334821	110	3068	-235.17475808964784
HepG2	xgboost	RBM22-TIA1	6	-239.1063295666891	0.09192862290814963	33	6093	-239.19825818959725
HepG2	xgboost	SF3B4-TAF15	3	-256.25256336470613	-0.10306932781291223	20	13202	-256.1494940368932
HepG2	xgboost	HNRNPK-IGF2BP3	3	-364.50973952205277	0.06887288087298793	28	4718	-364.5786124029258
HepG2	xgboost	FUBP3-U2AF2	4	-509.86372312338654	0.2080364430643047	80	39650	-510.07175956645085
K562	xgboost	QKI-RBFOX2	1	-596.3631198713219	-0.10053905109025418	38	1662	-596.2625808202317
K562	xgboost	PCBP1-RBFOX2	6	-1172.906142467009	0.17438798267485656	105	3486	-1173.080530449684
K562	xgboost	QKI-RBFOX2	3	-1284.0275668301206	0.22301974933822533	62	5768	-1284.2505865794587
HepG2	xgboost	RBM22-TIA1	2	-1633.6799110384748	0.035946561171221636	28	10604	-1633.715857599646
K562	xgboost	CSTF2T-TAF15	3	-1987.9558971046101	0.06302296518478379	35	3567	-1988.0189200697948
K562	xgboost	CSTF2T-TAF15	4	-1987.9558971046101	0.10613561130272986	35	2087	-1988.062032715913
HepG2	xgboost	PCBP1-RBFOX2	2	-2039.814242841586	-0.17195725278118412	89	4452	-2039.642285588805
HepG2	xgboost	HNRNPK-IGF2BP3	4	-2165.5325485368194	0.15637511364164702	33	3569	-2165.688923650461
HepG2	xgboost	HNRNPK-PCBP1	4	-2177.352474310542	0.10565741163083175	33	2496	-2177.458131722173
HepG2	xgboost	PCBP2-RBFOX2	1	-2377.9161504855333	0.2760201792029354	49	3141	-2378.1921706647363
