,RBP,Cell Line,Significant Events,AUROC,AUPRC,Sign Concordance
265,GEMIN5 Position 2,K562,2,0.3895348837209302,0.006890621417106169,50.0
266,U2AF1 Position 6,K562,2,0.42,0.13703703703703704,50.0
267,XRCC6 Position 3,HepG2,2,,,0.0
268,DDX59 Position 1,HepG2,2,0.5,0.06451612903225806,0.0
269,SF3A3 Position 2,HepG2,2,0.5,0.14285714285714285,0.0
270,SND1 Position 1,HepG2,2,0.08056265984654731,0.005390835579514825,100.0
271,SUB1 Position 5,HepG2,2,0.29955947136563876,0.009084417645192001,0.0
272,SRSF9 Position 1,HepG2,2,0.5,0.10989010989010989,0.0
273,TIA1 Position 6,HepG2,2,0.4471428571428572,0.01712807606263982,50.0
274,TARDBP Position 2,K562,2,0.55,0.15202702702702703,50.0
275,TIA1 Position 3,K562,2,0.2882352941176471,0.023772204806687566,50.0
276,TIAL1 Position 3,HepG2,2,0.5,0.08695652173913043,0.0
277,TIA1 Position 5,HepG2,2,0.5,0.05128205128205128,0.0
278,PCBP2 Position 1,HepG2,2,0.5,0.04739010989010989,0.0
279,GRWD1 Position 3,HepG2,2,0.7324723247232472,0.005547048579835465,100.0
280,QKI Position 3,K562,2,0.41836734693877553,0.04805491990846682,100.0
281,PCBP1 Position 2,HepG2,2,0.7368421052631579,0.21666666666666667,50.0
282,PCBP1 Position 2,K562,2,0.8175675675675675,0.2037037037037037,50.0
283,SF3B4 Position 2,HepG2,2,0.2053571428571429,0.03190476190476191,100.0
284,G3BP1 Position 4,HepG2,2,0.5576208178438662,0.07354721549636803,100.0
285,UCHL5 Position 5,HepG2,2,0.8529411764705883,0.12083333333333333,100.0
286,RBFOX2 Position 2,HepG2,2,0.7264397905759162,0.035077047850770475,0.0
287,RBFOX2 Position 2,K562,2,0.4368421052631579,0.026515151515151516,0.0
288,UPF1 Position 3,K562,2,0.0,0.046511627906976744,100.0
289,PRPF4 Position 4,HepG2,2,0.4818840579710145,0.04329004329004329,0.0
290,HNRNPC Position 1,HepG2,2,0.5,0.2,0.0
291,PTBP1 Position 6,K562,2,0.3055555555555556,0.042727272727272725,50.0
292,PTBP1 Position 6,HepG2,2,0.4868421052631579,0.06227106227106227,50.0
293,RBFOX2 Position 1,HepG2,2,0.6971830985915493,0.06787330316742082,100.0
294,FUBP3 Position 3,HepG2,2,0.5,0.3333333333333333,0.0
295,QKI Position 2,HepG2,2,0.5,0.02666666666666667,0.0
296,PTBP1 Position 1,K562,2,0.39285714285714285,0.06871035940803383,0.0
297,RBM22 Position 3,HepG2,2,0.6363636363636364,0.5555555555555556,50.0
298,PTBP1 Position 5,HepG2,2,0.4732142857142857,0.07614942528735633,100.0
299,PCBP1 Position 4,HepG2,2,0.37222222222222223,0.043557168784029036,0.0
300,YBX3 Position 6,K562,2,0.6780387770320656,0.003381445170660857,100.0
301,DDX24 Position 1,K562,2,0.6421825813221407,0.0043774401991372985,100.0
302,AGGF1 Position 1,K562,2,0.9444444444444444,0.41666666666666663,100.0
303,CPSF6 Position 5,K562,2,0.15000000000000002,0.024462365591397847,50.0
304,CPSF6 Position 6,K562,2,0.9333333333333333,0.1534090909090909,100.0
305,DDX24 Position 2,K562,2,0.8029925187032418,0.006135296628254375,50.0
306,DDX24 Position 3,K562,2,0.7796610169491526,0.10257731958762888,100.0
307,MATR3 Position 3,HepG2,2,0.7500000000000001,0.41666666666666663,100.0
308,MATR3 Position 2,HepG2,2,0.5,0.3333333333333333,0.0
309,MATR3 Position 4,K562,2,0.35,0.16666666666666666,100.0
310,PCBP1 Position 5,HepG2,2,0.5909090909090909,0.037123745819397994,0.0
311,DDX3X Position 1,K562,2,0.5925125989920805,0.0025649645559718257,100.0
312,EWSR1 Position 2,K562,2,0.6690140845070423,0.04552845528455285,0.0
313,DROSHA Position 5,K562,2,0.6702127659574468,0.045928030303030304,100.0
314,DROSHA Position 3,K562,2,0.5912162162162162,0.024069737184491284,100.0
315,LIN28B Position 6,K562,2,0.40424739195230996,0.0035848318521325626,0.0
316,ILF3 Position 4,HepG2,2,0.42500000000000004,0.2159090909090909,100.0
317,LIN28B Position 5,K562,2,0.18006182380216385,0.0027411070393100504,50.0
318,LIN28B Position 1,K562,2,0.41481069042316254,0.00553951367781155,100.0
319,HNRNPL Position 5,K562,2,0.34375,0.1111111111111111,50.0
320,HNRNPL Position 6,K562,2,1.0,1.0,100.0
321,HNRNPM Position 2,K562,2,0.5144927536231885,0.0873015873015873,0.0
322,HNRNPL Position 2,K562,2,0.5285714285714286,0.09259259259259259,100.0
323,UTP18 Position 3,K562,2,0.5,0.1,0.0
324,UTP18 Position 5,K562,2,0.6052631578947368,0.19166666666666665,100.0
325,HNRNPM Position 2,HepG2,2,0.375,0.044268406337371856,100.0
326,HNRNPM Position 1,K562,2,0.6041666666666666,0.13392857142857142,50.0
