Plot Type	Cell Line	PPI Source	PPI Type	Curve	AUC	ROC Input Table: # INTER-RBP Interaction Features (Rows)	# Rows as % of All INTER-RBP Interaction Effects	ROC Input Table: # True PPIs	% Rows w/ True PPI	# Rows w/ 0 Abs. SHAP Value	% Rows w/ 0 Abs. SHAP Value	Abs. SHAP - Min Val	Abs. SHAP - 50th Percentile	Abs. SHAP - 75th Percentile	Abs. SHAP - 90th Percentile	Abs. SHAP - 95th Percentile	Abs. SHAP - 99th Percentile	Abs. SHAP - Max Val	Partial AUC @ FPR=0.01	Partial AUC @ FPR=0.025	Partial AUC @ FPR=0.05	Partial AUC @ FPR=0.1	Partial AUC @ FPR=0.2	Partial AUC @ FPR=0.3	Partial AUC @ FPR=0.4	Partial AUC @ FPR=0.5
FEATURE-SPECIFIC	K562	Street et al | IP/SEC-MS (Both)	All-Positions	roc	0.5514060452922671	59385	17.199284051020054	497	0.8369116780331735	41172	69.33063905026522	0.0	0.0	0.00016502408834639937	0.005047503113746642	0.01477476749569168	0.09450745791196817	1.3102924823760986	0.4999094694529185	0.5021717614095822	0.5074805473346701	0.5185318360948263	0.5359042358120101	0.543803519176651	0.5469586001379759	0.5487705222378723
RBP-SPECIFIC_SUM_VALUE	HepG2	Rec-Y2H/Street et al. IP-MS (Union)	Same-Position	roc	0.5506951566951567	2328	1.1843711843711844	78	3.350515463917526	1849	79.42439862542955	0.0	0.0	0.0	0.05067041032016283	0.12480556962545973	0.4276474335789681	2.0510149076581	0.5004939226044753	0.5103465685744166	0.5204324640222076	0.5329734592892488	0.5380183602405825	0.5438488143354037	0.5466869026860666	0.5483198950601403
RBP-SPECIFIC_SUM_VALUE	HepG2	Rec-Y2H/Street et al. IP-MS (Union)	All-Positions	roc	0.550438750165456	2855	1.4524827024827025	93	3.2574430823117337	1855	64.97373029772329	0.0	0.0	0.027184731043234933	0.18400829988531764	0.3661960913799694	0.9807363729531801	2.874462496023625	0.5015683245202991	0.5074888576588276	0.5131652999957875	0.5220772493706528	0.530373381019243	0.5367234277794648	0.5432317995054413	0.546167964589151
RBP-SPECIFIC_SUM_VALUE	HepG2	Rec-Y2H/Street et al. IP-MS (Union)	Different-Position	roc	0.5501698004487146	2780	1.4143264143264143	91	3.2733812949640293	1870	67.26618705035972	0.0	0.0	0.014740496641024947	0.12268027063691983	0.26919064186513386	0.734766832060123	1.8837369863394997	0.4999065717103657	0.5013413793158745	0.5079941751566891	0.5140280830519816	0.5276963852642543	0.5395639733136726	0.5442671194895417	0.5466719154358713
RBP-SPECIFIC_SUM_VALUE	K562	Street et al | IP-MS	Different-Position	roc	0.5501552795031055	2962	0.8578644330912082	92	3.1060094530722484	1144	38.62255232950709	0.0	0.0021884772831981536	0.03683418743270295	0.18368358499451462	0.373100584104213	0.7764677633728566	1.9135957090311422	0.49781097580007294	0.5032014712001825	0.5053197068043304	0.5197099323069072	0.5373491390193406	0.542850013812524	0.5449848981214968	0.5450234812907135
RBP-SPECIFIC_MAX_VALUE	HepG2	Rec-Y2H/Street et al. IP-MS (Union)	Same-Position	roc	0.5490370370370371	2328	1.1843711843711844	78	3.350515463917526	1849	79.42439862542955	0.0	0.0	0.0	0.046964747458696415	0.10877762213349347	0.36506764203310016	1.5484907627105713	0.49748743718592964	0.5087309315157417	0.5194681861348528	0.5262558104663367	0.5334124723013611	0.5405975993194827	0.5440960907202546	0.5461090688493141
RBP-SPECIFIC_MAX_VALUE	HepG2	Rec-Y2H/Street et al. IP-MS (Union)	Different-Position	roc	0.5483226331125178	2780	1.4143264143264143	91	3.2733812949640293	1870	67.26618705035972	0.0	0.0	0.012341145426034927	0.08496510758996008	0.1557335570454596	0.40182137787342087	1.1819193363189697	0.49748743718592964	0.4959242357220995	0.4959919884827629	0.5104726945951428	0.5221907549910525	0.5359420765760319	0.5413809205267344	0.5442090256542758
FEATURE-SPECIFIC	K562	Street et al | IP-MS	All-Positions	roc	0.5482760007263467	59385	17.199284051020054	2076	3.49583228087901	41172	69.33063905026522	0.0	0.0	0.00016502408834639937	0.005047503113746642	0.01477476749569168	0.09450745791196817	1.3102924823760986	0.5005932937216963	0.5030920982040211	0.5075058737350077	0.5143662785442705	0.5277524145165359	0.5363644600825838	0.5412950908985515	0.5441391652728385
RBP-SPECIFIC_MAX_VALUE	HepG2	Rec-Y2H/Street et al. IP-MS (Union)	All-Positions	roc	0.5477836693061753	2855	1.4524827024827025	93	3.2574430823117337	1855	64.97373029772329	0.0	0.0	0.022542006336152554	0.10093900561332698	0.2046942114830014	0.4854254776239395	1.5484907627105713	0.49748743718592964	0.49494821069587874	0.5019013205927784	0.5113487392771247	0.52355183896143	0.5316853236821579	0.5390832356628152	0.5426278567767767
FEATURE-SPECIFIC	HepG2	Street et al | IP-MS	Same-Position	roc	0.5475230984985976	6301	3.2056369556369555	240	3.8089192191715604	5703	90.5094429455642	0.0	0.0	0.0	0.0	0.02351217158138752	0.16923993825912476	0.8054162263870239	0.5037149532516567	0.5062748136560997	0.5088896785811486	0.5243330648533	0.5378526317932883	0.5422967800953606	0.5444633023926209	0.5457098859913521
