feature,AUROC,AUPRC,total_events,num_significant
XPO5_4,0.3496638451427088,0.028619633330259624,3600,138
XPO5_5,0.6060942327436377,0.05368684028256153,3304,133
XPO5_6,0.36677942046126555,0.027786357697029355,2464,89
G3BP1_1,0.7578545752710607,0.0897628972561596,30804,450
G3BP1_2,0.35292807459171216,0.0060999364887259575,33469,279
G3BP1_3,0.3172111976831765,0.002970716514897545,31987,141
G3BP1_4,0.4606696630063755,0.006149549643527679,33846,209
G3BP1_5,0.43252264462627354,0.007658426430614462,38588,317
G3BP1_6,0.2497368181682003,0.004719492791791504,38243,292
TIAL1_1,0.26263233759133164,0.023533631529791724,1764,59
TIAL1_2,0.6827601456280725,0.07467226592631943,26541,1037
TIAL1_3,0.48536577451611335,0.05177914011672854,2679,146
TIAL1_4,0.4424893159358262,0.033733696734715476,20975,752
TIAL1_5,0.5,0.01015744032503809,3938,40
TIAL1_6,0.5885903250538062,0.04629066723899199,19644,365
SND1_1,0.2981193738458365,0.009674390679914614,28811,420
SND1_2,0.41344312452911924,0.008716468599933167,33970,361
SND1_3,0.671818829231271,0.013440158361996853,32404,266
SND1_4,0.6216590329362898,0.011648315162518224,37924,273
SND1_5,0.3211285930680628,0.0071301923474844965,40349,412
SND1_6,0.4391643231204566,0.017567524409580565,39159,355
NOLC1_1,0.36816048936782186,0.013477222181120048,6200,98
NOLC1_2,0.6333644012434674,0.03057651331042527,5790,62
NOLC1_3,0.7734259848081739,0.07036812949091995,8011,137
NOLC1_4,0.7503361445164822,0.018550409538658715,6014,49
