feature,AUROC,AUPRC,total_events,num_significant
YBX3_6,0.38380334833323243,0.00847965800092631,68882,798
DDX51_1,0.4252239604225163,0.023194107966542237,1707,45
DDX51_2,0.34752282823297137,0.030100071953281043,4172,120
DDX51_3,0.4278706331686464,0.022483111651854727,1084,27
DDX51_5,0.4176264911559029,0.03217348583497427,387,13
DDX51_6,0.5,0.02631578947368421,228,6
PUM2_1,0.5080838659614875,0.033680657204474364,7638,104
PUM2_2,0.35851119894598155,0.008872505041393024,6669,69
PUM2_3,0.5520555298200722,0.01784927288699503,7953,69
PUM2_4,0.5345524537307952,0.011916567654292075,9269,95
PUM2_5,0.38076413984368435,0.008554350619863172,13186,146
PUM2_6,0.4332173943038484,0.014145245391024327,30512,522
ZC3H11A_1,0.5,0.0106951871657754,748,8
ZC3H11A_2,0.5,0.025906735751295335,386,10
ZC3H11A_3,0.7238398544131027,0.043435393304563884,1124,25
ZC3H11A_4,0.7930062041737169,0.01053799450025865,1185,3
ZC3H11A_5,0.6662384761388286,0.030490727149780312,3728,40
ZC3H11A_6,0.4783920007247886,0.01883114683725441,10376,204
TRA2A_1,0.370857201986257,0.013266080375206369,13760,246
TRA2A_2,0.7078356198874582,0.05101175051693005,17789,273
TRA2A_3,0.4449849300968812,0.01320700366294578,10422,105
TRA2A_4,0.4074409464292733,0.012507308874506046,13048,198
TRA2A_5,0.5550797414267477,0.014618270006588514,15336,192
TRA2A_6,0.697202059919158,0.05389832892710357,18441,331
DDX55_1,0.5130503577325262,0.006035469467000089,3654,20
DDX55_2,0.6479634395876259,0.045864421491237505,6924,82
DDX55_3,0.5370785681539395,0.01024716126877117,3532,23
DDX55_4,0.7033267223874959,0.02473616183281505,5469,39
DDX55_5,0.7072836115669185,0.040425233278630304,6628,62
DDX55_6,0.4951254195696141,0.019277994774146767,8432,158
GARS_1,0.29730225988700565,0.008563604397619775,1790,20
GARS_2,0.7928862334407447,0.04350360927843806,2825,32
GARS_4,0.44929592265657836,0.0049848713630000555,1592,6
GARS_5,0.5846954290601538,0.01648372267567314,1255,17
GARS_6,0.7551352450681309,0.04046265638480441,905,11
XRN2_1,0.7449448874472526,0.04840818422953991,6468,126
XRN2_2,0.6443932855666852,0.03164326502169499,21031,491
XRN2_3,0.40787597356429567,0.012789423146614952,5714,88
XRN2_4,0.701638508763708,0.05596155829913217,5542,94
XRN2_5,0.5091780999681479,0.0331822044356494,7669,158
XRN2_6,0.37739475808164474,0.022826129759942273,2305,63
ADAT1_1,0.5,0.007042253521126761,284,2
ADAT1_2,0.5,0.007751937984496124,516,4
ADAT1_5,0.47120418848167545,0.003289473684210526,574,1
ADAT1_6,0.46407455217696175,0.02524355286969096,2378,54
RBFOX2_1,0.4498058304792212,0.014647710089049009,6852,110
RBFOX2_2,0.6455887189606972,0.05897404984928852,12502,340
RBFOX2_3,0.6989574262215772,0.05639472925901759,12289,364
RBFOX2_4,0.6669005610074406,0.03765159541426631,8523,213
RBFOX2_5,0.3705639846215213,0.023979327454614802,10677,331
RBFOX2_6,0.42310119573424826,0.01553754945952256,8552,139
NPM1_1,0.6774193548387097,0.06976744186046512,130,6
NPM1_2,0.6541353383458647,0.022222222222222223,135,2
NPM1_3,0.5,0.1099476439790576,191,21
NPM1_4,0.5,0.005263157894736842,190,1
NPM1_5,0.5,0.04597701149425287,261,12
NPM1_6,0.5,0.009569377990430622,209,2
TIA1_1,0.3514970195023006,0.015585759050537837,5933,122
TIA1_2,0.646438794516274,0.033149717644622746,46123,1035
TIA1_3,0.6170253447289882,0.06788958668860356,8199,291
TIA1_4,0.4346693291681297,0.02171307311753557,36633,977
TIA1_5,0.6523809523809523,0.0348014154290358,9328,175
TIA1_6,0.7096297631690931,0.05385127721573843,34237,646
GTF2F1_1,0.3837512632785448,0.012729782918105073,8945,151
GTF2F1_2,0.44456964959459244,0.01745535695708364,21384,442
GTF2F1_3,0.6541568963873797,0.04934848624807457,8265,195
GTF2F1_4,0.504193364207321,0.02139501696647595,7319,154
GTF2F1_5,0.5199835216105144,0.02527420402089653,4689,110
GTF2F1_6,0.5263949745753543,0.009073762321872562,4144,36
RPS3_1,0.5988539835478199,0.03706466253894776,24477,215
RPS3_2,0.3354236391069308,0.0018664496815165893,29291,78
RPS3_3,0.7237328767692828,0.01380331625329987,24893,97
RPS3_4,0.20877914450439908,0.0017569342043778286,23335,67
RPS3_5,0.7033666682991021,0.024830537979221703,31592,201
RPS3_6,0.3805699201235823,0.006891788457228426,26781,240
SUPV3L1_3,0.5467289719626167,0.020589997005091343,217,3
METAP2_1,0.687418918169939,0.02088359133375778,17573,122
METAP2_2,0.3255931404318204,0.0058181465132948135,21912,185
METAP2_3,0.26034198782607176,0.004085584264236928,21340,135
METAP2_4,0.32944853263890916,0.015205685770609392,21149,117
METAP2_5,0.715199346617942,0.025641733772367253,26689,244
METAP2_6,0.28735130078145116,0.005534547313546206,23541,198
PHF6_1,0.25420149582050156,0.005292804094872571,2288,15
PHF6_2,0.7503553040517678,0.089546919671,3210,61
PHF6_3,0.4398330558344665,0.02819338244461215,3217,101
PHF6_4,0.5004216269841271,0.028023594238064817,1028,20
PHF6_5,0.321827731092437,0.017545983707163672,1825,40
PHF6_6,0.36684901531728664,0.0059877886191193235,919,5
HNRNPM_1,0.42126345696669826,0.016463717380239905,3400,62
HNRNPM_2,0.3955027868577655,0.013223537423539123,8074,120
HNRNPM_3,0.5549501542697693,0.019582700357009552,3067,54
HNRNPM_4,0.6594263773933831,0.10014889517515543,3116,58
HNRNPM_5,0.8101582687338501,0.07072655584176414,1050,18
HNRNPM_6,0.5731688861985472,0.004645896748217904,1895,7
NSUN2_1,0.468944099378882,0.08888888888888889,173,12
DDX24_1,0.4281663025771483,0.011474877715711491,56987,821
DDX24_2,0.36640857028139534,0.010166371729662692,61422,862
DDX24_3,0.6544670816300694,0.03287141473449829,54383,620
