Parameter Name	Beta_All Data_HepG2_All Pos. PPI	Beta_All Data_HepG2_Same Pos. PPI	Beta_All Data_K562_All Pos. PPI	Beta_All Data_K562_Same Pos. PPI	Beta_Train & Validate_HepG2_All Pos. PPI	Beta_Train & Validate_HepG2_Same Pos. PPI	Beta_Train & Validate_K562_Same Pos. PPI	P-value_All Data_HepG2_All Pos. PPI	P-value_All Data_HepG2_Same Pos. PPI	P-value_All Data_K562_All Pos. PPI	P-value_All Data_K562_Same Pos. PPI	P-value_Train & Validate_HepG2_All Pos. PPI	P-value_Train & Validate_HepG2_Same Pos. PPI	P-value_Train & Validate_K562_Same Pos. PPI
BCCIP_6	-0.13583661750081885	-0.15496035453965154			0.028711148886571995	-0.028873102546049793		0.3760072237219122	0.31589001347661505			0.8510434191073827	0.8513107131640736	
BCLAF1_1	0.004508980029911531	0.004306485988822579			-0.0024063551272373814	-0.0030747499262674493		4.2488850733237205e-07	1.424371220794935e-06			0.016757121353321903	0.0023019982136250885	
BCLAF1_2	-0.026480056515688525	-0.027198815442038976			-0.022804112291941195	-0.023087942117233234		0.0	0.0			1.1359781638197409e-184	1.09406244141866e-188	
BCLAF1_3	0.02832887488436856	0.02830826777934962			0.028662963000398417	0.02873357202508079		1.3602840522070096e-142	1.6880221033272643e-141			2.2200679394290275e-116	1.02219932952397e-115	
BCLAF1_4	0.21007839546623447	0.21072955945702554			0.21151314632729287	0.21271088892825288		0.0	0.0			0.0	0.0	
BCLAF1_5	-0.006230123170833363	-0.006641721623179741			-0.009641506578177516	-0.009101929120787952		2.096193988099236e-11	1.0534486279541254e-12			2.49680607387791e-20	3.673909035337859e-18	
BCLAF1_6	-0.008979750864098681	-0.009689892475390495			-0.007528366685955925	-0.008084551355381005		8.479947523592124e-38	1.5670902036440063e-43			5.854129362776318e-22	6.27621695724298e-25	
BUD13_1	0.03470645174068897	0.03380844432538788	0.010885373003448334	0.009467292122556151	0.03040385091068317	0.02971913425335847	0.014285131905209948	9.036102255520727e-83	7.688281137415617e-80	6.151108469028613e-18	3.011052863661247e-14	2.412090718767026e-53	4.9633529395551924e-52	1.1638541961107469e-26
BUD13_2	-0.06172713669142124	-0.060287996574208295	-0.0070134492804079865	-0.00571140443707992	-0.06040864394671458	-0.05797587899769323	-0.006868881018689203	0.0	0.0	4.7510683140628344e-15	1.2589500892131647e-10	0.0	0.0	9.004300985341485e-13
BUD13_3	-0.006682937105413208	-0.002939837506628445	-0.008446746509341348	-0.011793166637607037	-0.009933455924037079	-0.007054381940485709	-0.009650799781460113	0.0007112007680677014	0.13213168281119356	5.589233639499242e-11	1.967805404000347e-20	3.980994355092297e-06	0.0009121770498224578	2.45022305208228e-12
BUD13_4	0.0367013985459776	0.031143922997822322	0.09500162920966018	0.0965413636385294	0.03629985360731866	0.032414983370277636	0.09731315656144669	2.1932245049802846e-115	1.9607907123648894e-85	0.0	0.0	2.446913341228319e-95	3.49538172240393e-78	0.0
BUD13_5	-0.036203783189049425	-0.036997384499998835	-0.05831516677710299	-0.05695858912287761	-0.026688601200619666	-0.027854340335744597	-0.06840517908772831	2.0962558112922428e-106	2.881309441414886e-113	0.0	0.0	6.1524036291540855e-49	1.9035790344925527e-54	0.0
BUD13_6	0.02720678893593232	0.021103448372816958	0.022770138837783557	0.021933030718608377	0.02143954483412213	0.01631348262691859	0.024123131206949634	2.2545171661927756e-78	5.874040379081837e-49	1.652316758524774e-123	1.271106891272706e-116	2.3905852205096625e-41	4.067171355374772e-25	1.0170306368498171e-119
