Data Partition	Cell Line	RBP Pair	Position	# Graphs Used in OLS Reg.	# Rows - PPI Interaction	% Rows - PPI Interaction	# Rows - RBP 1 Bound	% Rows - RBP 1 Bound	# Rows - RBP 2 Bound	% Rows - RBP 2 Bound	Intercept Beta Coefficient	Intercept Param P-value	Intercept Param FDR BH	RBP 1 Beta Coefficient	RBP 1 Param P-value	RBP 1 Param FDR BH	RBP 2 Beta Coefficient	RBP 2 Param P-value	RBP 2 Param FDR BH	Interaction Beta Coefficient	Interaction Param P-value	Interaction Param FDR BH
All	HepG2	RBM15-SRSF9	5	2083000	252	0.012097935669707153	4290	0.20595295247239556	2427	0.11651464234277485	0.7059004413602457	0.0	0.0	-0.24472052556033616	0.0	0.0	0.03079702990411465	4.92773587399796e-05	5.7513517849494605e-05	0.42575122889915834	2.3021189048163733e-69	4.758225696242537e-69
All	HepG2	HNRNPK-IGF2BP3	6	2083000	265	0.01272203552568411	8640	0.414786365818531	8717	0.41848295727316376	0.7051410014385945	0.0	0.0	0.03943732691963287	2.4262957107654848e-24	3.7960778462103026e-24	0.05410882108861852	1.0025963741975673e-44	1.8578847353945927e-44	-0.3709777154845689	1.4892304981664879e-61	2.9881313242431476e-61
All	HepG2	U2AF1-U2AF2	4	2083000	19896	0.9551608257321171	25594	1.22870859337494	166791	8.007249159865578	0.7081036050041088	0.0	0.0	0.01739700924651842	0.00020915973130030842	0.00024115804840222127	-0.0249580112126283	9.83792007020353e-150	2.486639919585187e-149	-0.08742936419601405	5.764808118226754e-59	1.138227289796848e-58
All	HepG2	U2AF1-U2AF2	6	2083000	12661	0.6078252520403264	15035	0.7217954872779645	136699	6.562602016322612	0.7073140555175168	0.0	0.0	0.11270237245214657	2.800540767369987e-54	5.477006943780543e-54	-0.02910956979540537	1.063417801429834e-173	2.814527628623715e-173	-0.12065450843885941	1.175530523686977e-51	2.2631709147618434e-51
All	HepG2	PCBP2-RBFOX2	3	2083000	2287	0.10979356697071532	23464	1.126452232357177	45069	2.1636581853096493	0.7070488542479656	0.0	0.0	-0.06085852983942048	6.517788060336446e-137	1.6209227449850797e-136	-0.04676461087458965	3.10338473933162e-161	8.041474922041682e-161	0.12053231007773657	1.3292349324972173e-51	2.551140336283479e-51
All	K562	U2AF1-U2AF2	2	2252043	23912	1.0617914489199363	31475	1.3976198500650299	86295	3.8318540098923513	0.7219588839696335	0.0	0.0	-0.08224534436895366	3.938353287751732e-93	8.866675161495703e-93	-0.015351450854836352	2.278951311337499e-27	3.716073642233706e-27	0.07190451379681524	1.9473202555058018e-50	3.720073934783881e-50
All	K562	IGF2BP2-PCBP1	2	2252043	3643	0.16176422919100567	35134	1.5600945452640114	17296	0.7680137546219143	0.7212796626901269	0.0	0.0	-0.0012604190967350666	0.5243006811274931	0.5373429866281769	-0.05697419868953574	1.0261310213100017e-80	2.194287097472599e-80	0.10027447197782957	3.151234543652824e-49	6.001426650161619e-49
All	K562	GTF2F1-PCBP1	3	2252043	324	0.014386936661511349	17275	0.767081267986446	9455	0.4198410065882401	0.7213456462127463	0.0	0.0	-0.04825034210089936	5.547245472536161e-72	1.1504019134319959e-71	-0.0078831557954825	0.031139534128270155	0.03409075658329665	0.29337272822683924	3.486877260782677e-49	6.630431222042136e-49
All	HepG2	HNRNPK-U2AF2	1	2083000	350	0.016802688430148822	9578	0.45981757081132985	64558	3.099279884781565	0.7059341971537129	0.0	0.0	-0.00871491887022608	0.01823721302071561	0.020180121122295874	-0.014779247614707188	2.022767973088739e-25	3.2053092496636935e-25	0.2841699693312354	5.667087092058985e-49	1.0759630792296322e-48
All	K562	CSTF2T-EWSR1	5	2252043	6056	0.26891138401886644	24146	1.0721820142865834	10944	0.48595874945549444	0.7217432819660197	0.0	0.0	-0.08598805808541723	3.570547008990358e-239	1.0263246751423448e-238	-0.024532561835082158	8.979756220224211e-07	1.0860057424850415e-06	0.10506143636927943	2.5969468639734733e-48	4.915507387245349e-48
All	K562	PCBP1-PTBP1	5	2252043	478	0.021225171988279088	8869	0.3938201890461239	7682	0.34111249207941413	0.7209569249587412	0.0	0.0	0.05600881214053776	8.433719787327677e-49	1.5987849167388053e-48	-0.04128313262116552	1.1265616029538752e-23	1.7514844544037607e-23	-0.24517842037769005	1.2323645076306026e-47	2.318420900200038e-47
All	K562	PCBP1-PTBP1	3	2252043	196	0.008703208597704395	9455	0.4198410065882401	12959	0.5754330623349555	0.7218521760676293	0.0	0.0	-0.0043064907884444595	0.23556602682150687	0.24906724478304748	-0.153085428437753	0.0	0.0	0.36131525336265646	4.456671911302266e-46	8.346131033893335e-46
