,RBP,cell_line,Significant Events,AUROC,AUPRC,Sign Concordance
288,EXOSC5 Position 2,HepG2,0,,,
289,EXOSC5 Position 3,HepG2,0,,,
290,EXOSC5 Position 3,K562,0,,,
291,EXOSC5 Position 4,HepG2,0,,,
292,EXOSC5 Position 5,HepG2,0,,,
293,EXOSC5 Position 5,K562,0,,,
294,ELAC2 Position 4,HepG2,0,,,
295,ELAC2 Position 5,HepG2,0,,,
296,GARS Position 4,HepG2,0,,,
297,GARS Position 5,HepG2,0,,,
298,GARS Position 5,K562,0,,,
299,SRSF7 Position 5,K562,0,,,
300,SRSF7 Position 6,HepG2,0,,,
301,GARS Position 1,HepG2,0,,,
302,GARS Position 1,K562,0,,,
303,METTL1 Position 6,HepG2,0,,,
304,SRSF9 Position 5,HepG2,0,,,
305,SRSF9 Position 5,K562,0,,,
306,SRSF9 Position 6,HepG2,0,,,
307,SRSF9 Position 6,K562,0,,,
308,GARS Position 2,HepG2,0,,,
309,GARS Position 2,K562,0,,,
310,GARS Position 3,HepG2,0,,,
311,GARS Position 3,K562,0,,,
312,ELAC2 Position 3,HepG2,0,,,
313,DDX42 Position 1,HepG2,0,,,
314,DDX42 Position 1,K562,0,,,
315,IGF2BP1 Position 3,HepG2,0,,,
316,DDX43 Position 4,HepG2,0,,,
317,SRSF9 Position 3,K562,0,,,
318,SRSF9 Position 4,HepG2,0,,,
319,SRSF9 Position 4,K562,0,,,
320,RNF187 Position 5,K562,0,,,
321,RNF187 Position 6,HepG2,0,,,
322,GNL3 Position 3,HepG2,0,,,
323,GNL3 Position 3,K562,0,,,
324,GARS Position 6,HepG2,0,,,
325,DDX21 Position 6,K562,0,,,
326,ELAC2 Position 1,HepG2,0,,,
327,ELAC2 Position 2,HepG2,0,,,
328,DDX42 Position 2,K562,0,,,
329,DDX42 Position 3,HepG2,0,,,
330,DDX42 Position 3,K562,0,,,
331,DDX42 Position 4,HepG2,0,,,
332,DDX42 Position 4,K562,0,,,
333,DDX42 Position 5,HepG2,0,,,
334,RPS6 Position 2,HepG2,0,,,
335,RPS6 Position 2,K562,0,,,
336,DDX42 Position 6,HepG2,0,,,
337,DDX42 Position 6,K562,0,,,
338,NPM1 Position 1,HepG2,0,,,
339,NPM1 Position 1,K562,0,,,
340,NPM1 Position 2,HepG2,0,,,
341,NPM1 Position 2,K562,0,,,
342,NPM1 Position 3,HepG2,0,,,
343,DDX42 Position 2,HepG2,0,,,
344,ELAVL1 Position 1,HepG2,0,,,
345,NPM1 Position 4,HepG2,0,,,
346,NPM1 Position 4,K562,0,,,
347,NPM1 Position 5,HepG2,0,,,
348,NPM1 Position 5,K562,0,,,
349,NPM1 Position 6,HepG2,0,,,
350,NPM1 Position 6,K562,0,,,
351,SDAD1 Position 2,K562,0,,,
352,METTL1 Position 6,K562,0,,,
353,METTL1 Position 1,HepG2,0,,,
354,DDX43 Position 5,HepG2,0,,,
355,DDX43 Position 6,HepG2,0,,,
356,SDAD1 Position 3,K562,0,,,
357,SDAD1 Position 4,HepG2,0,,,
358,SDAD1 Position 4,K562,0,,,
359,SDAD1 Position 5,K562,0,,,
360,PRPF8 Position 6,HepG2,0,,,
361,MORC2 Position 5,HepG2,0,,,
362,MORC2 Position 5,K562,0,,,
363,MORC2 Position 6,HepG2,0,,,
364,MORC2 Position 6,K562,0,,,
365,PRPF8 Position 1,HepG2,0,,,
366,PRPF8 Position 2,HepG2,0,,,
367,MORC2 Position 1,HepG2,0,,,
368,NIPBL Position 3,HepG2,0,,,
369,ELAVL1 Position 2,HepG2,0,,,
370,ELAVL1 Position 3,HepG2,0,,,
371,ELAVL1 Position 4,HepG2,0,,,
372,ELAVL1 Position 5,HepG2,0,,,
373,PRPF8 Position 3,HepG2,0,,,
374,PRPF8 Position 4,HepG2,0,,,
375,PRPF8 Position 5,HepG2,0,,,
376,NIPBL Position 6,K562,0,,,
377,RPS6 Position 1,HepG2,0,,,
378,RPS6 Position 1,K562,0,,,
379,ELAVL1 Position 6,HepG2,0,,,
380,NIPBL Position 1,HepG2,0,,,
381,NIPBL Position 1,K562,0,,,
382,NIPBL Position 2,HepG2,0,,,
383,NIPBL Position 2,K562,0,,,
384,RPS6 Position 3,HepG2,0,,,
385,RPS6 Position 4,HepG2,0,,,
386,RPS6 Position 4,K562,0,,,
387,RPS6 Position 5,HepG2,0,,,
388,NIPBL Position 4,HepG2,0,,,
389,NIPBL Position 5,HepG2,0,,,
390,NIPBL Position 5,K562,0,,,
391,NIPBL Position 6,HepG2,0,,,
392,SAFB Position 5,HepG2,0,,,
393,DROSHA Position 1,K562,0,,,
394,DROSHA Position 2,HepG2,0,,,
395,DROSHA Position 2,K562,0,,,
396,SRSF9 Position 2,K562,0,,,
397,DROSHA Position 3,K562,0,,,
398,DROSHA Position 4,HepG2,0,,,
399,RBM5 Position 2,K562,0,,,
400,NOLC1 Position 3,HepG2,0,,,
401,NOLC1 Position 4,HepG2,0,,,
402,NOLC1 Position 4,K562,0,,,
403,DDX6 Position 3,HepG2,0,,,
404,DDX6 Position 4,HepG2,0,,,
405,DDX6 Position 4,K562,0,,,
406,DDX6 Position 5,HepG2,0,,,
407,DDX6 Position 6,HepG2,0,,,
408,SRSF9 Position 1,HepG2,0,,,
409,SRSF9 Position 1,K562,0,,,
410,SRSF9 Position 2,HepG2,0,,,
411,SAFB Position 2,K562,0,,,
412,NOLC1 Position 1,HepG2,0,,,
413,NOLC1 Position 1,K562,0,,,
414,NOLC1 Position 2,HepG2,0,,,
415,NOLC1 Position 2,K562,0,,,
416,RYBP Position 2,K562,0,,,
417,RYBP Position 5,HepG2,0,,,
418,RYBP Position 5,K562,0,,,
419,RYBP Position 6,HepG2,0,,,
420,RYBP Position 6,K562,0,,,
421,NOLC1 Position 5,HepG2,0,,,
422,NOLC1 Position 5,K562,0,,,
423,NOLC1 Position 6,K562,0,,,
424,DDX6 Position 1,HepG2,0,,,
425,DDX6 Position 2,HepG2,0,,,
426,SAFB Position 4,HepG2,0,,,
427,WDR43 Position 1,HepG2,0,,,
428,WDR43 Position 1,K562,0,,,
429,WDR43 Position 2,HepG2,0,,,
430,WDR43 Position 2,K562,0,,,
431,WDR43 Position 3,K562,0,,,
