Data Partition	Model	Cell Line	RBP Pair	Position	Same Pos. PPI Mean	Single Binders Mean	PPI - Single: Mean	Same Pos. PPI Std Dev	Single Binders Std Dev	PPI - Single Std Dev	Same Pos. PPI Rows	Single Binders Rows
test	xgboost	HepG2	RBM22-TIA1	6	0.9959090909090907	0.6892608731331035	0.3066482177759873	0.0033667829262854576	0.3484689095757777	-0.34510212664949225	33	6093
test	xgboost	HepG2	FUBP3-U2AF2	4	0.9735312500000001	0.6683436948297605	0.30518755517023954	0.01666181561785944	0.35343137549246256	-0.3367695598746031	80	39650
test	xgboost	K562	PUM2-RBFOX2	2	0.9929999999999999	0.6885747445255475	0.3044252554744524	0.00325960120260133	0.36928019915574906	-0.36602059795314773	13	6850
test	xgboost	K562	DDX42-U2AF2	5	0.999	0.6963857405549982	0.30261425944500175	0.0008660254037844074	0.3566220688519632	-0.3557560434481788	3	11964
test	xgboost	HepG2	PCBP1-RBFOX2	5	0.9968750000000001	0.6950938017150595	0.30178119828494054	0.0023867192066576643	0.32383885512298466	-0.321452135916327	8	6647
test	xgboost	K562	PTBP1-ZC3H8	6	0.9910599999999996	0.6894203539823006	0.301639646017699	0.010536932133002956	0.24377756920669208	-0.2332406370736891	50	678
test	xgboost	K562	MBNL1-RBFOX2	2	0.8900460122699385	0.589321343739396	0.30072466853054247	0.06977390315268554	0.34667801050726194	-0.2769041073545764	163	2947
test	xgboost	HepG2	SRSF9-TRA2A	2	0.996	0.6958696994095545	0.30013030059044554	0.004135214625627073	0.3636994793400614	-0.35956426471443437	6	3726
test	xgboost	HepG2	FUBP3-RBFOX2	6	0.9943275862068965	0.698267554479419	0.2960600317274775	0.007891310616826058	0.31769976806445094	-0.30980845744762486	29	4956
test	xgboost	K562	DDX42-U2AF2	6	0.9986666666666667	0.704425165434021	0.2942415012326457	0.0012583057392117633	0.3624164544124343	-0.36115814867322255	3	15414
test	xgboost	K562	PUM2-RBFOX2	3	0.9848750000000001	0.6934133978147948	0.2914616021852052	0.011827756902022167	0.34093907513214217	-0.32911131823012	4	5583
test	xgboost	K562	EWSR1-NONO	1	0.8679338983050846	0.5768793009284543	0.2910545973766303	0.16284980101471982	0.3930631596138606	-0.2302133585991408	295	1831
test	xgboost	HepG2	HNRNPK-IGF2BP3	6	0.9894285714285713	0.6986382921589689	0.29079027926960244	0.009463100155354199	0.3378199864015435	-0.3283568862461893	28	3724
test	xgboost	HepG2	HNRNPK-IGF2BP3	4	0.9942878787878786	0.7042206500420287	0.2900672287458499	0.005312176906396148	0.34395564842756626	-0.33864347152117014	33	3569
test	xgboost	K562	CPSF6-RBM15	5	0.9916374999999998	0.7030220976558881	0.28861540234411176	0.007626696952826726	0.34480170034816054	-0.3371750033953338	40	10793
test	xgboost	K562	HNRNPK-U2AF2	3	0.9550000000000001	0.6681142303532805	0.2868857696467195	0.0418519215010892	0.35573152621584025	-0.31387960471475107	7	11096
test	xgboost	K562	CSTF2T-NONO	3	0.9010336021505375	0.6145244195356284	0.2865091826149091	0.18093548335634405	0.3727120265820816	-0.19177654322573753	372	4996
test	xgboost	HepG2	QKI-RBFOX2	1	0.9695625	0.6842724285714286	0.28529007142857143	0.11677424452670465	0.37070389275595367	-0.253929648229249	24	3500
test	xgboost	HepG2	PCBP2-QKI	5	0.978035294117647	0.7024800474707016	0.2755552466469454	0.016489316208369832	0.31551805818292394	-0.2990287419745541	85	6741
test	xgboost	K562	HNRNPK-U2AF2	6	0.9979230769230768	0.722474322314995	0.2754487546080818	0.0014838878249123371	0.3491869401303617	-0.3477030523054494	13	17486
test	xgboost	K562	RBFOX2-SF3B4	6	0.9781928104575164	0.704756933670831	0.27343587678668535	0.02092036311126694	0.3521736444111126	-0.33125328129984566	153	36741
