Cell Line	Model	RBP Pair	Position	PPI Category	R2 Value	# Unique Graphs	% Unique Graphs
K562	xgboost	CPSF6-RBM15	5	Neither	0.23371345823046374	208613	53.91478067148924
K562	xgboost	CPSF6-RBM15	6	Neither	0.23367070735223394	208301	53.83414613975101
K562	xgboost	RBM22-TIA1	1	Neither	0.23357171396898713	209667	54.1871806601177
K562	linear	PCBP1-RBFOX2	4	Same Pos. PPI	0.2332467312816191	427	0.11035559311608531
K562	xgboost	RBM22-TIA1	6	Single Binders	0.23307821645454319	6705	1.7328671003357186
K562	xgboost	RBFOX2-SF3B4	4	Neither	0.23143770849042744	208680	53.932096420291984
K562	xgboost	RBFOX2-SF3B4	2	Neither	0.22909179241483424	201000	51.94724640827434
K562	xgboost	CPSF6-RBM15	2	Single Binders	0.22322695582143814	16357	4.227368703980813
K562	xgboost	QKI-RBFOX2	3	Single Binders	0.22301974933822533	5768	1.4907050611090866
HepG2	xgboost	PCBP1-RBFOX2	6	Single Binders	0.22270378946765323	3384	0.893932669752108
HepG2	xgboost	PCBP2-RBFOX2	5	Single Binders	0.21801674662071668	9223	2.4363891882753226
K562	linear	RBM22-TIA1	6	Same Pos. PPI	0.215136875784804	91	0.02351840509031326
K562	xgboost	FMR1-FXR2	2	Same Pos. PPI	0.21492030308183663	3150	0.8140986377416128
HepG2	xgboost	QKI-RBFOX2	3	Single Binders	0.21281788037367289	11125	2.9388300682601067
K562	linear	EWSR1-NONO	5	Single Binders	0.2123756015632603	2962	0.7655111634890975
K562	xgboost	FXR1-FXR2	2	Same Pos. PPI	0.21164424265262527	2894	0.7479369706743579
K562	xgboost	RBFOX2-SF3B4	2	Single Binders	0.21125670660193552	43745	11.305633304129161
K562	linear	HNRNPK-PCBP1	3	Same Pos. PPI	0.2099949750278315	809	0.2090812056930047
K562	xgboost	RBM22-TIA1	1	Single Binders	0.20966851734427905	7451	1.9256663332738913
HepG2	xgboost	U2AF1-U2AF2	3	Single Binders	0.20882393629222296	22636	5.97962763372007
HepG2	xgboost	FUBP3-U2AF2	4	Single Binders	0.2080364430643047	39650	10.47412244552928
K562	linear	HNRNPK-QKI	3	Single Binders	0.20666561409839723	4831	1.2485430218824545
HepG2	xgboost	HNRNPK-U2AF2	2	Single Binders	0.2066022155188939	32664	8.628669244912192
K562	xgboost	HNRNPK-PCBP1	6	Single Binders	0.205841102231885	3829	0.9895821218770272
K562	xgboost	RBFOX2-SF3B4	1	Single Binders	0.2038863694207339	22532	5.823260477966356
HepG2	xgboost	HNRNPK-LARP4	3	Single Binders	0.20216657601061294	5255	1.3881844502208414
K562	xgboost	CSTF2T-EWSR1	6	Same Pos. PPI	0.20007498877364027	476	0.12301934970317704
K562	xgboost	CSTF2T-NONO	3	Single Binders	0.19757748727425062	4996	1.2911862838593962
K562	linear	CSTF2T-EWSR1	1	Single Binders	0.19753473374379926	2539	0.6561893464209381
K562	xgboost	U2AF1-U2AF2	6	Same Pos. PPI	0.19626227361117843	4691	1.2123608602050495
K562	xgboost	U2AF1-U2AF2	4	Single Binders	0.1960690066620463	11490	2.969521697667026
K562	xgboost	HNRNPK-QKI	3	Single Binders	0.19394648972288053	4831	1.2485430218824545
HepG2	xgboost	U2AF1-U2AF2	2	Single Binders	0.19187516245286507	27866	7.361207971427968
K562	xgboost	RBM22-TIA1	4	Single Binders	0.19112269792016645	7541	1.948926294352223
HepG2	linear	RBFOX2-SF3B4	5	Single Binders	0.18991897406994762	17969	4.746771909803673
K562	xgboost	RBFOX2-SF3B4	5	Single Binders	0.18968519214677904	41572	10.744034466093439
HepG2	xgboost	HNRNPK-PCBP1	6	Single Binders	0.18945925884834658	2382	0.6292398402333101
HepG2	linear	HNRNPK-LARP4	4	Single Binders	0.18745931779459646	5573	1.47218876138549
HepG2	linear	HNRNPK-U2AF2	3	Single Binders	0.18725415616381036	26768	7.071155349859465
K562	xgboost	HNRNPK-LARP4	2	Single Binders	0.18562928032828885	1999	0.5166295799509473
K562	xgboost	CSTF2T-NONO	2	Single Binders	0.18478703242133565	5045	1.303850040446488
HepG2	linear	HNRNPK-LARP4	5	Single Binders	0.18150810765799952	5684	1.5015110209429616
HepG2	linear	HNRNPK-PCBP1	4	Single Binders	0.1802479381619062	2496	0.659354593292335
K562	xgboost	RBFOX2-SF3B4	6	Single Binders	0.17874713755498184	36741	9.495491444210984
HepG2	linear	PCBP2-QKI	3	Single Binders	0.17566562347257508	6931	1.8309241530886113
K562	xgboost	PCBP1-RBFOX2	6	Single Binders	0.17438798267485656	3486	0.900935825767385
K562	xgboost	U2AF1-U2AF2	5	Same Pos. PPI	0.16885625807899396	2240	0.5789145868384802
HepG2	xgboost	SF3B4-TAF15	5	Same Pos. PPI	0.16574276438696534	32	0.008453264016568396
HepG2	xgboost	RBFOX2-SF3B4	4	Single Binders	0.1649425089075809	14227	3.7582683488662063
HepG2	linear	HNRNPK-U2AF2	1	Single Binders	0.16347273860980394	15007	3.9643166592700605
HepG2	linear	U2AF1-U2AF2	3	Same Pos. PPI	0.1633793131852429	1923	0.5079883344956572
HepG2	linear	RBM22-TIA1	4	Single Binders	0.1622161786916989	3830	1.0117500369830301
HepG2	xgboost	RBFOX2-SF3B4	3	Single Binders	0.1607639426141304	18342	4.845305268496798
K562	xgboost	RBM22-TIA1	5	Single Binders	0.15806320661398954	8956	2.314624571305995
HepG2	linear	HNRNPK-U2AF2	5	Single Binders	0.15786173223642974	31893	8.424998415012997
HepG2	xgboost	HNRNPK-IGF2BP3	4	Single Binders	0.15637511364164702	3569	0.9428031023478941
K562	xgboost	CSTF2T-NONO	6	Single Binders	0.15480030076414664	3077	0.7952322248669659
K562	xgboost	HNRNPK-U2AF2	1	Single Binders	0.15365405400330956	7501	1.9385885338729643
K562	xgboost	U2AF1-U2AF2	6	Single Binders	0.1523684732130759	11607	2.9997596470688572
HepG2	xgboost	HNRNPK-IGF2BP3	6	Single Binders	0.15133732211911666	3724	0.9837485999281472
